ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120504-368388-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_05_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1416
Timestamp,2026-04-06 12:05:01.460266
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,46.17
1,303.00,35.37
2,304.00,37.29
3,305.00,37.24
4,306.00,37.26
5,307.00,37.57
6,308.00,40.55
7,309.00,38.01
8,310.00,37.40
9,311.00,35.91
10,312.00,37.19
11,313.00,36.93
12,314.00,35.18
13,315.00,33.98
14,316.00,33.96
15,317.00,28.09
16,318.00,25.49
17,319.00,22.28
18,320.00,27.44
19,321.00,27.25
20,322.00,26.93
21,323.00,29.58
22,324.00,27.67
23,325.00,23.12
24,326.00,19.12
25,327.00,12.71
26,328.00,7.53
27,329.00,5.14
28,330.00,5.38
29,331.00,3.54
30,332.00,5.10
31,333.00,5.55
32,334.00,6.66
33,335.00,3.74
34,336.00,9.87
35,337.00,11.66
36,338.00,16.03
37,339.00,16.13
38,340.00,18.39
39,341.00,18.18
40,342.00,23.47
41,343.00,16.31
42,344.00,15.89
43,345.00,15.09
44,346.00,15.82
45,347.00,12.85
46,348.00,13.13
47,349.00,15.89
48,350.00,9.72
49,351.00,19.61
50,352.00,12.34
51,353.00,26.63
52,354.00,13.71
53,355.00,28.26
54,356.00,20.25
55,357.00,33.55
56,358.00,22.49
57,359.00,36.42
58,360.00,36.24
59,361.00,48.80
60,362.00,50.85
61,363.00,62.30
62,364.00,71.63
63,365.00,86.54
64,366.00,103.40
65,367.00,129.97
66,368.00,148.39
67,369.00,180.13
68,370.00,203.50
69,371.00,231.05
70,372.00,276.07
71,373.00,314.38
72,374.00,345.48
73,375.00,390.68
74,376.00,427.56
75,377.00,508.11
76,378.00,582.60
77,379.00,665.17
78,380.00,786.26
79,381.00,913.14
80,382.00,1022.94
81,383.00,1135.34
82,384.00,1229.15
83,385.00,1352.52
84,386.00,1444.18
85,387.00,1491.93
86,388.00,1596.14
87,389.00,1749.09
88,390.00,1905.33
89,391.00,2145.40
90,392.00,2397.68
91,393.00,2747.98
92,394.00,3111.28
93,395.00,3633.56
94,396.00,4223.54
95,397.00,4973.36
96,398.00,5970.64
97,399.00,7206.68
98,400.00,8862.16
99,401.00,11036.17
100,402.00,13643.29
101,403.00,16880.13
102,404.00,20241.14
103,405.00,23383.19
104,406.00,25904.12
105,407.00,26618.34
106,408.00,25882.11
107,409.00,23502.48
108,410.00,19899.74
109,411.00,16227.33
110,412.00,12582.92
111,413.00,9651.37
112,414.00,7357.37
113,415.00,5692.30
114,416.00,4552.69
115,417.00,3764.78
116,418.00,3225.16
117,419.00,2889.84
118,420.00,2649.86
119,421.00,2453.29
120,422.00,2301.82
121,423.00,2166.89
122,424.00,2004.06
123,425.00,1833.04
124,426.00,1684.18
125,427.00,1514.76
126,428.00,1356.68
127,429.00,1205.08
128,430.00,1091.64
129,431.00,972.86
130,432.00,897.80
131,433.00,844.07
132,434.00,831.12
133,435.00,791.39
134,436.00,799.38
135,437.00,813.28
136,438.00,870.07
137,439.00,878.81
138,440.00,950.99
139,441.00,1003.00
140,442.00,1097.50
141,443.00,1158.66
142,444.00,1243.30
143,445.00,1346.75
144,446.00,1463.84
145,447.00,1543.56
146,448.00,1649.74
147,449.00,1767.89
148,450.00,1903.61
149,451.00,2058.93
150,452.00,2288.30
151,453.00,2613.59
152,454.00,3063.55
153,455.00,3714.81
154,456.00,4620.85
155,457.00,5841.35
156,458.00,7339.96
157,459.00,9134.16
158,460.00,10857.84
159,461.00,12329.76
160,462.00,13117.88
161,463.00,12993.35
162,464.00,12184.03
163,465.00,10600.45
164,466.00,8848.43
165,467.00,7137.63
166,468.00,5613.49
167,469.00,4447.41
168,470.00,3549.87
169,471.00,2892.48
170,472.00,2469.19
171,473.00,2131.30
172,474.00,1906.97
173,475.00,1739.33
174,476.00,1574.67
175,477.00,1479.13
176,478.00,1342.30
177,479.00,1205.63
178,480.00,1080.84
179,481.00,948.57
180,482.00,845.72
181,483.00,754.37
182,484.00,653.08
183,485.00,588.73
184,486.00,514.32
185,487.00,438.41
186,488.00,392.12
187,489.00,343.54
188,490.00,320.35
189,491.00,286.30
190,492.00,268.09
191,493.00,238.72
192,494.00,234.53
193,495.00,217.63
194,496.00,190.35
195,497.00,170.79
196,498.00,154.86
197,499.00,136.68
198,500.00,103.73
199,501.00,99.38
200,502.00,80.85
201,503.00,83.01
202,504.00,61.81
203,505.00,68.47
204,506.00,66.20
205,507.00,71.09
206,508.00,68.67
207,509.00,64.96
208,510.00,70.92
209,511.00,63.34
210,512.00,58.28
211,513.00,44.29
212,514.00,43.07
213,515.00,36.26
214,516.00,34.56
215,517.00,22.43
216,518.00,23.26
217,519.00,16.74
218,520.00,14.13
219,521.00,10.81
220,522.00,10.36
221,523.00,7.39
222,524.00,13.68
223,525.00,12.22
224,526.00,18.21
225,527.00,18.82
226,528.00,14.60
227,529.00,14.22
228,530.00,21.08
229,531.00,14.67
230,532.00,9.79
231,533.00,8.09
232,534.00,11.50
233,535.00,8.44
234,536.00,7.65
235,537.00,8.38
236,538.00,17.85
237,539.00,15.80
238,540.00,9.78
239,541.00,5.94
240,542.00,15.08
241,543.00,10.77
242,544.00,9.31
243,545.00,5.75
244,546.00,7.33
245,547.00,5.98
246,548.00,7.47
247,549.00,4.00
248,550.00,6.40
249,551.00,8.59
250,552.00,9.62
251,553.00,12.26
252,554.00,15.15
253,555.00,19.65
254,556.00,16.34
255,557.00,17.08
256,558.00,17.20
257,559.00,18.21
258,560.00,20.54
259,561.00,22.40
260,562.00,26.50
261,563.00,28.03
262,564.00,34.85
263,565.00,42.53
264,566.00,52.08
265,567.00,58.34
266,568.00,65.84
267,569.00,77.42
268,570.00,80.68
269,571.00,92.91
270,572.00,107.87
271,573.00,112.83
272,574.00,132.48
273,575.00,145.10
274,576.00,164.54
275,577.00,176.90
276,578.00,208.52
277,579.00,232.44
278,580.00,268.01
279,581.00,301.43
280,582.00,344.16
281,583.00,397.22
282,584.00,426.28
283,585.00,472.52
284,586.00,498.06
285,587.00,538.55
286,588.00,551.51
287,589.00,585.85
288,590.00,629.62
289,591.00,664.77
290,592.00,682.63
291,593.00,730.34
292,594.00,793.27
293,595.00,813.36
294,596.00,864.57
295,597.00,913.12
296,598.00,972.51
297,599.00,1036.06
298,600.00,1042.47
299,601.00,1113.40
300,602.00,1130.39
301,603.00,1189.39
302,604.00,1216.19
303,605.00,1272.47
304,606.00,1334.46
305,607.00,1400.04
306,608.00,1505.44
307,609.00,1583.03
308,610.00,1705.49
309,611.00,1834.21
310,612.00,2017.65
311,613.00,2216.55
312,614.00,2432.73
313,615.00,2681.60
314,616.00,2973.91
315,617.00,3269.00
316,618.00,3613.73
317,619.00,4010.67
318,620.00,4405.26
319,621.00,4879.33
320,622.00,5355.16
321,623.00,5949.18
322,624.00,6645.47
323,625.00,7418.73
324,626.00,8351.84
325,627.00,9383.52
326,628.00,10621.37
327,629.00,12077.76
328,630.00,13621.36
329,631.00,15402.13
330,632.00,17128.37
331,633.00,18986.56
332,634.00,20497.85
333,635.00,21770.94
334,636.00,22387.46
335,637.00,22408.04
336,638.00,21679.58
337,639.00,20305.14
338,640.00,18486.45
339,641.00,16407.16
340,642.00,14297.80
341,643.00,12343.96
342,644.00,10621.53
343,645.00,9182.55
344,646.00,7993.29
345,647.00,7080.61
346,648.00,6389.02
347,649.00,5832.34
348,650.00,5376.54
349,651.00,4981.47
350,652.00,4645.92
351,653.00,4299.06
352,654.00,3990.81
353,655.00,3672.83
354,656.00,3381.41
355,657.00,3091.83
356,658.00,2842.32
357,659.00,2609.51
358,660.00,2424.94
359,661.00,2227.00
360,662.00,2067.40
361,663.00,1925.13
362,664.00,1812.47
363,665.00,1695.39
364,666.00,1627.51
365,667.00,1547.47
366,668.00,1464.59
367,669.00,1413.34
368,670.00,1361.62
369,671.00,1320.48
370,672.00,1272.55
371,673.00,1244.13
372,674.00,1233.19
373,675.00,1199.58
374,676.00,1186.06
375,677.00,1178.85
376,678.00,1172.28
377,679.00,1154.45
378,680.00,1148.86
379,681.00,1137.59
380,682.00,1137.44
381,683.00,1136.45
382,684.00,1138.91
383,685.00,1155.72
384,686.00,1178.69
385,687.00,1222.25
386,688.00,1236.35
387,689.00,1304.11
388,690.00,1363.82
389,691.00,1424.76
390,692.00,1482.23
391,693.00,1558.52
392,694.00,1621.10
393,695.00,1715.91
394,696.00,1786.40
395,697.00,1889.49
396,698.00,1983.57
397,699.00,2089.18
398,700.00,2224.35
399,701.00,2365.42
400,702.00,2511.64
401,703.00,2662.13
402,704.00,2815.57
403,705.00,2980.40
404,706.00,3120.33
405,707.00,3239.65
406,708.00,3292.04
407,709.00,3337.63
408,710.00,3319.86
409,711.00,3263.44
410,712.00,3137.02
411,713.00,2972.90
412,714.00,2762.74
413,715.00,2542.94
414,716.00,2299.25
415,717.00,2070.44
416,718.00,1878.87
417,719.00,1682.69
418,720.00,1516.33
419,721.00,1367.12
420,722.00,1233.16
421,723.00,1114.82
422,724.00,966.95
423,725.00,884.73
424,726.00,805.90
425,727.00,747.46
426,728.00,666.82
427,729.00,604.36
428,730.00,552.99
429,731.00,484.98
430,732.00,447.63
431,733.00,400.27
432,734.00,366.00
433,735.00,322.13
434,736.00,307.23
435,737.00,265.23
436,738.00,253.52
437,739.00,229.15
438,740.00,211.72
439,741.00,186.89
440,742.00,181.55
441,743.00,157.85
442,744.00,133.07
443,745.00,126.98
444,746.00,108.29
445,747.00,97.34
446,748.00,78.64
447,749.00,65.30
448,750.00,50.26
449,751.00,45.71
450,752.00,42.75
451,753.00,33.07
452,754.00,33.82
453,755.00,32.62
454,756.00,38.85
455,757.00,30.34
456,758.00,37.85
457,759.00,27.70
458,760.00,20.17
459,761.00,16.68
460,762.00,10.89
461,763.00,7.87
462,764.00,3.08
463,765.00,2.34
464,766.00,1.13
465,767.00,0.86
466,768.00,1.95
467,769.00,1.24
468,770.00,0.00
469,771.00,0.98
470,772.00,1.55
471,773.00,1.54
472,774.00,2.94
473,775.00,3.71
474,776.00,3.44
475,777.00,9.86
476,778.00,13.50
477,779.00,20.32
478,780.00,17.72
479,781.00,42.40
480,782.00,39.44
481,783.00,46.48
482,784.00,19.71
483,785.00,36.02
484,786.00,30.71
485,787.00,33.63
486,788.00,16.99
487,789.00,23.26
488,790.00,28.19
489,791.00,35.87
490,792.00,23.42
491,793.00,32.23
492,794.00,35.51
493,795.00,39.47
494,796.00,28.71
495,797.00,23.12
496,798.00,15.25
497,799.00,14.51
498,800.00,11.01
499,801.00,11.26
500,802.00,8.32
501,803.00,10.50
502,804.00,15.43
503,805.00,25.52
504,806.00,23.69
505,807.00,41.45
506,808.00,69.34
507,809.00,95.46
508,810.00,123.50
509,811.00,159.42
510,812.00,197.81
511,813.00,233.28
512,814.00,259.53
513,815.00,275.89
514,816.00,299.98
515,817.00,332.16
516,818.00,343.45
517,819.00,364.39
518,820.00,389.34
519,821.00,440.36
520,822.00,463.95
521,823.00,509.41
522,824.00,558.20
523,825.00,637.38
524,826.00,700.70
525,827.00,792.17
526,828.00,866.37
527,829.00,976.74
528,830.00,1035.68
529,831.00,1156.48
530,832.00,1200.05
531,833.00,1288.25
532,834.00,1416.90
533,835.00,1576.85
534,836.00,1775.10
535,837.00,2040.93
536,838.00,2446.10
537,839.00,3000.38
538,840.00,3786.95
539,841.00,4859.00
540,842.00,6236.97
541,843.00,8021.32
542,844.00,10175.15
543,845.00,12343.84
544,846.00,14379.79
545,847.00,15586.11
546,848.00,16025.13
547,849.00,15121.59
548,850.00,13529.08
549,851.00,11349.16
550,852.00,9185.29
551,853.00,7283.68
552,854.00,5788.83
553,855.00,4691.16
554,856.00,3956.33
555,857.00,3492.08
556,858.00,3241.25
557,859.00,3159.89
558,860.00,3205.95
559,861.00,3334.44
560,862.00,3525.31
561,863.00,3727.91
562,864.00,3940.35
563,865.00,4118.46
564,866.00,4246.16
565,867.00,4340.70
566,868.00,4415.94
567,869.00,4503.74
568,870.00,4600.17
569,871.00,4698.33
570,872.00,4825.53
571,873.00,4929.50
572,874.00,5088.81
573,875.00,5164.54
574,876.00,5268.22
575,877.00,5262.08
576,878.00,5283.18
577,879.00,5163.26
578,880.00,5050.04
579,881.00,4852.15
