ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111456-628247-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_14_56 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1987
Timestamp,2026-04-06 11:14:49.855214
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,413.89
1,303.00,436.26
2,304.00,461.19
3,305.00,500.70
4,306.00,565.28
5,307.00,618.95
6,308.00,720.71
7,309.00,805.74
8,310.00,910.76
9,311.00,997.18
10,312.00,1050.48
11,313.00,1139.44
12,314.00,1208.03
13,315.00,1305.40
14,316.00,1415.42
15,317.00,1566.86
16,318.00,1768.89
17,319.00,1982.52
18,320.00,2317.71
19,321.00,2682.78
20,322.00,3111.16
21,323.00,3583.57
22,324.00,4021.81
23,325.00,4473.79
24,326.00,4866.74
25,327.00,5157.90
26,328.00,5325.04
27,329.00,5408.94
28,330.00,5325.95
29,331.00,5191.87
30,332.00,4927.16
31,333.00,4652.43
32,334.00,4354.94
33,335.00,4046.02
34,336.00,3736.37
35,337.00,3409.64
36,338.00,3098.82
37,339.00,2813.76
38,340.00,2506.90
39,341.00,2251.88
40,342.00,2015.02
41,343.00,1808.95
42,344.00,1661.32
43,345.00,1524.50
44,346.00,1372.86
45,347.00,1260.71
46,348.00,1110.85
47,349.00,993.81
48,350.00,829.03
49,351.00,726.90
50,352.00,640.91
51,353.00,567.08
52,354.00,498.75
53,355.00,460.15
54,356.00,375.51
55,357.00,365.06
56,358.00,361.29
57,359.00,368.55
58,360.00,368.06
59,361.00,382.05
60,362.00,433.02
61,363.00,441.95
62,364.00,584.23
63,365.00,612.35
64,366.00,682.80
65,367.00,696.85
66,368.00,710.17
67,369.00,715.43
