ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111555-096900-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_15_55 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1161
Timestamp,2026-04-06 11:15:50.830363
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,53.83
1,303.00,50.88
2,304.00,52.52
3,305.00,53.39
4,306.00,55.13
5,307.00,52.85
6,308.00,54.06
7,309.00,51.00
8,310.00,58.66
9,311.00,54.90
10,312.00,59.08
11,313.00,60.08
12,314.00,65.75
13,315.00,65.46
14,316.00,70.69
15,317.00,70.96
16,318.00,83.61
17,319.00,78.34
18,320.00,79.90
19,321.00,78.40
20,322.00,84.54
21,323.00,82.05
22,324.00,88.92
23,325.00,85.55
24,326.00,99.27
25,327.00,90.39
26,328.00,97.96
27,329.00,94.37
28,330.00,102.44
29,331.00,88.68
30,332.00,85.97
31,333.00,85.87
32,334.00,96.24
33,335.00,96.92
34,336.00,110.38
35,337.00,122.49
36,338.00,129.31
37,339.00,136.35
38,340.00,144.86
39,341.00,155.44
40,342.00,170.14
41,343.00,170.35
42,344.00,191.06
43,345.00,198.04
44,346.00,203.82
45,347.00,205.24
46,348.00,205.31
47,349.00,206.41
48,350.00,212.96
49,351.00,214.80
50,352.00,231.78
51,353.00,239.49
52,354.00,262.84
53,355.00,271.79
54,356.00,294.40
55,357.00,298.02
56,358.00,319.42
57,359.00,324.88
58,360.00,360.44
59,361.00,368.29
60,362.00,390.82
61,363.00,411.21
62,364.00,432.59
63,365.00,455.02
64,366.00,480.23
65,367.00,501.91
66,368.00,551.07
67,369.00,582.38
68,370.00,619.45
69,371.00,668.25
70,372.00,711.61
71,373.00,770.73
72,374.00,797.92
73,375.00,844.26
74,376.00,901.68
75,377.00,943.95
76,378.00,1005.69
77,379.00,1044.04
78,380.00,1124.42
79,381.00,1187.58
80,382.00,1271.27
81,383.00,1354.50
82,384.00,1467.97
83,385.00,1576.90
84,386.00,1704.46
85,387.00,1827.03
86,388.00,1924.88
87,389.00,2038.53
88,390.00,2110.75
89,391.00,2183.94
90,392.00,2197.13
91,393.00,2195.91
92,394.00,2121.79
93,395.00,2045.74
94,396.00,1930.72
95,397.00,1769.02
96,398.00,1624.62
97,399.00,1454.65
98,400.00,1311.80
99,401.00,1167.24
100,402.00,1036.52
101,403.00,953.96
102,404.00,868.90
103,405.00,813.74
104,406.00,756.92
105,407.00,693.26
106,408.00,667.77
107,409.00,605.95
108,410.00,563.27
109,411.00,517.42
110,412.00,478.19
111,413.00,433.69
112,414.00,390.06
113,415.00,347.97
114,416.00,321.28
115,417.00,284.28
116,418.00,258.28
117,419.00,234.79
118,420.00,222.24
119,421.00,202.84
120,422.00,197.16
121,423.00,179.15
122,424.00,167.11
123,425.00,148.54
124,426.00,133.78
125,427.00,115.84
126,428.00,99.71
127,429.00,85.69
128,430.00,85.96
129,431.00,79.98
130,432.00,83.10
131,433.00,78.92
132,434.00,84.98
133,435.00,74.01
134,436.00,76.63
135,437.00,67.85
136,438.00,73.46
137,439.00,72.37
138,440.00,92.88
139,441.00,113.76
140,442.00,109.28
141,443.00,115.57
142,444.00,119.77
143,445.00,135.53
144,446.00,145.94
145,447.00,154.36
146,448.00,170.83
147,449.00,177.93
148,450.00,175.37
149,451.00,178.42
150,452.00,181.81
151,453.00,181.46
152,454.00,197.38
153,455.00,198.99
154,456.00,210.17
155,457.00,218.32
156,458.00,249.31
157,459.00,263.23
158,460.00,291.10
159,461.00,300.31
160,462.00,324.38
161,463.00,324.55
162,464.00,327.23
163,465.00,331.26
164,466.00,333.24
165,467.00,346.94
166,468.00,364.71
167,469.00,389.68
168,470.00,415.67
169,471.00,451.35
170,472.00,499.82
171,473.00,541.82
172,474.00,604.44
173,475.00,665.84
174,476.00,723.50
175,477.00,802.78
176,478.00,866.58
177,479.00,944.25
178,480.00,1053.59
179,481.00,1161.33
180,482.00,1301.01
181,483.00,1413.05
182,484.00,1563.77
183,485.00,1676.31
184,486.00,1815.94
185,487.00,1938.48
186,488.00,2032.62
187,489.00,2111.97
188,490.00,2167.03
189,491.00,2230.95
190,492.00,2239.72
191,493.00,2257.16
192,494.00,2211.95
193,495.00,2193.33
194,496.00,2119.16
195,497.00,2071.09
196,498.00,1980.26
