ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111620-139471-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_16_20 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:16:18.509643
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,166.03
1,303.00,180.25
2,304.00,193.84
3,305.00,214.68
4,306.00,246.05
5,307.00,287.39
6,308.00,332.71
7,309.00,372.15
8,310.00,411.67
9,311.00,455.18
10,312.00,469.39
11,313.00,496.91
12,314.00,510.52
13,315.00,547.34
14,316.00,586.06
15,317.00,609.93
16,318.00,632.68
17,319.00,662.26
18,320.00,676.51
19,321.00,711.81
20,322.00,761.10
21,323.00,793.82
22,324.00,820.93
23,325.00,851.56
24,326.00,921.32
25,327.00,971.06
26,328.00,997.20
27,329.00,1069.67
28,330.00,1129.83
29,331.00,1215.28
30,332.00,1266.96
31,333.00,1338.38
32,334.00,1421.00
33,335.00,1483.44
34,336.00,1576.01
35,337.00,1593.19
36,338.00,1677.44
37,339.00,1705.55
38,340.00,1777.84
39,341.00,1855.47
40,342.00,1957.19
41,343.00,2084.26
42,344.00,2241.41
43,345.00,2373.87
44,346.00,2593.76
45,347.00,2765.29
46,348.00,2986.09
47,349.00,3195.20
48,350.00,3433.78
49,351.00,3656.78
50,352.00,3908.41
51,353.00,4228.36
52,354.00,4563.32
53,355.00,4901.66
54,356.00,5277.64
55,357.00,5749.67
56,358.00,6240.45
57,359.00,6781.52
58,360.00,7282.88
59,361.00,7931.49
60,362.00,8620.56
61,363.00,9464.80
62,364.00,10452.70
63,365.00,11499.32
64,366.00,12731.14
65,367.00,14235.14
66,368.00,15689.18
67,369.00,17377.41
68,370.00,19236.12
69,371.00,21086.82
70,372.00,22889.07
71,373.00,24937.46
72,374.00,26899.76
73,375.00,29074.29
74,376.00,31058.59
75,377.00,32993.43
76,378.00,34633.64
77,379.00,35636.98
78,380.00,36152.78
79,381.00,35525.21
80,382.00,34190.57
81,383.00,31963.53
82,384.00,29019.68
83,385.00,25877.41
84,386.00,22552.04
85,387.00,19448.44
86,388.00,16728.65
87,389.00,14314.43
88,390.00,12373.59
89,391.00,10826.99
90,392.00,9583.82
91,393.00,8661.27
92,394.00,7857.67
93,395.00,7232.26
94,396.00,6685.65
95,397.00,6148.88
96,398.00,5664.55
97,399.00,5179.07
98,400.00,4756.28
99,401.00,4361.02
100,402.00,3993.61
101,403.00,3695.75
102,404.00,3457.75
103,405.00,3231.09
104,406.00,3055.34
105,407.00,2900.98
106,408.00,2728.11
107,409.00,2566.09
108,410.00,2421.70
109,411.00,2260.80
110,412.00,2129.38
111,413.00,2008.77
112,414.00,1881.26
113,415.00,1759.79
114,416.00,1664.16
115,417.00,1566.53
116,418.00,1468.37
117,419.00,1368.86
118,420.00,1293.72
119,421.00,1238.00
120,422.00,1184.07
121,423.00,1129.81
122,424.00,1139.69
123,425.00,1114.11
124,426.00,1094.32
125,427.00,1067.16
126,428.00,1036.70
127,429.00,993.75
128,430.00,943.96
129,431.00,882.26
130,432.00,827.04
131,433.00,761.47
132,434.00,746.95
133,435.00,694.92
134,436.00,667.50
135,437.00,620.69
136,438.00,592.46
137,439.00,562.65
138,440.00,555.28
139,441.00,516.78
140,442.00,504.24
141,443.00,456.72
142,444.00,382.49
143,445.00,376.63
144,446.00,354.44
145,447.00,355.45
146,448.00,336.12
147,449.00,335.22
148,450.00,335.93
149,451.00,327.90
150,452.00,308.32
151,453.00,308.08
152,454.00,302.49
153,455.00,295.93
154,456.00,253.84
155,457.00,247.24
156,458.00,230.39
157,459.00,226.80
158,460.00,194.21
159,461.00,195.10
160,462.00,175.28
161,463.00,179.08
162,464.00,164.84
163,465.00,161.29
164,466.00,151.11
165,467.00,144.01
166,468.00,137.32
167,469.00,124.19
168,470.00,123.93
169,471.00,110.84
170,472.00,116.18
171,473.00,98.78
172,474.00,99.50
173,475.00,81.35
174,476.00,82.90
175,477.00,68.39
176,478.00,67.80
177,479.00,55.64
178,480.00,49.10
179,481.00,42.42
180,482.00,46.39
181,483.00,42.97
182,484.00,40.04
183,485.00,42.13
184,486.00,43.41
185,487.00,40.63
186,488.00,41.24
187,489.00,40.88
188,490.00,39.04
189,491.00,41.33
190,492.00,29.07
191,493.00,23.73
192,494.00,28.46
193,495.00,20.56
194,496.00,25.18
195,497.00,23.27
196,498.00,22.10
197,499.00,21.39
198,500.00,23.69
199,501.00,24.71
200,502.00,31.03
201,503.00,23.54
202,504.00,32.12
203,505.00,15.11
204,506.00,20.11
205,507.00,10.57
206,508.00,21.85
207,509.00,18.05
208,510.00,24.60
209,511.00,26.09
210,512.00,36.66
211,513.00,28.05
212,514.00,46.45
213,515.00,41.23
214,516.00,54.72
215,517.00,38.32
216,518.00,41.32
217,519.00,33.76
218,520.00,33.70
219,521.00,25.10
220,522.00,23.43
221,523.00,25.70
222,524.00,20.69
223,525.00,15.25
224,526.00,21.58
225,527.00,18.46
226,528.00,23.11
227,529.00,19.66
228,530.00,21.56
229,531.00,20.54
230,532.00,20.13
231,533.00,20.48
232,534.00,25.38
233,535.00,21.78
234,536.00,31.06
235,537.00,21.78
236,538.00,29.15
237,539.00,19.97
238,540.00,35.73
239,541.00,29.80
240,542.00,33.84
241,543.00,32.24
242,544.00,36.75
243,545.00,30.70
244,546.00,33.19
245,547.00,32.76
246,548.00,33.68
247,549.00,29.21
248,550.00,32.52
249,551.00,30.82
250,552.00,35.85
251,553.00,29.43
252,554.00,35.29
253,555.00,33.13
254,556.00,39.91
255,557.00,33.34
256,558.00,37.29
257,559.00,34.18
258,560.00,36.03
259,561.00,26.86
260,562.00,31.04
261,563.00,28.07
262,564.00,31.87
263,565.00,26.02
264,566.00,30.85
265,567.00,27.21
266,568.00,31.04
267,569.00,24.40
268,570.00,29.45
269,571.00,27.81
270,572.00,31.53
271,573.00,26.00
272,574.00,31.02
273,575.00,27.54
274,576.00,29.50
275,577.00,22.62
276,578.00,27.79
277,579.00,24.40
278,580.00,30.16
279,581.00,25.35
280,582.00,31.71
281,583.00,26.32
282,584.00,32.05
283,585.00,24.58
284,586.00,31.93
285,587.00,28.14
286,588.00,33.70
287,589.00,29.74
288,590.00,32.71
289,591.00,27.51
290,592.00,30.45
291,593.00,24.42
292,594.00,30.50
293,595.00,27.63
294,596.00,31.68
295,597.00,28.06
296,598.00,34.18
297,599.00,29.00
298,600.00,35.55
299,601.00,29.24
300,602.00,35.89
301,603.00,31.85
302,604.00,36.80
303,605.00,33.42
304,606.00,36.34
305,607.00,29.32
306,608.00,31.43
307,609.00,26.81
308,610.00,29.89
309,611.00,25.45
310,612.00,28.24
311,613.00,26.65
312,614.00,29.67
313,615.00,25.45
314,616.00,33.22
315,617.00,29.31
316,618.00,36.43
317,619.00,32.56
318,620.00,38.58
319,621.00,36.66
320,622.00,40.80
321,623.00,32.22
322,624.00,35.89
323,625.00,28.24
324,626.00,30.80
325,627.00,25.40
326,628.00,26.61
327,629.00,25.73
328,630.00,28.18
329,631.00,25.03
330,632.00,31.26
331,633.00,29.42
332,634.00,34.08
333,635.00,27.43
