ENLIGHTEN Version,4.1.44
Measurement ID,20260406-121101-790052-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_11_01 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,6
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,193
Timestamp,2026-04-06 12:10:59.628790
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,19.00
1,303.00,18.16
2,304.00,20.07
3,305.00,17.05
4,306.00,18.63
5,307.00,16.94
6,308.00,18.95
7,309.00,16.96
8,310.00,18.12
9,311.00,19.27
10,312.00,22.43
11,313.00,17.45
12,314.00,19.60
13,315.00,17.85
14,316.00,17.93
15,317.00,16.45
16,318.00,17.40
17,319.00,16.13
18,320.00,18.19
19,321.00,15.50
20,322.00,17.48
21,323.00,16.38
22,324.00,19.13
23,325.00,17.11
24,326.00,18.54
25,327.00,20.31
26,328.00,23.00
27,329.00,17.73
28,330.00,19.54
29,331.00,17.23
30,332.00,17.20
31,333.00,15.49
32,334.00,16.54
33,335.00,15.37
34,336.00,17.62
35,337.00,15.25
36,338.00,17.56
37,339.00,17.16
38,340.00,19.85
39,341.00,18.07
40,342.00,19.50
41,343.00,21.92
42,344.00,24.03
43,345.00,19.20
44,346.00,21.38
45,347.00,22.16
46,348.00,21.73
47,349.00,18.68
48,350.00,18.71
49,351.00,18.15
50,352.00,19.67
51,353.00,17.59
52,354.00,19.42
53,355.00,21.86
54,356.00,23.95
55,357.00,22.40
56,358.00,22.56
57,359.00,27.22
58,360.00,27.92
59,361.00,23.99
60,362.00,25.24
61,363.00,29.11
62,364.00,30.17
63,365.00,25.71
64,366.00,24.75
65,367.00,28.98
66,368.00,30.89
67,369.00,27.40
68,370.00,29.09
69,371.00,35.93
70,372.00,38.84
71,373.00,36.09
72,374.00,33.77
73,375.00,41.22
74,376.00,42.74
75,377.00,43.14
76,378.00,42.84
77,379.00,47.07
78,380.00,50.61
79,381.00,49.64
80,382.00,48.55
81,383.00,52.66
82,384.00,56.37
83,385.00,56.13
