ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111917-347081-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_19_17 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:19:15.941377
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,180.01
1,303.00,173.22
2,304.00,191.23
3,305.00,163.87
4,306.00,186.83
5,307.00,168.51
6,308.00,183.68
7,309.00,152.79
8,310.00,165.15
9,311.00,154.68
10,312.00,173.74
11,313.00,157.02
12,314.00,166.29
13,315.00,164.99
14,316.00,194.35
15,317.00,185.10
16,318.00,208.69
17,319.00,196.96
18,320.00,185.18
19,321.00,157.69
20,322.00,167.07
21,323.00,149.35
22,324.00,159.46
23,325.00,136.40
24,326.00,156.99
25,327.00,154.22
26,328.00,181.90
27,329.00,177.95
28,330.00,201.61
29,331.00,201.38
30,332.00,212.58
31,333.00,203.48
32,334.00,230.60
33,335.00,219.19
34,336.00,234.28
35,337.00,208.26
36,338.00,225.69
37,339.00,219.66
38,340.00,236.85
39,341.00,224.37
40,342.00,242.38
41,343.00,234.49
42,344.00,253.21
43,345.00,252.29
44,346.00,264.26
45,347.00,268.75
46,348.00,287.94
47,349.00,285.86
48,350.00,290.90
49,351.00,284.49
50,352.00,272.81
51,353.00,255.26
52,354.00,262.51
53,355.00,246.57
54,356.00,264.78
55,357.00,231.53
56,358.00,217.19
57,359.00,195.91
58,360.00,187.49
59,361.00,148.58
60,362.00,130.22
61,363.00,102.20
62,364.00,82.60
63,365.00,77.70
64,366.00,65.92
65,367.00,65.67
66,368.00,77.62
67,369.00,77.17
68,370.00,80.45
69,371.00,83.36
70,372.00,105.32
71,373.00,109.63
72,374.00,122.57
73,375.00,116.96
74,376.00,119.83
75,377.00,123.46
76,378.00,120.70
