ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112004-422603-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_20_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,500
Timestamp,2026-04-06 11:20:02.859205
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,17.83
1,303.00,11.99
2,304.00,12.95
3,305.00,12.80
4,306.00,11.17
5,307.00,14.27
6,308.00,12.81
7,309.00,17.05
8,310.00,21.21
9,311.00,21.91
10,312.00,22.86
11,313.00,20.08
12,314.00,25.30
13,315.00,20.31
14,316.00,20.76
15,317.00,24.20
16,318.00,20.91
17,319.00,20.49
18,320.00,17.16
19,321.00,19.15
20,322.00,19.32
21,323.00,18.83
22,324.00,18.69
23,325.00,18.93
24,326.00,21.84
25,327.00,22.15
26,328.00,23.85
27,329.00,25.00
28,330.00,29.13
29,331.00,30.91
30,332.00,32.58
31,333.00,35.52
32,334.00,43.13
33,335.00,37.97
34,336.00,39.29
35,337.00,45.64
36,338.00,50.26
37,339.00,51.39
38,340.00,50.42
39,341.00,55.31
40,342.00,60.50
41,343.00,64.91
42,344.00,62.84
43,345.00,76.22
44,346.00,82.24
45,347.00,81.36
46,348.00,83.97
47,349.00,93.26
48,350.00,101.12
49,351.00,96.71
50,352.00,96.10
51,353.00,93.29
52,354.00,99.46
53,355.00,97.44
54,356.00,101.83
55,357.00,109.54
56,358.00,120.85
57,359.00,137.47
58,360.00,165.59
59,361.00,182.21
60,362.00,198.32
61,363.00,221.05
62,364.00,245.23
63,365.00,254.89
64,366.00,259.97
65,367.00,276.32
66,368.00,308.78
67,369.00,331.43
68,370.00,357.19
69,371.00,402.88
70,372.00,465.96
71,373.00,547.82
72,374.00,604.68
73,375.00,704.72
74,376.00,791.49
75,377.00,921.39
76,378.00,1031.93
77,379.00,1164.50
78,380.00,1320.84
79,381.00,1448.80
80,382.00,1588.25
81,383.00,1658.22
82,384.00,1696.91
83,385.00,1671.57
84,386.00,1575.01
85,387.00,1419.63
86,388.00,1250.25
87,389.00,1069.87
88,390.00,896.58
89,391.00,736.33
90,392.00,619.15
91,393.00,546.17
92,394.00,472.58
93,395.00,443.73
94,396.00,408.67
95,397.00,388.35
96,398.00,375.90
97,399.00,374.12
98,400.00,375.73
99,401.00,372.68
100,402.00,361.18
101,403.00,354.99
102,404.00,358.13
103,405.00,353.06
104,406.00,364.08
105,407.00,370.68
106,408.00,383.73
107,409.00,400.90
108,410.00,437.69
109,411.00,466.34
110,412.00,520.67
111,413.00,562.50
112,414.00,608.21
113,415.00,676.33
114,416.00,746.65
115,417.00,845.44
116,418.00,973.35
117,419.00,1116.77
118,420.00,1309.26
119,421.00,1516.29
120,422.00,1742.40
121,423.00,1994.39
122,424.00,2165.56
123,425.00,2338.56
124,426.00,2380.82
125,427.00,2349.90
126,428.00,2203.89
127,429.00,2008.98
128,430.00,1754.44
129,431.00,1491.08
130,432.00,1254.20
131,433.00,1050.02
132,434.00,888.09
133,435.00,760.40
134,436.00,659.03
135,437.00,603.34
136,438.00,537.56
137,439.00,504.22
138,440.00,479.54
139,441.00,444.35
140,442.00,424.92
141,443.00,401.41
142,444.00,369.04
143,445.00,332.71
144,446.00,316.14
145,447.00,281.35
146,448.00,259.93
147,449.00,223.17
148,450.00,221.69
149,451.00,189.30
150,452.00,183.83
151,453.00,165.49
152,454.00,170.36
153,455.00,152.63
154,456.00,159.76
155,457.00,152.04
156,458.00,145.89
157,459.00,152.00
158,460.00,156.02
159,461.00,157.75
160,462.00,157.35
161,463.00,160.36
162,464.00,148.97
163,465.00,145.33
164,466.00,138.89
165,467.00,137.23
166,468.00,130.66
167,469.00,127.26
168,470.00,124.67
169,471.00,135.24
170,472.00,153.23
171,473.00,166.23
172,474.00,184.33
173,475.00,202.19
174,476.00,215.84
175,477.00,214.29
176,478.00,216.35
177,479.00,204.55
178,480.00,190.37
179,481.00,176.73
180,482.00,181.76
181,483.00,169.26
182,484.00,167.86
183,485.00,164.32
184,486.00,153.75
185,487.00,148.97
186,488.00,137.63
187,489.00,134.14
188,490.00,118.09
189,491.00,115.73
190,492.00,102.04
191,493.00,100.39
192,494.00,94.12
193,495.00,92.91
194,496.00,89.37
195,497.00,86.41
196,498.00,83.36
197,499.00,76.63
198,500.00,75.47
199,501.00,62.30
200,502.00,61.26
201,503.00,50.61
202,504.00,52.18
203,505.00,41.03
204,506.00,45.36
205,507.00,40.41
206,508.00,43.70
207,509.00,35.80
208,510.00,38.27
209,511.00,38.04
210,512.00,42.09
211,513.00,39.87
212,514.00,44.76
213,515.00,41.70
214,516.00,42.41
215,517.00,31.34
216,518.00,34.31
217,519.00,28.52
218,520.00,29.68
219,521.00,26.05
220,522.00,33.65
221,523.00,31.57
222,524.00,39.42
223,525.00,31.12
224,526.00,36.22
225,527.00,29.94
226,528.00,31.98
227,529.00,27.34
228,530.00,31.91
229,531.00,25.70
230,532.00,32.64
231,533.00,24.69
232,534.00,29.10
233,535.00,25.83
234,536.00,29.18
235,537.00,25.54
236,538.00,31.54
237,539.00,28.96
238,540.00,29.76
239,541.00,25.89
240,542.00,28.27
241,543.00,24.17
242,544.00,22.70
243,545.00,21.06
244,546.00,23.15
245,547.00,19.66
246,548.00,23.02
247,549.00,19.24
248,550.00,23.55
249,551.00,21.73
250,552.00,23.55
251,553.00,23.56
252,554.00,24.19
253,555.00,24.42
254,556.00,22.43
255,557.00,20.51
256,558.00,23.52
257,559.00,19.27
258,560.00,20.76
259,561.00,17.99
260,562.00,20.81
261,563.00,17.07
262,564.00,21.10
263,565.00,19.53
264,566.00,23.54
265,567.00,22.36
266,568.00,25.63
267,569.00,21.76
268,570.00,24.10
269,571.00,19.92
270,572.00,22.20
271,573.00,19.87
272,574.00,22.99
273,575.00,20.68
274,576.00,23.13
275,577.00,20.68
276,578.00,24.26
277,579.00,22.10
278,580.00,25.88
279,581.00,24.21
280,582.00,26.26
281,583.00,25.74
282,584.00,28.19
283,585.00,23.72
284,586.00,25.28
285,587.00,22.86
286,588.00,24.55
287,589.00,23.20
288,590.00,25.48
289,591.00,24.59
290,592.00,27.09
291,593.00,25.11
292,594.00,27.61
293,595.00,25.93
294,596.00,28.40
295,597.00,27.45
296,598.00,28.77
297,599.00,28.39
298,600.00,30.36
299,601.00,26.73
300,602.00,28.47
301,603.00,25.86
302,604.00,27.77
303,605.00,27.21
304,606.00,29.18
305,607.00,29.15
306,608.00,30.73
307,609.00,28.99
308,610.00,31.44
309,611.00,29.84
310,612.00,31.77
311,613.00,30.71
312,614.00,31.17
313,615.00,30.24
314,616.00,31.81
315,617.00,28.97
316,618.00,30.53
317,619.00,27.81
318,620.00,29.60
319,621.00,29.90
320,622.00,31.34
321,623.00,31.03
322,624.00,31.94
323,625.00,29.81
324,626.00,31.09
325,627.00,28.12
326,628.00,29.37
327,629.00,28.41
328,630.00,29.20
329,631.00,28.28
330,632.00,30.64
331,633.00,27.54
332,634.00,29.54
333,635.00,27.47
334,636.00,28.91
335,637.00,27.95
336,638.00,29.14
337,639.00,28.25
338,640.00,29.30
339,641.00,25.57
340,642.00,26.49
341,643.00,23.80
342,644.00,25.96
343,645.00,23.68
344,646.00,24.83
345,647.00,24.04
346,648.00,29.01
347,649.00,24.60
348,650.00,27.47
349,651.00,25.44
350,652.00,27.50
351,653.00,25.72
352,654.00,26.82
353,655.00,23.58
354,656.00,24.71
355,657.00,19.47
356,658.00,20.65
357,659.00,18.04
358,660.00,20.55
359,661.00,17.15
360,662.00,20.70
361,663.00,20.16
362,664.00,25.19
363,665.00,20.82
364,666.00,25.13
365,667.00,24.15
366,668.00,26.00
367,669.00,25.02
368,670.00,21.53
369,671.00,20.10
370,672.00,17.03
371,673.00,16.29
372,674.00,12.07
373,675.00,13.87
374,676.00,14.03
375,677.00,17.76
376,678.00,17.68
377,679.00,23.07
378,680.00,25.22
379,681.00,29.24
380,682.00,30.86
381,683.00,30.08
382,684.00,28.99
383,685.00,29.78
384,686.00,22.32
385,687.00,21.84
386,688.00,19.81
387,689.00,19.85
388,690.00,14.50
389,691.00,16.80
390,692.00,16.09
391,693.00,16.60
392,694.00,19.75
393,695.00,21.22
394,696.00,17.67
395,697.00,19.82
396,698.00,17.68
397,699.00,15.46
398,700.00,12.01
399,701.00,10.89
400,702.00,17.00
401,703.00,14.87
402,704.00,16.37
403,705.00,15.79
404,706.00,16.52
