ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112104-982705-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_21_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:21:02.845797
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.6
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,104.65
1,303.00,98.44
2,304.00,94.86
3,305.00,91.93
4,306.00,91.82
5,307.00,84.54
6,308.00,77.69
7,309.00,69.02
8,310.00,66.62
9,311.00,61.04
10,312.00,58.96
11,313.00,56.84
12,314.00,58.87
13,315.00,54.54
14,316.00,53.40
15,317.00,48.67
16,318.00,52.14
17,319.00,48.80
18,320.00,51.12
19,321.00,56.77
20,322.00,56.07
21,323.00,56.42
22,324.00,52.13
23,325.00,52.66
24,326.00,50.66
25,327.00,49.55
26,328.00,49.34
27,329.00,50.76
28,330.00,53.31
29,331.00,50.62
30,332.00,53.12
31,333.00,52.73
32,334.00,57.51
33,335.00,53.92
34,336.00,56.26
35,337.00,57.48
36,338.00,60.89
37,339.00,57.89
38,340.00,54.14
39,341.00,54.09
40,342.00,54.59
41,343.00,48.28
42,344.00,50.92
43,345.00,49.93
44,346.00,53.82
45,347.00,52.33
46,348.00,53.69
47,349.00,51.97
48,350.00,57.35
49,351.00,57.59
50,352.00,58.63
51,353.00,61.36
52,354.00,63.20
53,355.00,62.22
54,356.00,64.71
55,357.00,65.82
56,358.00,68.07
57,359.00,70.11
58,360.00,66.96
59,361.00,63.65
60,362.00,67.41
61,363.00,65.19
62,364.00,65.49
63,365.00,65.59
64,366.00,67.99
65,367.00,70.00
66,368.00,81.89
67,369.00,95.99
68,370.00,93.48
69,371.00,112.40
70,372.00,117.93
