ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112134-827530-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_21_34 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:21:33.137282
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,173.59
1,303.00,190.64
2,304.00,146.71
3,305.00,147.52
4,306.00,128.23
5,307.00,123.19
6,308.00,107.95
7,309.00,105.99
8,310.00,87.99
9,311.00,75.51
10,312.00,72.73
11,313.00,58.16
12,314.00,51.17
13,315.00,48.79
14,316.00,49.37
15,317.00,58.49
16,318.00,42.25
17,319.00,58.94
18,320.00,43.07
19,321.00,63.66
20,322.00,56.54
21,323.00,56.20
22,324.00,60.56
23,325.00,63.85
24,326.00,54.08
25,327.00,50.23
26,328.00,61.89
27,329.00,56.30
28,330.00,58.00
29,331.00,59.47
30,332.00,68.28
31,333.00,85.90
32,334.00,101.87
33,335.00,142.04
34,336.00,166.51
35,337.00,217.36
36,338.00,259.92
37,339.00,298.22
38,340.00,314.50
39,341.00,313.98
40,342.00,307.15
41,343.00,275.29
42,344.00,262.90
43,345.00,248.71
44,346.00,230.11
45,347.00,218.69
46,348.00,212.23
47,349.00,200.94
48,350.00,176.53
49,351.00,174.70
50,352.00,146.43
51,353.00,140.61
52,354.00,113.89
53,355.00,110.74
54,356.00,92.12
55,357.00,96.07
56,358.00,85.98
57,359.00,87.98
58,360.00,93.53
59,361.00,97.17
60,362.00,96.65
61,363.00,102.28
62,364.00,113.84
63,365.00,128.17
64,366.00,146.73
65,367.00,156.07
66,368.00,192.39
67,369.00,214.47
68,370.00,253.72
69,371.00,293.09
70,372.00,361.26
71,373.00,419.90
72,374.00,492.52
73,375.00,594.23
74,376.00,687.15
75,377.00,803.12
76,378.00,911.08
77,379.00,1034.81
78,380.00,1140.76
79,381.00,1265.09
80,382.00,1354.38
81,383.00,1449.04
82,384.00,1571.03
83,385.00,1690.26
