ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112206-277344-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_22_06 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:22:03.374636
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,12.3
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,306.84
1,303.00,311.32
2,304.00,318.91
3,305.00,327.18
4,306.00,304.81
5,307.00,297.70
6,308.00,279.95
7,309.00,274.39
8,310.00,257.62
9,311.00,232.83
10,312.00,212.41
11,313.00,206.44
12,314.00,191.97
13,315.00,174.08
14,316.00,186.14
15,317.00,176.08
16,318.00,191.64
17,319.00,192.29
18,320.00,263.16
19,321.00,294.09
20,322.00,349.16
21,323.00,421.11
22,324.00,504.36
23,325.00,616.99
24,326.00,646.24
25,327.00,714.51
26,328.00,716.41
27,329.00,765.44
28,330.00,792.11
29,331.00,838.06
30,332.00,866.93
31,333.00,918.14
32,334.00,999.49
33,335.00,1092.84
34,336.00,1225.50
35,337.00,1345.86
36,338.00,1520.68
37,339.00,1629.16
38,340.00,1811.92
39,341.00,1970.64
40,342.00,2138.51
41,343.00,2301.86
42,344.00,2593.86
43,345.00,2809.73
44,346.00,3120.23
45,347.00,3475.97
46,348.00,3824.85
47,349.00,4193.12
48,350.00,4659.62
49,351.00,5161.65
50,352.00,5650.06
51,353.00,6132.73
52,354.00,6731.49
53,355.00,7203.09
54,356.00,7832.11
55,357.00,8248.41
56,358.00,8835.61
57,359.00,9327.77
58,360.00,9916.20
59,361.00,10431.88
60,362.00,10899.62
61,363.00,11292.49
62,364.00,11561.47
63,365.00,11649.87
64,366.00,11567.51
65,367.00,11278.80
66,368.00,10873.49
67,369.00,10356.50
