ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112303-598461-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_23_03 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:23:01.779028
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,86.49
1,303.00,103.34
2,304.00,110.39
3,305.00,135.20
4,306.00,134.38
5,307.00,164.39
6,308.00,175.01
7,309.00,197.02
8,310.00,209.32
9,311.00,228.19
10,312.00,248.30
11,313.00,269.14
12,314.00,278.90
13,315.00,298.55
14,316.00,307.77
15,317.00,331.60
16,318.00,350.22
17,319.00,376.99
18,320.00,404.71
19,321.00,451.02
20,322.00,477.82
21,323.00,515.98
22,324.00,540.53
23,325.00,586.11
24,326.00,610.39
25,327.00,654.76
26,328.00,684.63
27,329.00,730.46
28,330.00,781.53
29,331.00,834.42
30,332.00,862.76
31,333.00,911.44
32,334.00,955.82
33,335.00,1011.88
34,336.00,1054.62
35,337.00,1106.88
36,338.00,1178.79
37,339.00,1248.11
38,340.00,1342.63
39,341.00,1459.32
40,342.00,1576.51
41,343.00,1727.09
42,344.00,1877.85
43,345.00,2086.94
44,346.00,2289.17
45,347.00,2534.14
46,348.00,2759.43
47,349.00,3038.93
48,350.00,3270.00
49,351.00,3555.24
50,352.00,3802.10
51,353.00,4046.98
52,354.00,4276.28
53,355.00,4488.71
54,356.00,4646.03
55,357.00,4804.20
56,358.00,4844.99
57,359.00,4902.58
58,360.00,4816.44
59,361.00,4730.69
60,362.00,4481.79
61,363.00,4233.84
62,364.00,3850.88
63,365.00,3504.23
64,366.00,3103.50
65,367.00,2728.20
66,368.00,2367.30
67,369.00,2067.11
