ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112452-999321-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_24_52 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1174
Timestamp,2026-04-06 11:24:51.438619
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,36.51
1,303.00,31.83
2,304.00,32.34
3,305.00,30.75
4,306.00,34.61
5,307.00,32.66
6,308.00,32.01
7,309.00,31.10
8,310.00,42.41
9,311.00,37.50
10,312.00,43.34
11,313.00,45.84
12,314.00,51.31
13,315.00,43.14
14,316.00,42.05
15,317.00,42.35
16,318.00,48.69
17,319.00,48.19
18,320.00,40.37
19,321.00,42.74
20,322.00,43.35
21,323.00,51.49
22,324.00,46.06
23,325.00,50.05
24,326.00,54.59
25,327.00,55.05
26,328.00,51.01
27,329.00,51.73
28,330.00,47.22
29,331.00,48.97
30,332.00,47.41
31,333.00,47.08
32,334.00,56.10
33,335.00,59.34
34,336.00,67.25
35,337.00,72.14
36,338.00,80.40
37,339.00,90.19
38,340.00,89.42
39,341.00,99.74
40,342.00,103.46
41,343.00,120.95
42,344.00,136.19
43,345.00,152.18
44,346.00,157.72
45,347.00,176.06
46,348.00,181.02
47,349.00,195.70
48,350.00,212.08
49,351.00,229.25
50,352.00,250.85
51,353.00,268.67
52,354.00,287.50
53,355.00,302.33
54,356.00,337.68
55,357.00,361.34
56,358.00,387.39
57,359.00,419.90
58,360.00,504.47
59,361.00,570.20
60,362.00,627.47
61,363.00,708.71
62,364.00,809.36
63,365.00,922.05
64,366.00,1066.22
65,367.00,1251.44
66,368.00,1464.39
67,369.00,1657.13
68,370.00,1883.59
69,371.00,2058.55
70,372.00,2171.53
71,373.00,2225.44
72,374.00,2123.00
73,375.00,1975.17
74,376.00,1787.54
75,377.00,1561.81
76,378.00,1344.74
77,379.00,1158.53
78,380.00,1027.35
79,381.00,918.74
80,382.00,837.50
81,383.00,786.27
82,384.00,758.07
83,385.00,734.94
84,386.00,690.23
85,387.00,675.86
86,388.00,663.69
87,389.00,637.08
88,390.00,615.84
89,391.00,582.79
90,392.00,596.86
91,393.00,569.39
92,394.00,562.05
