ENLIGHTEN Version,4.1.44
Measurement ID,20260406-114813-946847-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_48_13 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,341
Timestamp,2026-04-06 11:48:11.809698
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,500.00,68.04
1,501.00,78.16
2,502.00,62.11
3,503.00,63.99
4,504.00,45.04
5,505.00,50.62
6,506.00,40.08
7,507.00,52.17
8,508.00,36.07
9,509.00,55.09
10,510.00,54.17
11,511.00,75.51
12,512.00,62.53
13,513.00,93.51
14,514.00,76.59
15,515.00,100.53
16,516.00,69.08
17,517.00,85.39
18,518.00,69.27
19,519.00,72.25
20,520.00,53.44
21,521.00,62.81
22,522.00,57.68
23,523.00,66.77
24,524.00,47.42
25,525.00,67.63
26,526.00,69.36
27,527.00,78.51
28,528.00,65.27
29,529.00,76.59
30,530.00,63.79
31,531.00,66.58
32,532.00,45.92
33,533.00,50.98
34,534.00,50.07
35,535.00,46.52
36,536.00,41.00
37,537.00,43.92
38,538.00,43.12
39,539.00,49.32
40,540.00,47.54
41,541.00,57.72
42,542.00,64.58
43,543.00,67.27
44,544.00,67.91
45,545.00,74.30
46,546.00,69.68
47,547.00,73.89
48,548.00,71.77
49,549.00,67.23
50,550.00,71.95
51,551.00,64.35
52,552.00,76.16
53,553.00,72.30
54,554.00,68.16
55,555.00,69.31
56,556.00,69.04
57,557.00,73.39
58,558.00,81.65
59,559.00,91.58
60,560.00,119.40
61,561.00,148.05
62,562.00,123.32
63,563.00,164.01
64,564.00,142.63
65,565.00,169.37
66,566.00,141.89
67,567.00,161.07
68,568.00,129.16
69,569.00,149.00
70,570.00,130.97
71,571.00,148.10
72,572.00,146.66
73,573.00,161.66
74,574.00,168.49
75,575.00,194.18
76,576.00,205.93
77,577.00,233.53
78,578.00,221.59
79,579.00,249.06
80,580.00,228.42
81,581.00,249.47
82,582.00,226.41
83,583.00,248.15
84,584.00,235.41
85,585.00,253.87
86,586.00,253.76
87,587.00,280.65
88,588.00,293.19
89,589.00,311.46
90,590.00,300.22
91,591.00,295.09
92,592.00,253.98
93,593.00,256.54
94,594.00,230.17
95,595.00,214.75
96,596.00,180.85
97,597.00,194.25
98,598.00,154.53
99,599.00,156.58
100,600.00,142.50
101,601.00,145.98
102,602.00,118.42
103,603.00,135.00
104,604.00,115.00
105,605.00,120.66
106,606.00,108.07
107,607.00,112.68
108,608.00,114.70
109,609.00,122.71
110,610.00,86.51
111,611.00,90.12
112,612.00,80.54
113,613.00,74.78
114,614.00,70.67
115,615.00,60.14
116,616.00,56.74
117,617.00,59.73
118,618.00,52.54
119,619.00,51.71
120,620.00,67.56
121,621.00,70.49
122,622.00,70.94
123,623.00,77.41
124,624.00,73.15
125,625.00,93.86
126,626.00,83.58
127,627.00,77.73
128,628.00,76.13
129,629.00,76.26
130,630.00,61.41
131,631.00,59.61
132,632.00,45.08
133,633.00,47.96
134,634.00,44.65
135,635.00,46.34
136,636.00,40.34
137,637.00,52.48
138,638.00,49.48
139,639.00,59.96
140,640.00,40.45
141,641.00,57.51
142,642.00,40.91
143,643.00,47.11
144,644.00,35.07
145,645.00,42.70
146,646.00,29.96
147,647.00,37.60
148,648.00,21.16
149,649.00,34.14
150,650.00,26.19
151,651.00,37.35
152,652.00,28.34
153,653.00,39.80
154,654.00,29.37
155,655.00,45.39
156,656.00,28.52
157,657.00,39.20
158,658.00,28.02
159,659.00,33.53
160,660.00,26.26
161,661.00,30.09
162,662.00,25.00
163,663.00,26.34
164,664.00,29.49
165,665.00,23.30
166,666.00,28.10
167,667.00,32.72
168,668.00,38.86
169,669.00,34.87
170,670.00,50.23
171,671.00,47.87
172,672.00,84.27
173,673.00,64.63
174,674.00,68.47
175,675.00,64.27
176,676.00,77.29
177,677.00,61.17
178,678.00,64.72
179,679.00,59.03
180,680.00,81.29
181,681.00,78.24
182,682.00,76.78
183,683.00,90.46
184,684.00,93.69
185,685.00,115.94
186,686.00,125.01
187,687.00,157.44
