ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112910-779300-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_29_10 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:29:08.669701
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,337.01
1,303.00,341.73
2,304.00,334.90
3,305.00,335.98
4,306.00,312.91
5,307.00,312.07
6,308.00,296.36
7,309.00,286.15
8,310.00,278.75
9,311.00,263.78
10,312.00,257.36
11,313.00,240.66
12,314.00,237.64
13,315.00,217.92
14,316.00,204.25
15,317.00,195.77
16,318.00,190.63
17,319.00,181.07
18,320.00,171.40
19,321.00,161.46
20,322.00,155.66
21,323.00,150.43
22,324.00,142.96
23,325.00,132.89
24,326.00,128.60
25,327.00,119.27
26,328.00,114.48
27,329.00,104.53
28,330.00,97.99
29,331.00,89.35
30,332.00,90.32
31,333.00,79.03
32,334.00,72.13
33,335.00,63.13
34,336.00,62.27
35,337.00,57.54
36,338.00,53.60
37,339.00,48.08
38,340.00,49.07
39,341.00,39.28
40,342.00,38.72
41,343.00,34.50
42,344.00,34.08
43,345.00,31.19
44,346.00,29.77
45,347.00,28.54
46,348.00,32.32
47,349.00,31.06
48,350.00,33.72
49,351.00,33.08
50,352.00,35.44
51,353.00,33.31
52,354.00,36.14
53,355.00,34.81
54,356.00,37.27
55,357.00,32.55
56,358.00,34.98
57,359.00,33.97
58,360.00,29.35
59,361.00,28.27
60,362.00,27.36
61,363.00,28.97
62,364.00,23.39
63,365.00,20.60
64,366.00,24.13
65,367.00,25.96
66,368.00,25.84
67,369.00,23.27
68,370.00,30.52
69,371.00,33.84
70,372.00,36.98
71,373.00,30.73
72,374.00,39.24
73,375.00,37.73
74,376.00,33.50
75,377.00,30.47
76,378.00,31.05
77,379.00,32.06
78,380.00,26.52
79,381.00,24.72
80,382.00,24.26
81,383.00,24.99
82,384.00,26.95
83,385.00,26.66
84,386.00,27.61
85,387.00,31.96
86,388.00,34.10
87,389.00,29.55
88,390.00,38.69
89,391.00,35.33
90,392.00,39.61
91,393.00,35.86
92,394.00,38.42
93,395.00,35.57
94,396.00,38.50
95,397.00,38.04
96,398.00,37.01
97,399.00,39.57
98,400.00,41.11
99,401.00,39.12
100,402.00,37.33
101,403.00,39.41
102,404.00,41.46
103,405.00,41.00
104,406.00,46.87
105,407.00,46.24
106,408.00,53.60
107,409.00,53.80
108,410.00,58.61
109,411.00,60.24
110,412.00,69.75
111,413.00,71.92
112,414.00,75.70
113,415.00,74.31
114,416.00,74.48
115,417.00,72.24
116,418.00,70.19
117,419.00,68.67
118,420.00,70.34
119,421.00,67.97
120,422.00,73.50
121,423.00,71.48
122,424.00,79.39
123,425.00,79.09
124,426.00,85.68
125,427.00,82.87
126,428.00,92.02
127,429.00,90.18
128,430.00,94.02
129,431.00,92.00
130,432.00,94.99
131,433.00,99.59
132,434.00,103.74
133,435.00,103.51
134,436.00,106.48
135,437.00,105.64
136,438.00,110.36
137,439.00,110.48
138,440.00,115.13
139,441.00,115.47
140,442.00,122.57
141,443.00,122.30
142,444.00,124.01
143,445.00,126.94
144,446.00,123.61
145,447.00,125.68
146,448.00,123.32
147,449.00,132.92
148,450.00,134.21
149,451.00,140.61
150,452.00,139.96
151,453.00,152.96
152,454.00,154.77
153,455.00,162.40
154,456.00,157.87
155,457.00,164.05
156,458.00,161.65
157,459.00,162.69
158,460.00,154.26
159,461.00,159.25
160,462.00,151.59
161,463.00,157.05
162,464.00,152.36
163,465.00,160.70
164,466.00,154.12
165,467.00,164.11
166,468.00,164.00
167,469.00,178.76
168,470.00,177.51
169,471.00,184.49
170,472.00,190.76
171,473.00,199.10
172,474.00,191.27
173,475.00,192.59
174,476.00,191.04
175,477.00,192.23
176,478.00,182.92
177,479.00,192.23
178,480.00,184.75
179,481.00,190.32
180,482.00,169.37
181,483.00,179.60
182,484.00,169.58
183,485.00,175.16
184,486.00,162.30
185,487.00,164.86
186,488.00,160.60
187,489.00,160.15
188,490.00,153.51
189,491.00,150.83
190,492.00,145.12
191,493.00,146.87
192,494.00,140.27
193,495.00,142.48
194,496.00,136.06
195,497.00,134.70
196,498.00,124.75
197,499.00,120.15
198,500.00,111.56
199,501.00,103.80
200,502.00,98.30
201,503.00,85.46
202,504.00,83.68
203,505.00,73.15
204,506.00,68.02
205,507.00,59.81
206,508.00,63.23
207,509.00,54.70
208,510.00,52.75
209,511.00,47.00
210,512.00,48.07
211,513.00,43.49
212,514.00,44.40
213,515.00,44.53
214,516.00,47.61
215,517.00,43.18
216,518.00,46.10
217,519.00,41.59
218,520.00,44.06
219,521.00,39.40
220,522.00,36.73
221,523.00,35.95
222,524.00,35.43
223,525.00,31.51
224,526.00,32.26
225,527.00,31.14
226,528.00,32.07
227,529.00,30.10
228,530.00,33.15
229,531.00,34.22
230,532.00,37.32
231,533.00,33.72
232,534.00,37.26
233,535.00,34.62
234,536.00,35.46
235,537.00,33.39
236,538.00,33.20
237,539.00,33.89
238,540.00,32.64
239,541.00,28.36
240,542.00,30.38
241,543.00,28.26
242,544.00,31.36
243,545.00,27.89
244,546.00,30.47
245,547.00,32.19
246,548.00,35.17
247,549.00,33.64
248,550.00,35.96
249,551.00,33.71
250,552.00,34.26
251,553.00,30.66
252,554.00,29.62
253,555.00,28.07
254,556.00,30.04
255,557.00,27.09
256,558.00,27.98
257,559.00,27.96
258,560.00,32.71
259,561.00,29.32
260,562.00,31.24
261,563.00,30.58
262,564.00,35.70
263,565.00,34.78
264,566.00,36.91
