ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115951-774997-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_59_51 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,836
Timestamp,2026-04-06 11:59:48.863393
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,88.96
1,303.00,79.13
2,304.00,63.82
3,305.00,54.21
4,306.00,58.49
5,307.00,49.00
6,308.00,39.11
7,309.00,39.83
8,310.00,45.18
9,311.00,45.80
10,312.00,48.61
11,313.00,56.78
12,314.00,65.10
13,315.00,71.55
14,316.00,69.13
15,317.00,87.43
16,318.00,86.29
17,319.00,111.46
18,320.00,117.26
19,321.00,142.57
20,322.00,153.79
21,323.00,184.39
22,324.00,208.17
23,325.00,231.39
24,326.00,250.21
25,327.00,266.88
26,328.00,307.03
27,329.00,329.17
28,330.00,358.22
29,331.00,389.75
30,332.00,440.20
31,333.00,498.41
32,334.00,563.17
33,335.00,634.80
34,336.00,728.14
35,337.00,838.19
36,338.00,945.76
37,339.00,1093.56
38,340.00,1264.84
39,341.00,1438.80
40,342.00,1644.84
41,343.00,1823.14
42,344.00,1993.26
43,345.00,2147.04
44,346.00,2247.36
45,347.00,2319.48
46,348.00,2298.71
47,349.00,2256.74
48,350.00,2138.01
49,351.00,2030.83
50,352.00,1876.12
51,353.00,1744.76
52,354.00,1621.97
53,355.00,1508.52
54,356.00,1429.05
55,357.00,1361.74
56,358.00,1332.21
57,359.00,1327.34
58,360.00,1357.51
59,361.00,1382.95
60,362.00,1403.83
61,363.00,1465.15
62,364.00,1546.11
63,365.00,1629.73
64,366.00,1714.42
65,367.00,1836.09
66,368.00,1980.52
67,369.00,2127.09
