ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195505-609214-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,1-butanol
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,752
Timestamp,2025-02-20 19:55:05.609214
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1054.00,1022.00
1,793.43,134.69,NA,1075.00,1029.50
2,793.58,137.12,NA,1091.00,1060.00
3,793.73,139.56,NA,1060.00,1017.00
4,793.89,141.99,NA,1073.50,1028.00
5,794.04,144.42,NA,1070.50,1033.50
6,794.19,146.86,NA,1082.50,1027.50
7,794.35,149.29,NA,1044.50,997.00
8,794.50,151.72,NA,1099.00,1048.50
9,794.65,154.15,NA,1073.00,1030.00
10,794.81,156.58,NA,1097.50,1049.50
11,794.96,159.01,NA,1101.00,1057.00
12,795.12,161.44,NA,1071.00,1017.00
13,795.27,163.87,NA,1097.50,1063.50
14,795.42,166.30,NA,1074.00,1020.00
15,795.58,168.73,NA,1092.00,1038.00
16,795.73,171.16,NA,1085.50,1017.00
17,795.88,173.58,NA,1099.50,1038.00
18,796.04,176.01,NA,1111.00,1063.50
19,796.19,178.44,NA,1118.50,1053.50
20,796.35,180.86,NA,1118.50,1064.50
21,796.50,183.29,NA,1095.00,1041.00
22,796.65,185.71,NA,1154.00,1090.50
23,796.81,188.14,NA,1120.50,1050.50
24,796.96,190.56,NA,1115.00,1048.00
25,797.11,192.98,NA,1131.00,1068.50
26,797.27,195.41,NA,1155.50,1083.50
27,797.42,197.83,NA,1146.00,1070.00
28,797.58,200.25,NA,1138.50,1068.00
29,797.73,202.67,NA,1122.50,1054.00
30,797.88,205.09,NA,1114.00,1035.50
31,798.04,207.51,NA,1116.00,1052.00
32,798.19,209.93,NA,1116.50,1042.00
33,798.35,212.35,NA,1133.00,1061.00
34,798.50,214.77,NA,1125.00,1052.00
35,798.66,217.18,NA,1152.00,1061.00
36,798.81,219.60,NA,1129.00,1043.00
37,798.96,222.02,NA,1175.50,1073.00
38,799.12,224.43,NA,1190.50,1049.00
39,799.27,226.85,NA,1261.00,1062.50
40,799.43,229.27,NA,1430.00,1082.50
41,799.58,231.68,NA,1725.00,1052.00
42,799.74,234.09,NA,2274.00,1062.50
43,799.89,236.51,NA,3032.50,1119.50
44,800.04,238.92,NA,3639.00,1109.00
45,800.20,241.33,NA,3996.50,1054.00
46,800.35,243.75,NA,4154.00,1058.00
47,800.51,246.16,77.45,4248.00,1048.50
48,800.66,248.57,290.49,4350.50,1085.50
49,800.82,250.98,373.14,4387.00,1095.00
50,800.97,253.39,356.21,4422.00,1089.00
51,801.13,255.80,351.29,4450.50,1085.50
52,801.28,258.21,443.94,4568.00,1094.00
53,801.43,260.61,508.87,4591.00,1056.50
54,801.59,263.02,535.53,4652.50,1087.00
55,801.74,265.43,588.37,4677.50,1042.00
56,801.90,267.83,637.80,4747.50,1060.00
57,802.05,270.24,727.01,4857.00,1076.00
58,802.21,272.65,744.52,4874.50,1089.00
59,802.36,275.05,802.48,4924.00,1076.50
60,802.52,277.46,766.01,4874.00,1081.00
61,802.67,279.86,755.49,4864.50,1089.00
62,802.83,282.26,710.31,4831.00,1103.50
63,802.98,284.66,572.98,4650.50,1088.00
64,803.14,287.07,547.57,4632.50,1100.50
65,803.29,289.47,469.12,4499.50,1079.00
66,803.45,291.87,417.28,4430.50,1094.00
67,803.60,294.27,378.62,4312.00,1049.00
68,803.76,296.67,340.13,4307.00,1107.50
69,803.91,299.07,255.62,4116.00,1021.00
70,804.07,301.47,179.57,4072.50,1078.00
71,804.22,303.87,107.89,3952.00,1068.00
72,804.38,306.26,82.91,3919.50,1061.00
73,804.53,308.66,28.73,3895.00,1084.50
74,804.69,311.06,0.00,3777.50,1077.00
75,804.84,313.45,0.55,3771.00,1058.00
76,805.00,315.85,0.00,3738.50,1062.50
77,805.15,318.24,17.59,3833.00,1090.00
78,805.31,320.64,45.69,3829.50,1073.50
79,805.46,323.03,67.41,3836.50,1062.50
80,805.62,325.42,131.57,3976.50,1099.50
81,805.77,327.82,197.87,4016.00,1043.50
82,805.93,330.21,344.31,4264.50,1083.50
83,806.09,332.60,482.62,4474.00,1096.50
84,806.24,334.99,730.13,4796.50,1040.00
85,806.40,337.38,980.83,5169.50,1035.00
86,806.55,339.77,1451.28,5864.50,1064.50
87,806.71,342.16,2063.06,6652.50,1058.00
88,806.86,344.55,2742.61,7527.00,1098.00
89,807.02,346.94,3504.70,8432.50,1083.50
90,807.17,349.32,4194.62,9227.00,1069.00
91,807.33,351.71,4702.15,9834.50,1083.00
92,807.48,354.10,4959.66,10159.00,1071.00
93,807.64,356.48,4849.79,10098.50,1091.00
94,807.80,358.87,4536.28,9762.50,1095.00
95,807.95,361.25,4176.59,9340.50,1081.50
96,808.11,363.63,3613.79,8654.50,1079.00
97,808.26,366.02,3052.32,7925.50,1059.00
98,808.42,368.40,2614.38,7339.00,1060.00
99,808.57,370.78,2211.66,6771.50,1065.50
100,808.73,373.16,1929.67,6362.00,1055.00
101,808.89,375.55,1639.16,6015.00,1103.50
102,809.04,377.93,1525.43,5852.00,1040.50
103,809.20,380.31,1430.14,5837.50,1059.00
104,809.35,382.68,1557.55,6196.00,1057.00
105,809.51,385.06,1950.00,7047.50,1095.00
106,809.66,387.44,2778.24,8470.50,1075.00
107,809.82,389.82,4387.77,10777.00,1063.50
108,809.98,392.19,7069.22,13908.50,1058.00
109,810.13,394.57,10376.76,17129.00,1082.50
110,810.29,396.95,12719.04,19118.50,1089.50
111,810.44,399.32,12591.61,18988.50,1064.50
112,810.60,401.70,10250.17,17021.50,1062.50
113,810.76,404.07,6982.57,13797.50,1071.50
114,810.91,406.44,4363.77,10691.50,1072.00
115,811.07,408.82,2688.21,8256.50,1071.00
116,811.22,411.19,1709.70,6567.50,1088.50
117,811.38,413.56,1206.16,5550.50,1077.00
118,811.54,415.93,883.11,4875.00,1084.50
119,811.69,418.30,729.50,4504.50,1058.00
120,811.85,420.67,581.08,4213.00,1055.00
121,812.00,423.04,514.16,4108.50,1075.00
122,812.16,425.41,436.30,3970.00,1061.00
123,812.32,427.77,405.54,3939.50,1082.50
124,812.47,430.14,427.41,3951.00,1071.00
125,812.63,432.51,486.20,4034.00,1071.00
126,812.79,434.87,554.58,4122.00,1048.00
127,812.94,437.24,679.43,4346.00,1064.50
128,813.10,439.60,889.78,4650.50,1042.50
129,813.26,441.97,1195.27,5106.00,1065.50
130,813.41,444.33,1618.26,5658.50,1061.50
131,813.57,446.69,2074.61,6221.50,1068.50
