ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200447-071895-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,2-amino butane
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,423
Timestamp,2025-02-20 20:04:47.071895
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1096.33,939.33
1,793.43,134.69,NA,1112.67,946.00
2,793.58,137.12,NA,1117.33,948.67
3,793.73,139.56,NA,1098.00,945.00
4,793.89,141.99,NA,1107.00,955.33
5,794.04,144.42,NA,1123.33,944.67
6,794.19,146.86,NA,1119.00,947.33
7,794.35,149.29,NA,1105.00,939.33
8,794.50,151.72,NA,1136.00,951.67
9,794.65,154.15,NA,1117.00,946.33
10,794.81,156.58,NA,1128.67,956.67
11,794.96,159.01,NA,1141.00,958.67
12,795.12,161.44,NA,1129.67,942.33
13,795.27,163.87,NA,1145.67,964.00
14,795.42,166.30,NA,1130.33,943.00
15,795.58,168.73,NA,1161.00,950.00
16,795.73,171.16,NA,1143.00,949.67
17,795.88,173.58,NA,1150.00,956.33
18,796.04,176.01,NA,1167.00,962.00
19,796.19,178.44,NA,1170.67,963.33
20,796.35,180.86,NA,1165.67,963.33
21,796.50,183.29,NA,1161.00,961.33
22,796.65,185.71,NA,1200.00,985.33
23,796.81,188.14,NA,1189.00,968.67
24,796.96,190.56,NA,1189.00,958.67
25,797.11,192.98,NA,1197.67,966.33
26,797.27,195.41,NA,1215.67,977.67
27,797.42,197.83,NA,1225.33,964.33
28,797.58,200.25,NA,1218.33,968.33
29,797.73,202.67,NA,1222.00,962.00
30,797.88,205.09,NA,1213.33,952.00
31,798.04,207.51,NA,1234.00,958.33
32,798.19,209.93,NA,1236.67,955.00
33,798.35,212.35,NA,1249.33,963.33
34,798.50,214.77,NA,1270.33,959.33
35,798.66,217.18,NA,1290.67,968.33
36,798.81,219.60,NA,1315.00,957.33
37,798.96,222.02,NA,1398.00,969.33
38,799.12,224.43,NA,1543.67,958.67
39,799.27,226.85,NA,1856.67,967.33
40,799.43,229.27,NA,2602.67,986.67
41,799.58,231.68,NA,4127.33,962.00
42,799.74,234.09,NA,6819.00,974.00
43,799.89,236.51,NA,10232.67,999.67
44,800.04,238.92,NA,13234.67,997.33
45,800.20,241.33,NA,15280.67,973.33
46,800.35,243.75,NA,16244.67,966.00
47,800.51,246.16,7.62,16760.33,962.67
48,800.66,248.57,117.38,16993.00,976.67
49,800.82,250.98,336.85,17185.33,997.33
50,800.97,253.39,512.49,17372.67,987.67
51,801.13,255.80,514.64,17457.00,986.00
52,801.28,258.21,655.47,17705.00,989.00
53,801.43,260.61,783.73,17868.00,965.33
54,801.59,263.02,904.96,18065.00,992.33
55,801.74,265.43,1003.03,18186.33,958.67
56,801.90,267.83,1069.58,18325.67,981.67
57,802.05,270.24,1135.47,18427.67,982.33
58,802.21,272.65,1178.54,18491.00,976.33
59,802.36,275.05,1158.34,18503.67,975.33
60,802.52,277.46,1015.14,18385.33,977.67
61,802.67,279.86,936.75,18341.33,979.00
62,802.83,282.26,793.68,18208.33,996.33
63,802.98,284.66,704.47,18103.67,982.00
64,803.14,287.07,606.08,18028.33,997.67
65,803.29,289.47,428.84,17828.33,980.33
66,803.45,291.87,348.60,17781.67,987.67
67,803.60,294.27,227.81,17628.33,969.00
68,803.76,296.67,186.81,17612.33,998.67
69,803.91,299.07,160.48,17539.33,951.33
70,804.07,301.47,122.07,17563.33,978.33
71,804.22,303.87,34.16,17495.00,975.00
72,804.38,306.26,9.41,17495.33,980.33
73,804.53,308.66,0.32,17486.00,984.67
74,804.69,311.06,5.96,17522.00,976.67
75,804.84,313.45,25.31,17560.67,969.67
76,805.00,315.85,28.14,17588.33,972.00
77,805.15,318.24,0.00,17571.33,992.33
