ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200056-941028-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,2-methyl propanol
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,323
Timestamp,2025-02-20 20:00:56.941028
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,936.75,916.75
1,793.43,134.69,NA,938.25,921.00
2,793.58,137.12,NA,945.00,926.00
3,793.73,139.56,NA,934.00,920.00
4,793.89,141.99,NA,942.50,922.50
5,794.04,144.42,NA,946.50,925.50
6,794.19,146.86,NA,941.25,918.75
7,794.35,149.29,NA,932.25,916.00
8,794.50,151.72,NA,953.50,935.50
9,794.65,154.15,NA,938.00,923.50
10,794.81,156.58,NA,949.50,931.50
11,794.96,159.01,NA,952.50,930.00
12,795.12,161.44,NA,935.75,916.00
13,795.27,163.87,NA,958.75,933.75
14,795.42,166.30,NA,939.25,918.75
15,795.58,168.73,NA,949.00,925.00
16,795.73,171.16,NA,943.00,920.25
17,795.88,173.58,NA,949.00,926.25
18,796.04,176.01,NA,955.25,937.25
19,796.19,178.44,NA,961.00,934.75
20,796.35,180.86,NA,958.50,932.00
21,796.50,183.29,NA,952.50,926.00
22,796.65,185.71,NA,970.50,947.00
23,796.81,188.14,NA,954.75,937.00
24,796.96,190.56,NA,958.75,932.00
25,797.11,192.98,NA,967.75,936.75
26,797.27,195.41,NA,975.00,945.50
27,797.42,197.83,NA,969.25,938.25
28,797.58,200.25,NA,970.25,940.50
29,797.73,202.67,NA,957.00,931.00
30,797.88,205.09,NA,963.50,928.50
31,798.04,207.51,NA,962.00,924.50
32,798.19,209.93,NA,957.00,926.00
33,798.35,212.35,NA,966.75,935.00
34,798.50,214.77,NA,957.25,928.00
35,798.66,217.18,NA,976.25,936.00
36,798.81,219.60,NA,963.25,929.00
37,798.96,222.02,NA,985.50,942.50
38,799.12,224.43,NA,991.75,930.25
39,799.27,226.85,NA,1018.00,938.75
40,799.43,229.27,NA,1096.25,945.00
41,799.58,231.68,NA,1236.75,929.75
42,799.74,234.09,NA,1476.00,936.00
43,799.89,236.51,NA,1812.00,959.25
44,800.04,238.92,NA,2083.00,958.50
45,800.20,241.33,NA,2250.75,929.75
46,800.35,243.75,NA,2345.50,929.75
47,800.51,246.16,40.01,2392.50,933.00
48,800.66,248.57,132.14,2430.50,951.00
49,800.82,250.98,169.41,2447.00,950.75
50,800.97,253.39,170.50,2467.50,943.50
51,801.13,255.80,192.12,2512.50,943.00
52,801.28,258.21,231.60,2568.00,947.75
