ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200023-341747-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,DMSO
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,78
Timestamp,2025-02-20 20:00:23.341747
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,885.60,861.10
1,793.43,134.69,NA,888.20,860.90
2,793.58,137.12,NA,892.40,861.80
3,793.73,139.56,NA,892.50,858.60
4,793.89,141.99,NA,889.30,860.70
5,794.04,144.42,NA,891.50,862.50
6,794.19,146.86,NA,891.80,858.40
7,794.35,149.29,NA,889.40,860.00
8,794.50,151.72,NA,893.30,862.90
9,794.65,154.15,NA,891.70,860.60
10,794.81,156.58,NA,894.80,862.70
11,794.96,159.01,NA,896.20,864.30
12,795.12,161.44,NA,894.00,861.70
13,795.27,163.87,NA,893.30,867.00
14,795.42,166.30,NA,890.20,860.60
15,795.58,168.73,NA,895.90,865.00
16,795.73,171.16,NA,892.60,859.70
17,795.88,173.58,NA,897.60,863.30
18,796.04,176.01,NA,894.00,863.10
19,796.19,178.44,NA,897.00,864.20
20,796.35,180.86,NA,894.10,862.80
21,796.50,183.29,NA,897.10,864.10
22,796.65,185.71,NA,896.60,864.30
23,796.81,188.14,NA,900.30,862.50
24,796.96,190.56,NA,896.30,861.60
25,797.11,192.98,NA,899.30,864.20
26,797.27,195.41,NA,900.10,866.70
27,797.42,197.83,NA,898.10,866.30
28,797.58,200.25,NA,901.00,865.00
29,797.73,202.67,NA,897.50,862.30
30,797.88,205.09,NA,898.30,863.20
31,798.04,207.51,NA,899.30,862.00
32,798.19,209.93,NA,898.30,862.00
33,798.35,212.35,NA,898.90,864.20
34,798.50,214.77,NA,900.70,861.90
35,798.66,217.18,NA,903.60,866.30
36,798.81,219.60,NA,903.90,863.30
37,798.96,222.02,NA,908.20,867.30
38,799.12,224.43,NA,911.50,866.40
39,799.27,226.85,NA,927.80,864.00
40,799.43,229.27,NA,962.20,867.00
41,799.58,231.68,NA,1031.10,864.50
42,799.74,234.09,NA,1153.00,865.70
43,799.89,236.51,NA,1317.50,868.90
44,800.04,238.92,NA,1467.80,869.20
45,800.20,241.33,NA,1559.70,861.50
46,800.35,243.75,NA,1616.80,864.00
47,800.51,246.16,4.79,1647.40,866.20
48,800.66,248.57,38.75,1683.70,867.80
49,800.82,250.98,73.41,1700.70,871.40
50,800.97,253.39,99.83,1726.90,868.80
51,801.13,255.80,107.24,1741.40,866.80
52,801.28,258.21,128.22,1773.80,870.40
53,801.43,260.61,154.03,1796.80,864.30
54,801.59,263.02,182.47,1831.70,867.10
55,801.74,265.43,203.10,1852.50,862.30
56,801.90,267.83,230.52,1893.00,866.20
57,802.05,270.24,261.95,1936.20,868.60
58,802.21,272.65,302.09,1985.60,867.80
59,802.36,275.05,355.41,2052.20,866.40
60,802.52,277.46,407.61,2123.20,866.40
61,802.67,279.86,473.19,2221.60,870.50
62,802.83,282.26,556.92,2341.70,870.10
63,802.98,284.66,679.67,2515.10,867.90
64,803.14,287.07,840.01,2755.40,870.70
65,803.29,289.47,1025.90,3035.40,865.70
66,803.45,291.87,1327.29,3482.70,869.40
67,803.60,294.27,1755.06,4066.20,865.10
68,803.76,296.67,2325.80,4799.60,871.50
69,803.91,299.07,3053.31,5654.80,860.70
70,804.07,301.47,3836.73,6540.80,867.80
71,804.22,303.87,4510.82,7268.60,867.30
72,804.38,306.26,4962.57,7767.90,867.60
73,804.53,308.66,5043.37,7899.90,870.00
74,804.69,311.06,4793.43,7711.90,868.60
75,804.84,313.45,4304.18,7274.20,864.60
76,805.00,315.85,3799.74,6824.70,864.40
77,805.15,318.24,3396.85,6476.70,869.70
