ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195618-676783-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,acetonitrile
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,211
Timestamp,2025-02-20 19:56:18.676783
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,907.00,892.40
1,793.43,134.69,NA,915.60,892.80
2,793.58,137.12,NA,917.20,896.40
3,793.73,139.56,NA,910.20,892.20
4,793.89,141.99,NA,914.80,893.00
5,794.04,144.42,NA,912.60,895.60
6,794.19,146.86,NA,913.20,892.00
7,794.35,149.29,NA,908.00,890.00
8,794.50,151.72,NA,922.40,900.20
9,794.65,154.15,NA,918.00,893.60
10,794.81,156.58,NA,920.00,903.00
11,794.96,159.01,NA,924.40,902.80
12,795.12,161.44,NA,910.60,894.60
13,795.27,163.87,NA,922.60,900.40
14,795.42,166.30,NA,916.20,893.20
15,795.58,168.73,NA,927.20,896.40
16,795.73,171.16,NA,915.60,892.60
17,795.88,173.58,NA,926.40,892.00
18,796.04,176.01,NA,928.80,902.00
19,796.19,178.44,NA,929.40,903.80
20,796.35,180.86,NA,924.20,903.20
21,796.50,183.29,NA,924.80,899.20
22,796.65,185.71,NA,941.80,909.00
23,796.81,188.14,NA,931.40,904.20
24,796.96,190.56,NA,933.00,903.60
25,797.11,192.98,NA,934.20,904.20
26,797.27,195.41,NA,937.40,911.20
27,797.42,197.83,NA,939.20,905.00
28,797.58,200.25,NA,936.40,903.80
29,797.73,202.67,NA,933.40,902.80
30,797.88,205.09,NA,926.80,901.60
31,798.04,207.51,NA,933.60,898.00
32,798.19,209.93,NA,941.60,897.40
33,798.35,212.35,NA,937.00,901.20
34,798.50,214.77,NA,930.80,898.20
35,798.66,217.18,NA,936.60,901.60
36,798.81,219.60,NA,936.20,896.00
37,798.96,222.02,NA,947.20,907.20
38,799.12,224.43,NA,949.60,896.60
39,799.27,226.85,NA,978.60,903.80
40,799.43,229.27,NA,1043.40,906.40
41,799.58,231.68,NA,1142.80,902.20
42,799.74,234.09,NA,1347.20,907.60
43,799.89,236.51,NA,1601.40,923.40
44,800.04,238.92,NA,1804.40,921.00
45,800.20,241.33,NA,1897.40,900.00
46,800.35,243.75,NA,1940.20,903.80
47,800.51,246.16,54.07,1926.80,896.00
48,800.66,248.57,151.24,1939.20,906.20
49,800.82,250.98,130.83,1921.00,914.80
50,800.97,253.39,77.12,1886.40,913.80
51,801.13,255.80,63.29,1867.80,907.40
52,801.28,258.21,54.54,1850.40,909.00
53,801.43,260.61,36.50,1814.00,903.40
54,801.59,263.02,30.10,1812.20,912.60
55,801.74,265.43,7.97,1766.60,897.40
