ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200742-199801-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,cyclohexane
Declared Match,
Declared Score,0
Scan Averaging,9
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,113
Timestamp,2025-02-20 20:07:42.199801
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,872.22,867.00
1,793.43,134.69,NA,875.89,869.44
2,793.58,137.12,NA,875.33,872.78
3,793.73,139.56,NA,871.78,868.56
4,793.89,141.99,NA,876.11,868.89
5,794.04,144.42,NA,875.89,871.11
6,794.19,146.86,NA,877.89,871.22
7,794.35,149.29,NA,870.67,867.67
8,794.50,151.72,NA,875.89,872.78
9,794.65,154.15,NA,874.33,869.33
10,794.81,156.58,NA,877.67,872.56
11,794.96,159.01,NA,877.22,874.11
12,795.12,161.44,NA,873.67,870.67
13,795.27,163.87,NA,881.44,878.67
14,795.42,166.30,NA,874.78,868.22
15,795.58,168.73,NA,878.56,872.78
16,795.73,171.16,NA,874.56,870.89
17,795.88,173.58,NA,878.33,871.78
18,796.04,176.01,NA,879.33,871.22
19,796.19,178.44,NA,880.33,876.22
20,796.35,180.86,NA,880.78,873.33
21,796.50,183.29,NA,875.22,869.44
22,796.65,185.71,NA,886.89,879.56
23,796.81,188.14,NA,881.00,876.67
24,796.96,190.56,NA,878.67,875.56
25,797.11,192.98,NA,882.44,874.11
26,797.27,195.41,NA,885.33,878.78
27,797.42,197.83,NA,885.11,875.56
28,797.58,200.25,NA,884.89,876.56
29,797.73,202.67,NA,880.11,877.22
30,797.88,205.09,NA,878.67,869.22
31,798.04,207.51,NA,879.78,874.11
32,798.19,209.93,NA,880.44,872.11
33,798.35,212.35,NA,883.00,871.67
34,798.50,214.77,NA,880.89,871.56
35,798.66,217.18,NA,885.11,873.89
36,798.81,219.60,NA,879.78,869.89
37,798.96,222.02,NA,887.67,875.22
38,799.12,224.43,NA,885.56,872.56
39,799.27,226.85,NA,890.44,875.22
40,799.43,229.27,NA,904.78,877.11
41,799.58,231.68,NA,917.78,876.33
42,799.74,234.09,NA,953.00,873.33
43,799.89,236.51,NA,1008.67,883.00
44,800.04,238.92,NA,1046.22,883.56
45,800.20,241.33,NA,1059.11,871.67
46,800.35,243.75,NA,1073.00,874.00
47,800.51,246.16,9.61,1076.89,875.00
48,800.66,248.57,27.74,1081.33,878.67
49,800.82,250.98,24.65,1080.00,883.22
50,800.97,253.39,20.58,1074.22,877.22
51,801.13,255.80,14.27,1070.11,877.33
52,801.28,258.21,7.43,1064.44,881.67
