ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200411-991069-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,dimethyl carbonate
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,210
Timestamp,2025-02-20 20:04:11.991069
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,901.80,888.40
1,793.43,134.69,NA,909.20,894.00
2,793.58,137.12,NA,908.60,898.80
3,793.73,139.56,NA,901.20,892.20
4,793.89,141.99,NA,908.60,894.00
5,794.04,144.42,NA,905.40,892.60
6,794.19,146.86,NA,903.00,895.40
7,794.35,149.29,NA,900.60,888.40
8,794.50,151.72,NA,915.40,898.60
9,794.65,154.15,NA,909.20,897.20
10,794.81,156.58,NA,914.20,901.60
11,794.96,159.01,NA,915.00,898.20
12,795.12,161.44,NA,909.80,891.80
13,795.27,163.87,NA,914.20,903.00
14,795.42,166.30,NA,902.60,892.20
15,795.58,168.73,NA,913.00,896.60
16,795.73,171.16,NA,903.80,893.40
17,795.88,173.58,NA,913.60,895.80
18,796.04,176.01,NA,918.00,901.20
19,796.19,178.44,NA,917.00,901.60
20,796.35,180.86,NA,914.80,900.40
21,796.50,183.29,NA,914.20,899.20
22,796.65,185.71,NA,929.60,911.00
23,796.81,188.14,NA,923.80,899.20
24,796.96,190.56,NA,918.80,903.00
25,797.11,192.98,NA,929.00,903.40
26,797.27,195.41,NA,930.80,908.40
27,797.42,197.83,NA,933.60,905.00
28,797.58,200.25,NA,928.00,907.80
29,797.73,202.67,NA,923.20,898.20
30,797.88,205.09,NA,919.80,897.80
31,798.04,207.51,NA,923.60,895.20
32,798.19,209.93,NA,920.40,897.20
33,798.35,212.35,NA,932.20,905.40
34,798.50,214.77,NA,928.60,899.40
35,798.66,217.18,NA,938.80,903.80
36,798.81,219.60,NA,937.60,897.80
37,798.96,222.02,NA,944.80,904.20
38,799.12,224.43,NA,954.40,900.20
