ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200234-502359-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,ethyl acetate
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,466
Timestamp,2025-02-20 20:02:34.502359
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,985.67,947.67
1,793.43,134.69,NA,997.33,962.67
2,793.58,137.12,NA,1000.67,969.33
3,793.73,139.56,NA,991.00,948.67
4,793.89,141.99,NA,989.00,957.33
5,794.04,144.42,NA,995.33,957.67
6,794.19,146.86,NA,997.67,960.67
7,794.35,149.29,NA,971.00,943.00
8,794.50,151.72,NA,1001.00,971.00
9,794.65,154.15,NA,1004.33,964.00
10,794.81,156.58,NA,1000.00,964.67
11,794.96,159.01,NA,1009.67,974.67
12,795.12,161.44,NA,994.33,954.00
13,795.27,163.87,NA,1017.67,981.00
14,795.42,166.30,NA,1000.67,953.33
15,795.58,168.73,NA,1004.00,966.67
16,795.73,171.16,NA,995.67,958.00
17,795.88,173.58,NA,1004.33,962.67
18,796.04,176.01,NA,1017.33,975.33
19,796.19,178.44,NA,1018.67,978.33
20,796.35,180.86,NA,1014.33,979.00
21,796.50,183.29,NA,1012.00,960.67
22,796.65,185.71,NA,1036.00,988.33
23,796.81,188.14,NA,1017.67,973.67
24,796.96,190.56,NA,1018.33,966.00
25,797.11,192.98,NA,1028.33,980.33
26,797.27,195.41,NA,1046.33,991.00
27,797.42,197.83,NA,1032.00,980.67
28,797.58,200.25,NA,1034.67,986.67
29,797.73,202.67,NA,1026.00,976.67
30,797.88,205.09,NA,1025.00,965.00
31,798.04,207.51,NA,1022.67,967.33
32,798.19,209.93,NA,1020.33,964.67
33,798.35,212.35,NA,1033.00,977.33
34,798.50,214.77,NA,1031.00,972.00
35,798.66,217.18,NA,1041.00,976.00
36,798.81,219.60,NA,1033.33,968.00
37,798.96,222.02,NA,1061.33,988.33
38,799.12,224.43,NA,1070.67,974.33
39,799.27,226.85,NA,1117.00,977.00
40,799.43,229.27,NA,1248.00,992.00
41,799.58,231.68,NA,1475.67,976.33
42,799.74,234.09,NA,1884.67,979.67
43,799.89,236.51,NA,2410.00,1021.00
44,800.04,238.92,NA,2823.67,1008.00
45,800.20,241.33,NA,3033.00,973.33
46,800.35,243.75,NA,3126.67,981.67
47,800.51,246.16,103.77,3133.33,967.67
48,800.66,248.57,223.79,3125.67,996.00
49,800.82,250.98,180.32,3087.67,1009.67
50,800.97,253.39,155.83,3070.33,985.00
51,801.13,255.80,96.34,3025.00,989.00
52,801.28,258.21,51.47,2977.33,1005.33
53,801.43,260.61,42.51,2914.00,971.67
54,801.59,263.02,48.65,2918.67,983.67
55,801.74,265.43,35.77,2883.33,959.00
56,801.90,267.83,0.15,2841.00,981.67
57,802.05,270.24,5.28,2840.33,974.67
58,802.21,272.65,0.00,2813.67,992.33
59,802.36,275.05,7.83,2832.00,984.67
60,802.52,277.46,0.00,2776.33,988.00
61,802.67,279.86,0.36,2809.67,987.67
62,802.83,282.26,3.85,2835.00,1004.00
63,802.98,284.66,30.09,2852.33,983.33
64,803.14,287.07,47.99,2869.00,1000.00
65,803.29,289.47,82.99,2898.00,987.33
66,803.45,291.87,129.33,2966.67,996.00
67,803.60,294.27,196.24,3022.33,970.33
68,803.76,296.67,261.46,3133.67,1003.00
69,803.91,299.07,347.15,3201.33,960.00
70,804.07,301.47,451.59,3363.67,988.67
71,804.22,303.87,566.89,3497.00,981.67
72,804.38,306.26,705.36,3657.00,982.33
73,804.53,308.66,846.18,3810.33,986.00
74,804.69,311.06,969.57,3940.67,990.00
75,804.84,313.45,1012.25,3954.33,966.00
76,805.00,315.85,1004.13,3955.33,977.33
77,805.15,318.24,927.18,3883.33,994.33
78,805.31,320.64,811.65,3738.00,985.67
79,805.46,323.03,677.90,3564.00,970.67
80,805.62,325.42,548.25,3433.00,994.00
81,805.77,327.82,405.41,3214.33,966.33
82,805.93,330.21,350.34,3156.00,993.33
83,806.09,332.60,301.35,3076.00,998.33
84,806.24,334.99,270.61,2988.67,965.33
85,806.40,337.38,259.60,2963.67,962.00
86,806.55,339.77,249.57,2965.33,987.67
87,806.71,342.16,299.14,3010.33,973.33
88,806.86,344.55,332.55,3071.67,996.00
89,807.02,346.94,382.54,3138.67,994.33
90,807.17,349.32,468.12,3237.33,975.00
91,807.33,351.71,602.68,3439.33,987.33
92,807.48,354.10,725.92,3632.67,991.67
93,807.64,356.48,920.08,3952.67,993.67
94,807.80,358.87,1206.95,4451.33,1006.33
95,807.95,361.25,1615.81,5159.67,986.00
96,808.11,363.63,2201.92,6245.67,986.67
97,808.26,366.02,3162.89,7935.00,970.33
98,808.42,368.40,4820.07,10561.33,983.00
99,808.57,370.78,7541.02,14233.33,998.67
100,808.73,373.16,11385.55,18575.67,976.67
101,808.89,375.55,15623.85,22798.67,997.33
102,809.04,377.93,18309.39,25205.67,971.67
103,809.20,380.31,18255.28,25290.67,976.67
104,809.35,382.68,15325.47,22670.00,977.33
105,809.51,385.06,11420.78,18783.33,1000.00
106,809.66,387.44,7897.72,14679.00,987.00
107,809.82,389.82,5309.85,11171.00,981.67
108,809.98,392.19,3598.03,8489.33,971.33
109,810.13,394.57,2585.20,6744.67,994.67
110,810.29,396.95,1941.55,5548.67,989.67
111,810.44,399.32,1498.40,4728.00,974.67
112,810.60,401.70,1163.51,4156.00,976.67
113,810.76,404.07,914.48,3750.33,986.00
114,810.91,406.44,754.05,3465.00,976.33
115,811.07,408.82,633.83,3251.67,974.67
116,811.22,411.19,548.82,3117.67,988.00
117,811.38,413.56,457.06,2970.00,987.33
118,811.54,415.93,395.73,2871.67,987.67
119,811.69,418.30,348.89,2778.00,973.33
120,811.85,420.67,322.09,2721.00,967.00
121,812.00,423.04,310.22,2719.00,992.33
122,812.16,425.41,314.40,2700.33,974.00
123,812.32,427.77,333.63,2749.33,999.33
124,812.47,430.14,372.08,2786.00,988.67
125,812.63,432.51,453.61,2885.00,988.00
126,812.79,434.87,544.68,2955.00,962.67
127,812.94,437.24,651.65,3085.00,987.00
128,813.10,439.60,732.77,3133.33,962.00
129,813.26,441.97,739.98,3144.67,973.67
130,813.41,444.33,688.17,3094.67,969.33
131,813.57,446.69,588.37,3011.67,983.33
132,813.72,449.06,514.03,2928.33,972.67
133,813.88,451.42,487.05,2886.00,963.33
134,814.04,453.78,545.40,2969.00,980.33
135,814.19,456.14,663.91,3066.33,950.67
136,814.35,458.50,783.46,3183.00,958.67
137,814.51,460.86,914.37,3335.67,990.00
138,814.66,463.22,979.50,3352.33,962.00
139,814.82,465.58,949.81,3350.33,1007.00
140,814.98,467.93,801.97,3132.00,964.00
141,815.13,470.29,645.42,2949.33,961.33
142,815.29,472.65,466.31,2719.33,969.00
143,815.45,475.00,341.88,2547.00,988.00
144,815.60,477.36,272.54,2406.00,977.00
145,815.76,479.71,218.12,2288.67,973.67
146,815.92,482.06,183.37,2198.33,956.67
147,816.07,484.42,144.41,2123.33,951.00
148,816.23,486.77,103.33,2082.33,986.67
149,816.39,489.12,94.62,2028.33,967.33
150,816.54,491.47,92.67,2038.00,1002.67
151,816.70,493.82,82.60,2007.33,996.00
152,816.86,496.17,48.13,1919.00,965.67
153,817.01,498.52,30.90,1892.00,982.33
154,817.17,500.87,45.93,1881.33,970.00
155,817.33,503.22,26.12,1848.00,971.67
156,817.48,505.57,10.80,1823.00,968.00
157,817.64,507.91,0.00,1777.67,988.67
158,817.80,510.26,0.00,1759.33,963.67
159,817.95,512.60,6.79,1747.67,952.00
160,818.11,514.95,0.62,1753.67,979.67
161,818.27,517.29,0.00,1717.67,980.00
162,818.42,519.64,0.00,1702.33,992.33
163,818.58,521.98,0.00,1694.33,993.33
164,818.74,524.32,0.00,1679.33,971.00
165,818.90,526.66,0.00,1640.33,953.67
166,819.05,529.00,0.00,1691.33,989.33
167,819.21,531.34,0.00,1651.67,962.67
168,819.37,533.68,0.00,1656.67,970.33
169,819.52,536.02,0.00,1655.67,980.33
170,819.68,538.36,0.00,1680.00,984.33
171,819.84,540.70,0.00,1629.00,955.67
172,819.99,543.04,0.00,1673.67,987.33
173,820.15,545.37,0.00,1676.00,970.67
174,820.31,547.71,0.00,1670.67,974.00
175,820.47,550.04,0.00,1679.67,978.33
176,820.62,552.38,0.00,1670.67,952.33
177,820.78,554.71,0.00,1686.67,968.00
178,820.94,557.05,0.06,1701.33,965.00
179,821.10,559.38,1.10,1715.00,967.67
180,821.25,561.71,13.79,1737.33,954.33
181,821.41,564.04,27.32,1759.33,964.00
182,821.57,566.37,52.30,1788.33,959.00
