ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201622-634154-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,glycerol
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,784
Timestamp,2025-02-20 20:16:22.634154
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1087.00,1027.50
1,793.43,134.69,NA,1114.00,1045.50
2,793.58,137.12,NA,1128.00,1049.00
3,793.73,139.56,NA,1112.00,1024.50
4,793.89,141.99,NA,1116.00,1028.50
5,794.04,144.42,NA,1118.50,1042.00
6,794.19,146.86,NA,1120.50,1036.00
7,794.35,149.29,NA,1092.00,1009.50
8,794.50,151.72,NA,1144.50,1062.50
9,794.65,154.15,NA,1119.50,1043.00
10,794.81,156.58,NA,1146.00,1056.00
11,794.96,159.01,NA,1151.00,1066.50
12,795.12,161.44,NA,1109.00,1035.00
13,795.27,163.87,NA,1159.50,1071.00
14,795.42,166.30,NA,1121.50,1033.00
15,795.58,168.73,NA,1140.50,1049.50
16,795.73,171.16,NA,1127.00,1034.00
17,795.88,173.58,NA,1145.50,1039.00
18,796.04,176.01,NA,1164.50,1069.00
19,796.19,178.44,NA,1172.50,1065.50
20,796.35,180.86,NA,1164.50,1062.00
21,796.50,183.29,NA,1153.00,1037.50
22,796.65,185.71,NA,1203.50,1092.50
23,796.81,188.14,NA,1178.50,1080.50
24,796.96,190.56,NA,1174.00,1054.00
25,797.11,192.98,NA,1193.50,1087.50
26,797.27,195.41,NA,1208.00,1097.00
27,797.42,197.83,NA,1193.50,1085.50
28,797.58,200.25,NA,1201.50,1078.50
29,797.73,202.67,NA,1181.00,1051.00
30,797.88,205.09,NA,1182.50,1056.00
31,798.04,207.51,NA,1196.00,1052.00
32,798.19,209.93,NA,1176.50,1056.00
33,798.35,212.35,NA,1202.00,1062.50
34,798.50,214.77,NA,1210.50,1056.00
35,798.66,217.18,NA,1230.00,1073.00
36,798.81,219.60,NA,1225.00,1052.00
37,798.96,222.02,NA,1292.50,1083.50
38,799.12,224.43,NA,1334.00,1060.00
39,799.27,226.85,NA,1493.50,1069.00
40,799.43,229.27,NA,1855.00,1093.00
41,799.58,231.68,NA,2497.00,1061.00
42,799.74,234.09,NA,3737.50,1078.00
43,799.89,236.51,NA,5345.50,1137.50
44,800.04,238.92,NA,6716.50,1115.00
45,800.20,241.33,NA,7585.00,1062.50
46,800.35,243.75,NA,8072.00,1076.00
47,800.51,246.16,71.09,8143.00,1067.50
48,800.66,248.57,365.11,8328.00,1093.00
49,800.82,250.98,481.76,8359.00,1113.00
50,800.97,253.39,461.24,8382.00,1096.00
51,801.13,255.80,412.80,8389.50,1094.50
52,801.28,258.21,378.89,8377.50,1105.00
53,801.43,260.61,370.23,8329.50,1073.00
54,801.59,263.02,363.63,8343.00,1101.00
55,801.74,265.43,316.98,8236.00,1052.00
56,801.90,267.83,273.24,8204.00,1073.00
57,802.05,270.24,261.08,8209.00,1091.00
58,802.21,272.65,172.63,8102.00,1095.00
59,802.36,275.05,176.53,8106.00,1084.50
60,802.52,277.46,111.38,8035.50,1096.00
61,802.67,279.86,66.79,7977.00,1105.00
62,802.83,282.26,111.59,8035.50,1111.00
63,802.98,284.66,42.89,7939.50,1101.50
64,803.14,287.07,29.24,7949.50,1124.50
65,803.29,289.47,22.78,7909.50,1086.00
66,803.45,291.87,9.13,7910.50,1110.00
67,803.60,294.27,8.88,7862.50,1065.50
68,803.76,296.67,50.32,7997.50,1136.00
69,803.91,299.07,66.70,7891.00,1037.00
70,804.07,301.47,140.02,8026.50,1091.50
71,804.22,303.87,104.59,7974.00,1072.00
72,804.38,306.26,125.74,8022.50,1082.00
73,804.53,308.66,198.92,8126.50,1088.00
74,804.69,311.06,218.89,8146.50,1092.00
75,804.84,313.45,289.98,8214.00,1066.00
76,805.00,315.85,347.21,8286.50,1073.00
77,805.15,318.24,455.08,8448.00,1113.00
78,805.31,320.64,510.97,8487.50,1094.00
79,805.46,323.03,563.82,8544.50,1075.00
80,805.62,325.42,542.37,8552.50,1102.50
81,805.77,327.82,597.71,8587.00,1074.00
82,805.93,330.21,631.65,8633.50,1101.00
83,806.09,332.60,596.08,8575.50,1105.00
84,806.24,334.99,561.39,8493.50,1060.00
85,806.40,337.38,471.93,8382.00,1044.00
86,806.55,339.77,324.76,8223.00,1091.00
87,806.71,342.16,334.95,8172.50,1063.00
88,806.86,344.55,240.58,8095.50,1108.50
89,807.02,346.94,103.75,7977.50,1098.00
90,807.17,349.32,14.00,7846.50,1077.50
91,807.33,351.71,0.04,7754.50,1097.50
92,807.48,354.10,0.00,7646.50,1089.00
93,807.64,356.48,0.00,7594.00,1106.50
94,807.80,358.87,0.00,7616.00,1120.50
95,807.95,361.25,0.00,7604.50,1093.00
96,808.11,363.63,0.00,7636.00,1091.50
97,808.26,366.02,0.66,7815.00,1063.50
98,808.42,368.40,28.50,8017.00,1079.00
99,808.57,370.78,210.16,8314.00,1081.00
100,808.73,373.16,486.83,8544.50,1065.50
101,808.89,375.55,792.89,8942.00,1120.50
102,809.04,377.93,966.03,9133.00,1063.50
103,809.20,380.31,1095.51,9359.00,1069.50
104,809.35,382.68,1170.88,9494.50,1058.00
105,809.51,385.06,1225.46,9678.50,1119.50
106,809.66,387.44,1211.82,9684.50,1081.00
107,809.82,389.82,1211.34,9750.00,1069.50
108,809.98,392.19,1236.87,9848.00,1056.00
109,810.13,394.57,1361.12,10123.00,1087.50
110,810.29,396.95,1603.81,10529.00,1091.00
111,810.44,399.32,1948.05,11054.00,1088.00
112,810.60,401.70,2488.89,11831.50,1076.50
113,810.76,404.07,3130.24,12723.00,1069.00
114,810.91,406.44,3868.99,13753.50,1095.00
115,811.07,408.82,4667.13,14779.00,1081.50
116,811.22,411.19,5472.23,15799.50,1094.00
117,811.38,413.56,6023.90,16462.00,1082.50
118,811.54,415.93,6291.90,16840.50,1093.00
119,811.69,418.30,6167.19,16752.00,1076.50
120,811.85,420.67,5724.71,16288.00,1069.00
121,812.00,423.04,5168.51,15698.50,1105.50
122,812.16,425.41,4545.45,14880.50,1063.50
123,812.32,427.77,3965.97,14140.00,1097.50
124,812.47,430.14,3485.45,13458.50,1084.50
125,812.63,432.51,2995.01,12761.50,1091.00
126,812.79,434.87,2628.47,12211.00,1070.00
127,812.94,437.24,2267.51,11708.00,1096.00
128,813.10,439.60,1994.58,11266.00,1049.00
129,813.26,441.97,1713.20,10905.00,1086.50
130,813.41,444.33,1511.96,10629.50,1076.00
131,813.57,446.69,1295.00,10334.00,1069.50
132,813.72,449.06,1204.36,10211.50,1051.00
133,813.88,451.42,1137.33,10143.50,1059.00
134,814.04,453.78,1193.62,10282.50,1071.00
135,814.19,456.14,1253.80,10388.00,1034.50
136,814.35,458.50,1467.53,10784.50,1051.00
137,814.51,460.86,1843.68,11451.00,1101.50
138,814.66,463.22,2350.69,12212.00,1053.00
139,814.82,465.58,2983.21,13271.50,1114.50
140,814.98,467.93,3883.05,14601.50,1065.50
141,815.13,470.29,4951.51,16176.00,1072.00
142,815.29,472.65,6193.88,17944.50,1073.00
143,815.45,475.00,7500.54,19791.00,1098.50
144,815.60,477.36,8783.33,21549.50,1071.00
145,815.76,479.71,9799.33,22982.00,1074.00
146,815.92,482.06,10564.83,24039.00,1045.50
147,816.07,484.42,11019.02,24676.50,1043.50
148,816.23,486.77,11152.17,24947.50,1090.00
149,816.39,489.12,10585.83,24186.50,1067.00
150,816.54,491.47,9967.51,23438.50,1117.00
151,816.70,493.82,8914.16,22015.50,1119.50
152,816.86,496.17,7744.48,20383.00,1056.00
153,817.01,498.52,6393.80,18534.00,1083.50
154,817.17,500.87,5242.30,16871.00,1072.00
155,817.33,503.22,4196.58,15351.50,1085.50
156,817.48,505.57,3248.86,13922.50,1059.00
157,817.64,507.91,2399.58,12659.00,1098.00
158,817.80,510.26,1873.69,11775.50,1038.00
159,817.95,512.60,1349.36,10949.00,1050.00
160,818.11,514.95,992.27,10426.50,1094.00
161,818.27,517.29,691.81,9922.50,1069.50
162,818.42,519.64,497.00,9646.50,1089.00
163,818.58,521.98,337.56,9410.00,1088.50
164,818.74,524.32,234.94,9241.00,1077.00
165,818.90,526.66,224.27,9168.50,1037.00
166,819.05,529.00,264.91,9245.50,1095.00
167,819.21,531.34,367.38,9315.00,1048.00
168,819.37,533.68,487.80,9481.00,1069.00
169,819.52,536.02,640.41,9688.50,1082.00
170,819.68,538.36,853.21,9951.00,1079.00
171,819.84,540.70,1124.63,10243.50,1035.00
172,819.99,543.04,1268.36,10480.50,1109.00
173,820.15,545.37,1422.43,10664.00,1086.50
174,820.31,547.71,1498.14,10726.50,1072.00
175,820.47,550.04,1588.24,10811.00,1077.00
176,820.62,552.38,1588.38,10753.50,1056.00
177,820.78,554.71,1475.95,10600.50,1066.50
178,820.94,557.05,1277.50,10306.00,1066.50
179,821.10,559.38,1164.43,10118.00,1069.50
180,821.25,561.71,1031.35,9861.00,1042.00
181,821.41,564.04,850.93,9577.00,1059.50
182,821.57,566.37,720.31,9322.00,1045.50
183,821.72,568.70,635.98,9148.00,1063.50
184,821.88,571.03,538.03,8941.00,1070.00
185,822.04,573.36,448.35,8804.50,1107.50
186,822.20,575.69,300.61,8520.50,1070.50
187,822.35,578.02,184.93,8363.00,1114.00
188,822.51,580.34,103.58,8164.50,1060.00
189,822.67,582.67,27.40,8004.00,1057.00
190,822.83,584.99,4.96,7943.50,1065.50
191,822.98,587.32,0.00,7821.00,1087.50
192,823.14,589.64,0.00,7721.50,1063.50
193,823.30,591.97,0.00,7631.50,1037.00
194,823.46,594.29,0.00,7704.50,1058.50
195,823.61,596.61,0.00,7630.50,1065.50
196,823.77,598.93,0.00,7614.50,1067.50
197,823.93,601.25,0.00,7575.00,1088.50
198,824.09,603.57,0.00,7559.50,1027.50
199,824.24,605.89,0.00,7606.50,1064.50
200,824.40,608.21,0.00,7584.00,1061.50
201,824.56,610.53,0.00,7570.50,1061.50
202,824.72,612.85,0.00,7612.50,1092.00
203,824.87,615.17,0.00,7545.50,1050.00
204,825.03,617.48,0.00,7547.50,1071.00
205,825.19,619.80,0.00,7591.50,1098.00
206,825.35,622.11,0.92,7652.00,1091.50
207,825.50,624.43,7.14,7660.00,1086.50
208,825.66,626.74,53.44,7742.50,1086.00
209,825.82,629.05,105.10,7754.00,1040.50
210,825.98,631.36,118.29,7777.50,1044.50
211,826.14,633.68,193.78,7930.50,1058.00
212,826.29,635.99,261.67,8059.50,1066.50
213,826.45,638.30,321.92,8164.00,1073.00
214,826.61,640.61,463.04,8385.00,1071.00
215,826.77,642.92,610.71,8577.50,1044.50
216,826.92,645.22,734.89,8777.00,1052.50
217,827.08,647.53,854.86,8992.00,1066.50
218,827.24,649.84,1027.94,9252.50,1033.00
219,827.40,652.14,1142.67,9479.50,1057.50
220,827.56,654.45,1321.21,9822.00,1089.00
221,827.71,656.76,1513.88,10114.00,1055.00
222,827.87,659.06,1752.50,10528.50,1074.00
223,828.03,661.36,2032.17,10978.50,1056.00
224,828.19,663.67,2295.82,11430.50,1070.00
225,828.34,665.97,2667.78,11974.00,1028.50
226,828.50,668.27,3075.32,12672.50,1135.00
227,828.66,670.57,3479.27,13166.00,1072.00
228,828.82,672.87,3770.82,13555.50,1083.50
229,828.98,675.17,3968.90,13759.50,1035.00
230,829.13,677.47,3943.54,13731.00,1062.50
231,829.29,679.77,3742.19,13463.50,1075.00
232,829.45,682.06,3333.90,12890.00,1074.00
233,829.61,684.36,2874.59,12230.50,1059.00
234,829.77,686.66,2360.41,11648.50,1223.00
235,829.92,688.95,1849.51,10678.50,1035.00
