ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195907-928276-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,heptane
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,611
Timestamp,2025-02-20 19:59:07.928276
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1033.00,984.00
1,793.43,134.69,NA,1048.00,991.00
2,793.58,137.12,NA,1065.50,1008.00
3,793.73,139.56,NA,1050.50,990.50
4,793.89,141.99,NA,1039.50,992.50
5,794.04,144.42,NA,1060.00,997.00
6,794.19,146.86,NA,1043.50,993.00
7,794.35,149.29,NA,1032.50,972.50
8,794.50,151.72,NA,1074.00,1021.00
9,794.65,154.15,NA,1050.50,989.50
10,794.81,156.58,NA,1063.50,1014.00
11,794.96,159.01,NA,1076.50,1009.50
12,795.12,161.44,NA,1036.00,995.00
13,795.27,163.87,NA,1085.50,1015.50
14,795.42,166.30,NA,1045.50,985.00
15,795.58,168.73,NA,1062.00,1006.50
16,795.73,171.16,NA,1065.50,991.50
17,795.88,173.58,NA,1063.00,1003.50
18,796.04,176.01,NA,1079.00,1015.00
19,796.19,178.44,NA,1076.50,1017.00
20,796.35,180.86,NA,1070.00,1018.00
21,796.50,183.29,NA,1066.50,995.50
22,796.65,185.71,NA,1101.50,1047.50
23,796.81,188.14,NA,1087.50,1020.00
24,796.96,190.56,NA,1077.00,1022.00
25,797.11,192.98,NA,1101.50,1027.50
26,797.27,195.41,NA,1097.00,1027.50
27,797.42,197.83,NA,1107.50,1036.00
28,797.58,200.25,NA,1101.50,1017.00
29,797.73,202.67,NA,1082.50,1016.00
30,797.88,205.09,NA,1082.50,1004.00
31,798.04,207.51,NA,1083.50,1005.00
32,798.19,209.93,NA,1085.00,1011.50
33,798.35,212.35,NA,1096.00,1015.50
34,798.50,214.77,NA,1081.50,1006.00
35,798.66,217.18,NA,1109.00,1022.00
36,798.81,219.60,NA,1088.00,996.00
37,798.96,222.02,NA,1135.50,1020.00
38,799.12,224.43,NA,1138.50,1017.00
39,799.27,226.85,NA,1195.50,1002.50
40,799.43,229.27,NA,1344.00,1035.50
41,799.58,231.68,NA,1584.00,1003.00
42,799.74,234.09,NA,2069.00,1027.50
43,799.89,236.51,NA,2688.00,1065.50
44,800.04,238.92,NA,3195.50,1058.00
45,800.20,241.33,NA,3518.00,1011.00
46,800.35,243.75,NA,3680.50,1017.00
47,800.51,246.16,19.54,3844.00,1015.00
48,800.66,248.57,107.77,3928.50,1035.00
49,800.82,250.98,194.53,3984.50,1048.50
50,800.97,253.39,263.22,4058.50,1040.00
51,801.13,255.80,267.40,4080.50,1036.00
52,801.28,258.21,343.38,4203.00,1046.50
53,801.43,260.61,390.15,4255.00,1027.50
54,801.59,263.02,478.67,4398.50,1042.50
55,801.74,265.43,613.09,4550.00,1013.00
56,801.90,267.83,844.64,4872.00,1034.00
57,802.05,270.24,1059.39,5138.50,1030.50
58,802.21,272.65,1397.22,5571.50,1039.00
59,802.36,275.05,1779.72,6018.00,1028.50
60,802.52,277.46,2192.54,6518.00,1041.00
61,802.67,279.86,2563.50,6968.50,1042.50
62,802.83,282.26,2877.07,7372.50,1058.50
63,802.98,284.66,3193.26,7755.00,1043.00
64,803.14,287.07,3390.22,8058.00,1062.00
65,803.29,289.47,3551.06,8358.50,1036.00
66,803.45,291.87,3583.42,8620.50,1056.00
67,803.60,294.27,3882.33,9237.50,1024.50
68,803.76,296.67,4447.36,10282.00,1065.50
69,803.91,299.07,5526.99,11818.50,1001.00
70,804.07,301.47,7392.19,14202.50,1041.00
71,804.22,303.87,10168.55,17193.00,1031.00
72,804.38,306.26,13097.01,19946.00,1030.50
73,804.53,308.66,15090.19,21742.00,1048.50
74,804.69,311.06,14962.90,21649.50,1039.00
75,804.84,313.45,12990.49,19880.00,1024.50
