ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195943-150331-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,isopropanol
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,232
Timestamp,2025-02-20 19:59:43.150331
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,906.60,896.80
1,793.43,134.69,NA,909.60,897.80
2,793.58,137.12,NA,914.40,903.40
3,793.73,139.56,NA,907.00,900.60
4,793.89,141.99,NA,911.40,897.80
5,794.04,144.42,NA,911.60,899.60
6,794.19,146.86,NA,913.40,901.00
7,794.35,149.29,NA,908.00,895.60
8,794.50,151.72,NA,913.40,906.80
9,794.65,154.15,NA,913.40,901.40
10,794.81,156.58,NA,916.20,907.40
11,794.96,159.01,NA,922.80,909.20
12,795.12,161.44,NA,905.00,898.20
13,795.27,163.87,NA,920.40,905.20
14,795.42,166.30,NA,911.00,893.60
15,795.58,168.73,NA,912.60,904.20
16,795.73,171.16,NA,913.20,895.80
17,795.88,173.58,NA,914.40,900.80
18,796.04,176.01,NA,918.40,907.40
19,796.19,178.44,NA,926.40,912.00
20,796.35,180.86,NA,919.80,906.60
21,796.50,183.29,NA,920.00,905.40
22,796.65,185.71,NA,932.20,919.80
23,796.81,188.14,NA,925.60,907.00
24,796.96,190.56,NA,918.60,906.20
25,797.11,192.98,NA,926.80,910.00
26,797.27,195.41,NA,928.60,912.20
27,797.42,197.83,NA,924.00,912.40
28,797.58,200.25,NA,929.80,912.40
29,797.73,202.67,NA,923.40,906.60
30,797.88,205.09,NA,915.60,903.40
