ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201755-020722-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,lactose
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,581
Timestamp,2025-02-20 20:17:55.020722
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1069.00,971.50
1,793.43,134.69,NA,1095.50,988.50
2,793.58,137.12,NA,1108.00,995.50
3,793.73,139.56,NA,1089.00,980.00
4,793.89,141.99,NA,1096.00,984.00
5,794.04,144.42,NA,1091.00,989.50
6,794.19,146.86,NA,1115.00,992.50
7,794.35,149.29,NA,1080.50,971.00
8,794.50,151.72,NA,1112.00,1000.00
9,794.65,154.15,NA,1094.00,995.00
10,794.81,156.58,NA,1115.00,1004.00
11,794.96,159.01,NA,1116.00,999.00
12,795.12,161.44,NA,1103.50,981.00
13,795.27,163.87,NA,1116.50,1011.50
14,795.42,166.30,NA,1090.50,984.50
15,795.58,168.73,NA,1118.50,992.50
16,795.73,171.16,NA,1113.00,990.50
17,795.88,173.58,NA,1120.00,989.50
18,796.04,176.01,NA,1145.00,1002.50
19,796.19,178.44,NA,1140.50,1007.50
20,796.35,180.86,NA,1146.00,1003.00
21,796.50,183.29,NA,1137.50,995.00
22,796.65,185.71,NA,1183.00,1023.50
23,796.81,188.14,NA,1154.00,1010.50
24,796.96,190.56,NA,1150.00,1004.00
25,797.11,192.98,NA,1154.50,1015.00
26,797.27,195.41,NA,1177.50,1023.50
27,797.42,197.83,NA,1182.50,1023.00
28,797.58,200.25,NA,1193.00,1024.00
29,797.73,202.67,NA,1169.00,1007.50
