ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200205-954211-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,methanol
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,479
Timestamp,2025-02-20 20:02:05.954211
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,962.67,951.33
1,793.43,134.69,NA,981.33,957.00
2,793.58,137.12,NA,985.67,974.67
3,793.73,139.56,NA,970.67,961.33
4,793.89,141.99,NA,974.67,956.00
5,794.04,144.42,NA,975.33,955.67
6,794.19,146.86,NA,974.00,959.67
7,794.35,149.29,NA,957.33,950.33
8,794.50,151.72,NA,991.67,978.00
9,794.65,154.15,NA,973.33,962.00
10,794.81,156.58,NA,988.67,973.33
11,794.96,159.01,NA,994.00,978.33
12,795.12,161.44,NA,964.67,953.33
13,795.27,163.87,NA,1002.00,983.00
14,795.42,166.30,NA,966.00,955.67
15,795.58,168.73,NA,985.00,961.33
16,795.73,171.16,NA,977.00,957.00
17,795.88,173.58,NA,977.00,961.33
18,796.04,176.01,NA,996.00,970.00
19,796.19,178.44,NA,996.67,974.67
20,796.35,180.86,NA,999.33,978.33
21,796.50,183.29,NA,988.33,964.67
22,796.65,185.71,NA,1014.33,1003.67
23,796.81,188.14,NA,1001.00,982.33
24,796.96,190.56,NA,1000.00,978.00
25,797.11,192.98,NA,1003.00,981.67
26,797.27,195.41,NA,1011.00,983.33
27,797.42,197.83,NA,1010.00,984.00
28,797.58,200.25,NA,1013.33,987.33
29,797.73,202.67,NA,1000.00,976.67
30,797.88,205.09,NA,993.00,967.33
31,798.04,207.51,NA,999.33,973.33
32,798.19,209.93,NA,996.00,973.33
