ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203732-113449-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,methyl paraben
Declared Match,
Declared Score,0
Scan Averaging,9
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,118
Timestamp,2025-02-20 20:37:32.113449
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,981.78,868.78
1,793.43,134.69,NA,985.00,869.44
2,793.58,137.12,NA,992.44,872.89
3,793.73,139.56,NA,985.44,871.11
4,793.89,141.99,NA,984.44,871.44
5,794.04,144.42,NA,990.89,872.89
6,794.19,146.86,NA,988.22,871.33
7,794.35,149.29,NA,985.44,865.22
8,794.50,151.72,NA,999.89,874.44
9,794.65,154.15,NA,995.33,872.00
10,794.81,156.58,NA,1001.56,874.89
11,794.96,159.01,NA,1003.22,873.78
12,795.12,161.44,NA,1000.89,869.67
13,795.27,163.87,NA,1006.67,875.11
14,795.42,166.30,NA,1005.44,869.56
15,795.58,168.73,NA,1004.89,873.78
16,795.73,171.16,NA,1012.22,871.67
17,795.88,173.58,NA,1016.00,869.44
18,796.04,176.01,NA,1014.44,878.33
19,796.19,178.44,NA,1015.22,876.56
20,796.35,180.86,NA,1023.44,877.00
21,796.50,183.29,NA,1023.00,874.00
22,796.65,185.71,NA,1032.44,880.44
23,796.81,188.14,NA,1035.11,877.89
24,796.96,190.56,NA,1030.67,872.89
25,797.11,192.98,NA,1041.00,881.22
26,797.27,195.41,NA,1047.11,880.67
27,797.42,197.83,NA,1052.56,878.00
28,797.58,200.25,NA,1045.00,878.67
29,797.73,202.67,NA,1050.22,874.33
