ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203938-452881-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,potassium dihydrogen phosphate
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,1617
Timestamp,2025-02-20 20:39:38.452881
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1258.00,1207.00
1,793.43,134.69,NA,1292.00,1239.00
2,793.58,137.12,NA,1315.00,1285.00
3,793.73,139.56,NA,1285.00,1233.00
4,793.89,141.99,NA,1300.00,1239.00
5,794.04,144.42,NA,1309.00,1249.00
6,794.19,146.86,NA,1306.00,1260.00
7,794.35,149.29,NA,1254.00,1203.00
8,794.50,151.72,NA,1347.00,1300.00
9,794.65,154.15,NA,1298.00,1262.00
10,794.81,156.58,NA,1340.00,1294.00
11,794.96,159.01,NA,1368.00,1298.00
12,795.12,161.44,NA,1271.00,1232.00
13,795.27,163.87,NA,1376.00,1304.00
14,795.42,166.30,NA,1279.00,1216.00
15,795.58,168.73,NA,1319.00,1252.00
16,795.73,171.16,NA,1283.00,1243.00
17,795.88,173.58,NA,1332.00,1256.00
18,796.04,176.01,NA,1380.00,1319.00
19,796.19,178.44,NA,1361.00,1304.00
20,796.35,180.86,NA,1374.00,1279.00
21,796.50,183.29,NA,1332.00,1264.00
22,796.65,185.71,NA,1425.00,1393.00
23,796.81,188.14,NA,1395.00,1309.00
24,796.96,190.56,NA,1351.00,1287.00
25,797.11,192.98,NA,1418.00,1332.00
26,797.27,195.41,NA,1435.00,1345.00
27,797.42,197.83,NA,1385.00,1340.00
28,797.58,200.25,NA,1397.00,1345.00
29,797.73,202.67,NA,1376.00,1287.00
30,797.88,205.09,NA,1344.00,1260.00
31,798.04,207.51,NA,1345.00,1268.00
32,798.19,209.93,NA,1351.00,1289.00
33,798.35,212.35,NA,1389.00,1304.00
34,798.50,214.77,NA,1376.00,1268.00
35,798.66,217.18,NA,1404.00,1323.00
36,798.81,219.60,NA,1385.00,1247.00
37,798.96,222.02,NA,1463.00,1336.00
38,799.12,224.43,NA,1431.00,1289.00
39,799.27,226.85,NA,1486.00,1323.00
40,799.43,229.27,NA,1659.00,1353.00
41,799.58,231.68,NA,1822.00,1296.00
42,799.74,234.09,NA,2270.00,1306.00
43,799.89,236.51,NA,2917.00,1450.00
44,800.04,238.92,NA,3354.00,1437.00
45,800.20,241.33,NA,3512.00,1292.00
46,800.35,243.75,NA,3682.00,1319.00
47,800.51,246.16,0.00,3821.00,1304.00
48,800.66,248.57,0.00,3944.00,1378.00
49,800.82,250.98,0.00,3962.00,1410.00
50,800.97,253.39,0.00,3994.00,1380.00
51,801.13,255.80,0.00,4083.00,1351.00
52,801.28,258.21,0.00,4125.00,1391.00
53,801.43,260.61,27.57,4134.00,1292.00
54,801.59,263.02,0.00,4193.00,1397.00
55,801.74,265.43,0.00,4176.00,1304.00
56,801.90,267.83,0.00,4250.00,1347.00
57,802.05,270.24,44.93,4332.00,1328.00
58,802.21,272.65,0.00,4326.00,1361.00
59,802.36,275.05,1.43,4389.00,1363.00
60,802.52,277.46,11.48,4434.00,1351.00
61,802.67,279.86,21.70,4516.00,1391.00
62,802.83,282.26,17.42,4550.00,1397.00
63,802.98,284.66,34.80,4569.00,1355.00
64,803.14,287.07,24.18,4643.00,1406.00
65,803.29,289.47,34.20,4647.00,1361.00
66,803.45,291.87,66.93,4772.00,1412.00
67,803.60,294.27,89.29,4713.00,1308.00
68,803.76,296.67,128.94,4884.00,1416.00
69,803.91,299.07,180.52,4808.00,1260.00
70,804.07,301.47,197.77,4945.00,1357.00
71,804.22,303.87,244.54,5009.00,1338.00
72,804.38,306.26,259.01,5055.00,1344.00
73,804.53,308.66,335.57,5216.00,1374.00
74,804.69,311.06,312.60,5190.00,1355.00
75,804.84,313.45,426.22,5294.00,1292.00
76,805.00,315.85,530.74,5494.00,1355.00
77,805.15,318.24,580.02,5642.00,1425.00
78,805.31,320.64,662.14,5754.00,1395.00
79,805.46,323.03,713.44,5784.00,1327.00
80,805.62,325.42,806.92,5997.00,1397.00
81,805.77,327.82,943.04,6099.00,1294.00
82,805.93,330.21,978.03,6272.00,1382.00
83,806.09,332.60,1120.57,6532.00,1406.00
84,806.24,334.99,1253.46,6635.00,1311.00
85,806.40,337.38,1519.47,6969.00,1271.00
86,806.55,339.77,1668.40,7269.00,1349.00
87,806.71,342.16,1910.63,7589.00,1317.00
88,806.86,344.55,2219.71,8087.00,1385.00
89,807.02,346.94,2449.22,8411.00,1387.00
90,807.17,349.32,2697.78,8713.00,1334.00
91,807.33,351.71,2963.39,9133.00,1385.00
92,807.48,354.10,3142.98,9340.00,1357.00
93,807.64,356.48,3318.67,9577.00,1374.00
94,807.80,358.87,3396.68,9706.00,1401.00
95,807.95,361.25,3281.92,9535.00,1347.00
96,808.11,363.63,3104.77,9399.00,1372.00
97,808.26,366.02,2804.37,9017.00,1311.00
98,808.42,368.40,2530.91,8715.00,1327.00
99,808.57,370.78,2322.22,8465.00,1344.00
100,808.73,373.16,2182.49,8275.00,1309.00
101,808.89,375.55,1971.33,8170.00,1404.00
102,809.04,377.93,1837.52,8009.00,1306.00
103,809.20,380.31,1871.83,8174.00,1334.00
104,809.35,382.68,2183.00,8594.00,1317.00
105,809.51,385.06,2743.64,9296.00,1387.00
106,809.66,387.44,3464.63,9966.00,1353.00
107,809.82,389.82,3979.72,10355.00,1317.00
108,809.98,392.19,4027.51,10376.00,1313.00
109,810.13,394.57,3431.05,9883.00,1372.00
110,810.29,396.95,2523.41,8973.00,1364.00
111,810.44,399.32,1755.14,8098.00,1334.00
112,810.60,401.70,1132.54,7252.00,1327.00
113,810.76,404.07,818.08,6796.00,1351.00
114,810.91,406.44,627.93,6454.00,1334.00
115,811.07,408.82,521.22,6236.00,1315.00
116,811.22,411.19,475.96,6190.00,1376.00
117,811.38,413.56,532.41,6200.00,1330.00
118,811.54,415.93,493.03,6187.00,1364.00
119,811.69,418.30,478.34,6154.00,1309.00
120,811.85,420.67,423.80,6103.00,1313.00
121,812.00,423.04,538.77,6304.00,1374.00
122,812.16,425.41,571.00,6261.00,1315.00
123,812.32,427.77,568.80,6335.00,1402.00
124,812.47,430.14,650.86,6401.00,1357.00
125,812.63,432.51,696.20,6431.00,1344.00
126,812.79,434.87,768.50,6456.00,1289.00
127,812.94,437.24,835.05,6606.00,1359.00
128,813.10,439.60,880.08,6578.00,1271.00
129,813.26,441.97,908.66,6661.00,1321.00
130,813.41,444.33,998.96,6783.00,1330.00
131,813.57,446.69,1065.35,6900.00,1366.00
132,813.72,449.06,1091.94,6864.00,1294.00
133,813.88,451.42,1161.36,6955.00,1285.00
134,814.04,453.78,1241.20,7122.00,1345.00
135,814.19,456.14,1339.46,7164.00,1256.00
136,814.35,458.50,1417.86,7259.00,1262.00
137,814.51,460.86,1571.57,7561.00,1380.00
138,814.66,463.22,1710.36,7612.00,1258.00
139,814.82,465.58,1725.30,7779.00,1399.00
140,814.98,467.93,1767.48,7732.00,1281.00
141,815.13,470.29,1846.64,7825.00,1277.00
142,815.29,472.65,1908.21,7927.00,1328.00
143,815.45,475.00,1939.51,7986.00,1374.00
144,815.60,477.36,1938.99,7939.00,1345.00
145,815.76,479.71,1858.96,7768.00,1304.00
146,815.92,482.06,1820.24,7658.00,1266.00
147,816.07,484.42,1670.43,7419.00,1264.00
148,816.23,486.77,1589.75,7388.00,1353.00
149,816.39,489.12,1361.49,7022.00,1321.00
150,816.54,491.47,1260.97,6940.00,1389.00
151,816.70,493.82,1080.52,6657.00,1402.00
152,816.86,496.17,1035.99,6443.00,1277.00
153,817.01,498.52,897.44,6280.00,1332.00
154,817.17,500.87,809.73,6149.00,1334.00
155,817.33,503.22,747.34,6008.00,1309.00
156,817.48,505.57,763.30,5964.00,1279.00
157,817.64,507.91,796.58,6059.00,1353.00
158,817.80,510.26,779.39,5978.00,1300.00
159,817.95,512.60,811.46,6012.00,1271.00
160,818.11,514.95,880.56,6188.00,1342.00
161,818.27,517.29,1034.46,6382.00,1323.00
162,818.42,519.64,1231.96,6682.00,1363.00
163,818.58,521.98,1439.29,6948.00,1366.00
164,818.74,524.32,1691.33,7210.00,1308.00
165,818.90,526.66,1889.48,7379.00,1249.00
166,819.05,529.00,2062.21,7681.00,1351.00
167,819.21,531.34,2091.23,7633.00,1281.00
168,819.37,533.68,2023.42,7582.00,1311.00
169,819.52,536.02,1860.57,7388.00,1323.00
