ENLIGHTEN Version,4.1.22
Measurement ID,20250220-204029-837359-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,potassium hydrogen phosphate
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,1690
Timestamp,2025-02-20 20:40:29.837359
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1290.00,1228.00
1,793.43,134.69,NA,1317.00,1271.00
2,793.58,137.12,NA,1359.00,1296.00
3,793.73,139.56,NA,1296.00,1235.00
4,793.89,141.99,NA,1309.00,1252.00
5,794.04,144.42,NA,1308.00,1270.00
6,794.19,146.86,NA,1327.00,1260.00
7,794.35,149.29,NA,1275.00,1235.00
8,794.50,151.72,NA,1376.00,1317.00
9,794.65,154.15,NA,1311.00,1266.00
10,794.81,156.58,NA,1393.00,1302.00
11,794.96,159.01,NA,1380.00,1317.00
12,795.12,161.44,NA,1319.00,1247.00
13,795.27,163.87,NA,1412.00,1334.00
14,795.42,166.30,NA,1302.00,1252.00
15,795.58,168.73,NA,1366.00,1287.00
16,795.73,171.16,NA,1313.00,1256.00
17,795.88,173.58,NA,1357.00,1270.00
18,796.04,176.01,NA,1401.00,1327.00
19,796.19,178.44,NA,1414.00,1330.00
20,796.35,180.86,NA,1402.00,1317.00
21,796.50,183.29,NA,1349.00,1277.00
22,796.65,185.71,NA,1473.00,1406.00
23,796.81,188.14,NA,1416.00,1325.00
24,796.96,190.56,NA,1389.00,1302.00
25,797.11,192.98,NA,1458.00,1345.00
26,797.27,195.41,NA,1480.00,1383.00
27,797.42,197.83,NA,1437.00,1349.00
28,797.58,200.25,NA,1427.00,1363.00
29,797.73,202.67,NA,1410.00,1319.00
30,797.88,205.09,NA,1395.00,1300.00
31,798.04,207.51,NA,1399.00,1298.00
32,798.19,209.93,NA,1395.00,1273.00
33,798.35,212.35,NA,1408.00,1336.00
34,798.50,214.77,NA,1397.00,1271.00
35,798.66,217.18,NA,1458.00,1342.00
36,798.81,219.60,NA,1414.00,1279.00
37,798.96,222.02,NA,1494.00,1376.00
38,799.12,224.43,NA,1471.00,1313.00
39,799.27,226.85,NA,1571.00,1330.00
40,799.43,229.27,NA,1828.00,1376.00
41,799.58,231.68,NA,2112.00,1325.00
42,799.74,234.09,NA,2767.00,1332.00
43,799.89,236.51,NA,3654.00,1475.00
44,800.04,238.92,NA,4341.00,1454.00
45,800.20,241.33,NA,4635.00,1306.00
46,800.35,243.75,NA,4871.00,1317.00
47,800.51,246.16,0.39,4863.00,1311.00
48,800.66,248.57,0.00,4915.00,1376.00
