ENLIGHTEN Version,4.1.22
Measurement ID,20250220-204437-066725-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sodium hydrogen citrate
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2025-02-20 20:44:37.066725
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1385.00,1296.00
1,793.43,134.69,NA,1431.00,1342.00
2,793.58,137.12,NA,1476.00,1380.00
3,793.73,139.56,NA,1393.00,1325.00
4,793.89,141.99,NA,1431.00,1338.00
5,794.04,144.42,NA,1469.00,1345.00
6,794.19,146.86,NA,1458.00,1347.00
7,794.35,149.29,NA,1391.00,1277.00
8,794.50,151.72,NA,1513.00,1416.00
9,794.65,154.15,NA,1442.00,1353.00
10,794.81,156.58,NA,1495.00,1391.00
11,794.96,159.01,NA,1501.00,1412.00
12,795.12,161.44,NA,1446.00,1325.00
13,795.27,163.87,NA,1514.00,1421.00
14,795.42,166.30,NA,1450.00,1309.00
15,795.58,168.73,NA,1471.00,1368.00
16,795.73,171.16,NA,1448.00,1332.00
17,795.88,173.58,NA,1490.00,1363.00
18,796.04,176.01,NA,1539.00,1399.00
19,796.19,178.44,NA,1545.00,1431.00
20,796.35,180.86,NA,1530.00,1402.00
21,796.50,183.29,NA,1507.00,1387.00
22,796.65,185.71,NA,1634.00,1490.00
23,796.81,188.14,NA,1543.00,1429.00
24,796.96,190.56,NA,1541.00,1391.00
25,797.11,192.98,NA,1585.00,1440.00
26,797.27,195.41,NA,1623.00,1476.00
27,797.42,197.83,NA,1598.00,1439.00
28,797.58,200.25,NA,1625.00,1456.00
29,797.73,202.67,NA,1537.00,1399.00
30,797.88,205.09,NA,1526.00,1370.00
31,798.04,207.51,NA,1539.00,1376.00
32,798.19,209.93,NA,1554.00,1383.00
33,798.35,212.35,NA,1579.00,1410.00
34,798.50,214.77,NA,1560.00,1382.00
35,798.66,217.18,NA,1651.00,1437.00
36,798.81,219.60,NA,1588.00,1376.00
37,798.96,222.02,NA,1719.00,1456.00
38,799.12,224.43,NA,1710.00,1380.00
39,799.27,226.85,NA,1921.00,1416.00
40,799.43,229.27,NA,2371.00,1459.00
41,799.58,231.68,NA,3079.00,1399.00
42,799.74,234.09,NA,4499.00,1440.00
43,799.89,236.51,NA,6382.00,1575.00
44,800.04,238.92,NA,7762.00,1571.00
45,800.20,241.33,NA,8546.00,1406.00
46,800.35,243.75,NA,8962.00,1448.00
47,800.51,246.16,113.39,9019.00,1418.00
48,800.66,248.57,243.88,9065.00,1488.00
49,800.82,250.98,206.67,9099.00,1549.00
50,800.97,253.39,156.73,9047.00,1495.00
51,801.13,255.80,143.87,9036.00,1454.00
52,801.28,258.21,116.18,9080.00,1513.00
53,801.43,260.61,145.96,9036.00,1421.00
