ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195313-501946-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,toluene
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,80
Timestamp,2025-02-20 19:53:13.501946
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,868.60,861.70
1,793.43,134.69,NA,870.00,860.60
2,793.58,137.12,NA,868.40,864.30
3,793.73,139.56,NA,868.00,864.00
4,793.89,141.99,NA,869.60,861.00
5,794.04,144.42,NA,866.70,862.20
6,794.19,146.86,NA,865.60,861.20
7,794.35,149.29,NA,867.20,859.00
8,794.50,151.72,NA,868.00,864.70
9,794.65,154.15,NA,869.00,860.60
10,794.81,156.58,NA,870.00,862.20
11,794.96,159.01,NA,872.30,863.70
12,795.12,161.44,NA,869.50,861.50
13,795.27,163.87,NA,873.60,865.60
14,795.42,166.30,NA,867.20,859.00
15,795.58,168.73,NA,871.20,862.20
16,795.73,171.16,NA,869.20,860.60
17,795.88,173.58,NA,870.80,861.80
18,796.04,176.01,NA,871.70,867.20
19,796.19,178.44,NA,873.20,865.60
20,796.35,180.86,NA,872.70,866.00
21,796.50,183.29,NA,871.40,860.60
22,796.65,185.71,NA,876.10,870.80
23,796.81,188.14,NA,875.10,865.40
24,796.96,190.56,NA,872.90,864.80
25,797.11,192.98,NA,877.10,867.70
26,797.27,195.41,NA,876.70,864.60
27,797.42,197.83,NA,876.80,867.80
28,797.58,200.25,NA,876.00,865.00
29,797.73,202.67,NA,876.30,864.70
30,797.88,205.09,NA,872.40,865.00
31,798.04,207.51,NA,874.80,863.30
32,798.19,209.93,NA,873.00,865.80
33,798.35,212.35,NA,877.90,864.70
34,798.50,214.77,NA,877.40,860.30
35,798.66,217.18,NA,881.70,868.00
36,798.81,219.60,NA,882.40,862.10
37,798.96,222.02,NA,893.70,867.80
38,799.12,224.43,NA,908.90,865.40
39,799.27,226.85,NA,944.00,864.90
40,799.43,229.27,NA,1032.30,868.60
41,799.58,231.68,NA,1197.60,866.20
42,799.74,234.09,NA,1457.60,863.60
43,799.89,236.51,NA,1765.50,867.60
44,800.04,238.92,NA,1970.70,871.40
45,800.20,241.33,NA,2040.30,865.70
46,800.35,243.75,NA,2000.30,866.60
47,800.51,246.16,185.84,1909.90,861.80
48,800.66,248.57,331.39,1818.00,867.30
49,800.82,250.98,236.37,1745.00,870.20
