ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201549-814854-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,urea
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,591
Timestamp,2025-02-20 20:15:49.814854
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,995.50,975.00
1,793.43,134.69,NA,1011.50,987.50
2,793.58,137.12,NA,1015.00,994.00
3,793.73,139.56,NA,989.50,988.00
4,793.89,141.99,NA,1003.00,984.00
5,794.04,144.42,NA,1006.00,990.50
6,794.19,146.86,NA,1005.00,991.00
7,794.35,149.29,NA,986.50,974.50
8,794.50,151.72,NA,1020.00,1012.00
9,794.65,154.15,NA,1003.00,986.00
10,794.81,156.58,NA,1023.00,1000.00
11,794.96,159.01,NA,1017.00,1007.50
12,795.12,161.44,NA,1001.50,984.00
13,795.27,163.87,NA,1015.50,1007.00
14,795.42,166.30,NA,1004.00,984.50
15,795.58,168.73,NA,1006.00,1002.50
16,795.73,171.16,NA,994.50,983.00
17,795.88,173.58,NA,1005.00,999.00
18,796.04,176.01,NA,1020.00,1008.50
19,796.19,178.44,NA,1021.00,1015.50
20,796.35,180.86,NA,1016.00,1007.00
21,796.50,183.29,NA,1018.00,1006.00
22,796.65,185.71,NA,1055.00,1040.00
23,796.81,188.14,NA,1028.50,1017.00
24,796.96,190.56,NA,1023.00,1001.50
25,797.11,192.98,NA,1026.50,1021.00
26,797.27,195.41,NA,1046.00,1026.50
27,797.42,197.83,NA,1027.50,1021.00
28,797.58,200.25,NA,1049.50,1026.50
29,797.73,202.67,NA,1034.00,1005.50
30,797.88,205.09,NA,1017.00,997.00
31,798.04,207.51,NA,1027.50,995.00
32,798.19,209.93,NA,1021.00,997.00
33,798.35,212.35,NA,1031.50,1002.00
34,798.50,214.77,NA,1022.00,1005.50
35,798.66,217.18,NA,1038.00,1020.00
36,798.81,219.60,NA,1025.50,1001.00
37,798.96,222.02,NA,1050.00,1022.00
38,799.12,224.43,NA,1046.50,1002.00
39,799.27,226.85,NA,1090.00,1006.50
40,799.43,229.27,NA,1145.00,1025.50
41,799.58,231.68,NA,1235.50,1003.00
42,799.74,234.09,NA,1466.00,1017.00
43,799.89,236.51,NA,1720.50,1059.00
44,800.04,238.92,NA,1890.50,1051.50
45,800.20,241.33,NA,1953.00,1011.00
46,800.35,243.75,NA,2027.00,1021.00
47,800.51,246.16,62.56,1998.50,1011.00
48,800.66,248.57,146.14,2012.00,1038.00
49,800.82,250.98,100.57,1989.00,1056.00
50,800.97,253.39,61.30,1962.50,1046.50
51,801.13,255.80,30.53,1916.00,1036.00
52,801.28,258.21,21.47,1907.50,1049.50
53,801.43,260.61,22.52,1873.50,1023.50
54,801.59,263.02,18.31,1881.00,1039.00
55,801.74,265.43,6.36,1827.50,1006.50
56,801.90,267.83,1.02,1830.50,1025.50
57,802.05,270.24,22.30,1848.50,1026.50
58,802.21,272.65,8.58,1844.00,1035.00
59,802.36,275.05,0.00,1817.00,1030.50
60,802.52,277.46,0.00,1819.00,1040.00
61,802.67,279.86,0.00,1806.50,1042.00
62,802.83,282.26,6.34,1844.00,1063.00
63,802.98,284.66,0.00,1794.50,1049.50
64,803.14,287.07,0.00,1810.00,1050.00
65,803.29,289.47,0.00,1788.50,1028.00
66,803.45,291.87,0.00,1798.50,1052.00
67,803.60,294.27,0.00,1758.00,1025.00
68,803.76,296.67,0.00,1799.50,1059.00
69,803.91,299.07,0.00,1743.00,998.00
70,804.07,301.47,0.00,1768.00,1030.50
71,804.22,303.87,0.00,1767.00,1025.50
72,804.38,306.26,4.54,1784.00,1025.50
73,804.53,308.66,0.00,1785.00,1037.00
74,804.69,311.06,0.00,1772.00,1031.00
75,804.84,313.45,0.00,1767.00,1014.00
76,805.00,315.85,0.00,1779.00,1026.50
77,805.15,318.24,17.73,1834.00,1051.50
78,805.31,320.64,0.00,1795.50,1040.50
79,805.46,323.03,0.00,1785.00,1023.00
80,805.62,325.42,3.45,1817.50,1045.50
81,805.77,327.82,17.82,1794.50,1005.00
82,805.93,330.21,0.00,1807.00,1046.50
83,806.09,332.60,10.25,1828.50,1040.50
84,806.24,334.99,13.20,1797.50,1004.50
85,806.40,337.38,22.83,1808.00,1001.00
86,806.55,339.77,13.40,1834.50,1038.00
87,806.71,342.16,36.30,1858.00,1027.50
88,806.86,344.55,30.27,1876.50,1049.50
89,807.02,346.94,29.00,1875.00,1043.50
90,807.17,349.32,46.50,1882.50,1021.00
91,807.33,351.71,61.83,1920.50,1039.50
92,807.48,354.10,88.02,1938.00,1023.00
93,807.64,356.48,98.93,1970.00,1039.00
94,807.80,358.87,126.92,2017.50,1042.50
95,807.95,361.25,130.17,2019.50,1032.00
96,808.11,363.63,148.84,2055.50,1037.00
97,808.26,366.02,185.60,2079.00,1012.50
98,808.42,368.40,212.30,2120.00,1023.00
99,808.57,370.78,240.42,2161.00,1023.50
100,808.73,373.16,228.20,2158.00,1027.50
101,808.89,375.55,249.99,2224.50,1056.00
102,809.04,377.93,241.09,2160.00,1005.50
103,809.20,380.31,272.70,2217.50,1023.00
104,809.35,382.68,257.95,2199.50,1019.50
105,809.51,385.06,235.49,2221.50,1060.50
106,809.66,387.44,218.22,2174.00,1034.00
107,809.82,389.82,226.70,2165.00,1018.00
108,809.98,392.19,220.61,2144.50,1004.50
109,810.13,394.57,175.96,2129.50,1043.00
110,810.29,396.95,165.98,2118.00,1040.00
111,810.44,399.32,151.84,2088.50,1029.50
112,810.60,401.70,138.16,2058.50,1014.00
113,810.76,404.07,118.11,2051.50,1029.50
114,810.91,406.44,102.85,2031.00,1031.50
115,811.07,408.82,123.20,2054.00,1028.50
116,811.22,411.19,111.58,2046.00,1036.00
117,811.38,413.56,93.14,2011.50,1023.00
118,811.54,415.93,105.32,2040.50,1030.50
119,811.69,418.30,91.80,2009.00,1017.00
120,811.85,420.67,91.01,2008.00,1016.00
121,812.00,423.04,96.41,2042.50,1041.00
122,812.16,425.41,88.50,2017.50,1023.50
123,812.32,427.77,78.81,2033.50,1051.00
124,812.47,430.14,89.97,2029.00,1030.50
125,812.63,432.51,83.40,2025.00,1034.50
126,812.79,434.87,76.85,2003.50,1016.50
127,812.94,437.24,68.81,2011.00,1030.50
128,813.10,439.60,66.71,1976.50,998.00
129,813.26,441.97,75.44,2023.00,1031.50
130,813.41,444.33,70.19,2012.00,1024.50
131,813.57,446.69,67.32,2026.00,1038.00
132,813.72,449.06,65.73,1998.50,1013.00
133,813.88,451.42,93.68,2018.50,994.00
134,814.04,453.78,70.31,2010.00,1017.00
135,814.19,456.14,84.91,2016.50,996.00
136,814.35,458.50,74.29,2017.50,1007.50
137,814.51,460.86,77.63,2053.00,1035.00
138,814.66,463.22,83.27,2026.50,1001.00
139,814.82,465.58,92.57,2084.00,1047.00
140,814.98,467.93,93.21,2047.00,1007.50
141,815.13,470.29,90.58,2053.50,1012.50
142,815.29,472.65,78.48,2041.00,1014.50
143,815.45,475.00,87.04,2067.00,1026.00
144,815.60,477.36,80.29,2060.00,1023.00
145,815.76,479.71,64.92,2039.00,1017.00
146,815.92,482.06,66.55,2028.00,1000.00
147,816.07,484.42,77.07,2042.00,1003.00
148,816.23,486.77,99.27,2092.50,1028.50
149,816.39,489.12,85.15,2058.50,1015.00
150,816.54,491.47,96.51,2116.50,1049.50
151,816.70,493.82,63.15,2072.50,1047.50
152,816.86,496.17,63.57,2033.50,1006.00
153,817.01,498.52,61.43,2052.00,1027.50
154,817.17,500.87,39.99,2017.00,1019.00
155,817.33,503.22,34.13,2024.00,1024.50
156,817.48,505.57,16.95,1981.50,1007.50
157,817.64,507.91,19.16,2015.50,1040.00
158,817.80,510.26,35.59,2000.00,1006.00
159,817.95,512.60,37.98,1995.50,999.00
160,818.11,514.95,22.75,2008.00,1030.50
161,818.27,517.29,39.75,2034.00,1022.00
162,818.42,519.64,49.80,2055.50,1031.50
163,818.58,521.98,88.89,2114.50,1034.00
164,818.74,524.32,124.20,2157.00,1029.50
165,818.90,526.66,179.51,2217.50,998.00
166,819.05,529.00,213.18,2332.50,1036.00
167,819.21,531.34,297.26,2491.50,1004.00
168,819.37,533.68,409.99,2775.00,1022.00
169,819.52,536.02,627.47,3253.50,1031.00
170,819.68,538.36,1029.04,3991.00,1026.50
171,819.84,540.70,1762.30,5051.50,997.00
172,819.99,543.04,2927.86,6480.00,1043.00
173,820.15,545.37,4205.39,7718.50,1023.50
174,820.31,547.71,4824.99,8290.00,1025.00
175,820.47,550.04,4389.06,7980.50,1034.00
176,820.62,552.38,3297.83,6962.00,1015.00
177,820.78,554.71,2243.12,5763.50,1017.00
178,820.94,557.05,1592.74,4839.50,1012.50
179,821.10,559.38,1268.27,4251.00,1013.00
180,821.25,561.71,1131.03,3876.50,988.50
181,821.41,564.04,1136.32,3786.50,1014.50
182,821.57,566.37,1156.28,3694.00,993.00
183,821.72,568.70,1182.63,3692.50,1021.00
184,821.88,571.03,1152.26,3593.50,1012.50
185,822.04,573.36,1110.67,3552.00,1043.50
186,822.20,575.69,936.34,3296.00,1017.00
187,822.35,578.02,736.29,3063.50,1044.00
188,822.51,580.34,556.22,2780.00,1015.50
189,822.67,582.67,428.62,2575.00,1005.00
190,822.83,584.99,316.09,2398.00,1012.00
191,822.98,587.32,232.40,2264.50,1027.50
192,823.14,589.64,190.81,2167.50,1018.00
193,823.30,591.97,160.84,2079.50,998.00
194,823.46,594.29,137.39,2039.50,1003.00
195,823.61,596.61,102.41,2008.00,1027.50
196,823.77,598.93,68.99,1944.50,1023.50
197,823.93,601.25,73.81,1939.00,1017.00
198,824.09,603.57,56.74,1882.00,996.00
199,824.24,605.89,49.05,1884.50,1018.00
200,824.40,608.21,36.17,1857.50,1019.00
201,824.56,610.53,41.75,1847.50,1003.00
202,824.72,612.85,12.22,1822.00,1022.00
203,824.87,615.17,6.38,1801.00,1009.50
204,825.03,617.48,1.24,1788.00,1018.00
205,825.19,619.80,0.00,1797.50,1042.00
206,825.35,622.11,2.17,1790.50,1034.00
207,825.50,624.43,1.74,1778.50,1032.00
208,825.66,626.74,0.00,1746.00,1033.00
209,825.82,629.05,14.48,1729.00,981.00
210,825.98,631.36,0.00,1727.00,1007.50
211,826.14,633.68,9.43,1742.50,1009.50
212,826.29,635.99,0.00,1729.00,1023.00
213,826.45,638.30,2.84,1730.00,1020.00
214,826.61,640.61,8.68,1731.50,1021.00
215,826.77,642.92,7.97,1696.50,992.50
216,826.92,645.22,0.17,1689.50,1003.00
217,827.08,647.53,1.75,1698.50,1015.00
218,827.24,649.84,4.24,1674.00,990.50
219,827.40,652.14,0.00,1661.50,1005.00
220,827.56,654.45,0.00,1682.50,1030.00
221,827.71,656.76,6.67,1666.50,996.50
222,827.87,659.06,16.11,1688.00,1012.00
223,828.03,661.36,0.68,1660.00,1011.00
224,828.19,663.67,0.00,1654.00,1017.00
225,828.34,665.97,12.21,1648.00,987.00
226,828.50,668.27,11.69,1709.50,1063.50
227,828.66,670.57,8.51,1654.00,1017.00
228,828.82,672.87,11.20,1666.50,1018.00
229,828.98,675.17,0.00,1605.50,996.00
230,829.13,677.47,0.00,1617.00,1009.50
231,829.29,679.77,0.00,1623.00,1015.00
232,829.45,682.06,0.00,1622.50,1023.00
233,829.61,684.36,0.00,1584.50,997.00
234,829.77,686.66,0.00,1737.50,1138.00
235,829.92,688.95,0.50,1588.50,986.00
236,830.08,691.25,6.98,1634.00,1018.50
237,830.24,693.54,12.67,1624.50,1014.00
238,830.40,695.83,37.55,1638.50,1003.00
239,830.56,698.13,34.25,1657.00,1025.00
240,830.72,700.42,21.67,1622.00,1002.00
