ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195832-734330-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,1-octen-3-ol
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,634
Timestamp,2025-02-20 19:58:32.734330
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1068.50,987.00
1,793.43,134.69,NA,1081.50,1002.00
2,793.58,137.12,NA,1095.00,1017.00
3,793.73,139.56,NA,1076.00,985.50
4,793.89,141.99,NA,1086.50,993.50
5,794.04,144.42,NA,1079.00,1000.00
6,794.19,146.86,NA,1082.50,994.00
7,794.35,149.29,NA,1070.50,971.50
8,794.50,151.72,NA,1104.00,1022.00
9,794.65,154.15,NA,1091.00,1000.50
10,794.81,156.58,NA,1102.50,1021.00
11,794.96,159.01,NA,1104.50,1013.00
12,795.12,161.44,NA,1085.50,989.50
13,795.27,163.87,NA,1122.00,1027.50
14,795.42,166.30,NA,1089.00,1004.50
15,795.58,168.73,NA,1095.00,1022.50
16,795.73,171.16,NA,1097.00,989.50
17,795.88,173.58,NA,1108.00,1012.00
18,796.04,176.01,NA,1132.00,1027.50
19,796.19,178.44,NA,1137.00,1021.00
20,796.35,180.86,NA,1114.50,1011.50
21,796.50,183.29,NA,1114.50,1004.00
22,796.65,185.71,NA,1163.50,1053.00
23,796.81,188.14,NA,1135.50,1016.00
24,796.96,190.56,NA,1126.50,1013.00
25,797.11,192.98,NA,1152.00,1045.50
26,797.27,195.41,NA,1159.50,1030.50
27,797.42,197.83,NA,1156.00,1036.00
28,797.58,200.25,NA,1169.00,1033.00
29,797.73,202.67,NA,1151.00,1026.00
30,797.88,205.09,NA,1141.50,1005.00
31,798.04,207.51,NA,1150.50,1011.50
32,798.19,209.93,NA,1157.50,1023.00
33,798.35,212.35,NA,1168.50,1017.00
34,798.50,214.77,NA,1168.00,1006.00
35,798.66,217.18,NA,1212.50,1019.00
36,798.81,219.60,NA,1201.00,1011.00
37,798.96,222.02,NA,1264.00,1036.50
38,799.12,224.43,NA,1325.00,1031.00
39,799.27,226.85,NA,1541.50,1028.00
40,799.43,229.27,NA,2039.00,1045.50
41,799.58,231.68,NA,2940.00,1024.50
42,799.74,234.09,NA,4648.00,1032.50
43,799.89,236.51,NA,6830.00,1090.50
44,800.04,238.92,NA,8619.50,1074.00
45,800.20,241.33,NA,9873.00,1026.00
46,800.35,243.75,NA,10564.00,1033.00
47,800.51,246.16,332.60,10890.50,1014.00
48,800.66,248.57,1122.76,11084.50,1050.50
49,800.82,250.98,1555.34,11309.50,1060.00
50,800.97,253.39,1471.09,11420.50,1051.50
51,801.13,255.80,1576.96,11714.00,1054.50
52,801.28,258.21,1798.07,12005.50,1066.00
53,801.43,260.61,2073.69,12235.50,1027.50
54,801.59,263.02,2416.69,12591.00,1051.50
55,801.74,265.43,2721.31,12841.50,1011.50
56,801.90,267.83,2911.34,13068.00,1048.50
57,802.05,270.24,2957.44,13115.00,1042.00
58,802.21,272.65,2974.63,13156.50,1053.00
59,802.36,275.05,2904.08,13054.50,1047.50
60,802.52,277.46,2868.23,12981.00,1043.50
61,802.67,279.86,2809.07,12888.00,1045.50
62,802.83,282.26,2682.76,12743.50,1069.50
63,802.98,284.66,2598.37,12603.50,1047.50
64,803.14,287.07,2599.81,12605.50,1064.50
65,803.29,289.47,2576.52,12543.00,1054.50
66,803.45,291.87,2659.98,12629.50,1061.50
67,803.60,294.27,2798.91,12716.00,1023.00
68,803.76,296.67,3007.31,12940.50,1062.50
69,803.91,299.07,3228.89,13068.50,1004.50
70,804.07,301.47,3410.38,13246.00,1037.00
71,804.22,303.87,3407.15,13181.00,1040.50
72,804.38,306.26,3408.64,13146.00,1035.00
73,804.53,308.66,3158.89,12842.50,1056.00
74,804.69,311.06,2853.49,12433.00,1045.50
75,804.84,313.45,2611.18,12085.00,1030.00
76,805.00,315.85,2230.34,11574.00,1041.00
77,805.15,318.24,1949.07,11206.00,1059.50
78,805.31,320.64,1615.39,10731.50,1050.50
79,805.46,323.03,1418.75,10430.50,1030.50
80,805.62,325.42,1209.03,10140.00,1056.00
81,805.77,327.82,1140.62,9956.00,1019.00
82,805.93,330.21,1152.90,9914.00,1051.00
83,806.09,332.60,1247.55,9942.00,1056.00
84,806.24,334.99,1314.58,9912.00,1016.00
85,806.40,337.38,1288.23,9832.50,1009.50
86,806.55,339.77,1298.77,9858.50,1039.00
87,806.71,342.16,1270.32,9779.00,1024.50
88,806.86,344.55,1290.11,9797.00,1061.00
89,807.02,346.94,1344.26,9796.00,1049.50
90,807.17,349.32,1368.55,9730.50,1025.00
91,807.33,351.71,1409.87,9744.50,1057.00
92,807.48,354.10,1404.01,9657.50,1037.00
93,807.64,356.48,1317.99,9513.50,1043.50
94,807.80,358.87,1219.02,9372.00,1060.00
95,807.95,361.25,1087.19,9134.00,1039.00
96,808.11,363.63,1007.05,8986.50,1049.00
97,808.26,366.02,912.88,8796.00,1026.50
98,808.42,368.40,792.25,8604.00,1030.00
99,808.57,370.78,716.99,8471.00,1041.00
100,808.73,373.16,718.30,8410.50,1035.00
101,808.89,375.55,743.87,8397.50,1056.00
102,809.04,377.93,764.79,8315.50,1021.00
103,809.20,380.31,874.17,8405.00,1022.50
104,809.35,382.68,874.15,8368.00,1026.50
105,809.51,385.06,888.14,8390.50,1062.50
106,809.66,387.44,985.66,8450.50,1039.00
107,809.82,389.82,1066.02,8484.50,1029.50
108,809.98,392.19,1182.32,8578.50,1007.50
109,810.13,394.57,1169.84,8566.00,1049.50
110,810.29,396.95,1317.85,8712.50,1042.50
111,810.44,399.32,1434.24,8777.00,1033.00
112,810.60,401.70,1535.77,8826.00,1032.00
113,810.76,404.07,1578.45,8814.00,1032.00
114,810.91,406.44,1570.46,8762.50,1036.00
115,811.07,408.82,1447.80,8556.50,1030.00
116,811.22,411.19,1353.66,8405.00,1040.50
117,811.38,413.56,1216.94,8166.50,1036.00
118,811.54,415.93,1083.93,7924.50,1039.00
119,811.69,418.30,970.07,7670.00,1018.00
120,811.85,420.67,856.37,7430.50,1013.50
121,812.00,423.04,718.59,7200.50,1046.50
122,812.16,425.41,549.34,6859.50,1016.00
123,812.32,427.77,413.81,6648.00,1049.00
124,812.47,430.14,221.30,6381.50,1043.50
125,812.63,432.51,63.26,6155.50,1027.50
126,812.79,434.87,3.07,5915.00,1022.00
127,812.94,437.24,0.00,5771.00,1027.50
128,813.10,439.60,0.00,5570.50,1002.00
129,813.26,441.97,0.00,5572.50,1026.50
130,813.41,444.33,0.00,5550.50,1028.50
131,813.57,446.69,0.00,5511.00,1044.50
132,813.72,449.06,0.00,5455.00,1007.00
133,813.88,451.42,0.00,5459.00,1015.00
134,814.04,453.78,0.00,5439.50,1036.00
135,814.19,456.14,0.04,5416.50,992.50
136,814.35,458.50,1.56,5409.00,1002.00
137,814.51,460.86,19.16,5459.50,1037.00
138,814.66,463.22,59.88,5447.00,1011.50
139,814.82,465.58,130.90,5546.50,1055.00
140,814.98,467.93,153.86,5510.50,1017.00
141,815.13,470.29,213.76,5565.00,1007.50
142,815.29,472.65,280.97,5643.50,1029.00
143,815.45,475.00,379.51,5744.00,1034.00
144,815.60,477.36,387.59,5718.50,1026.50
145,815.76,479.71,424.10,5749.00,1022.00
146,815.92,482.06,445.76,5731.00,998.00
147,816.07,484.42,471.76,5724.00,986.50
148,816.23,486.77,491.98,5775.50,1043.50
149,816.39,489.12,491.69,5716.00,1022.00
150,816.54,491.47,499.28,5723.50,1060.00
151,816.70,493.82,492.83,5665.50,1055.00
152,816.86,496.17,436.89,5495.50,1011.00
153,817.01,498.52,398.09,5413.00,1027.50
154,817.17,500.87,309.99,5267.50,1033.00
