ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201244-278517-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,acetaminophen
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,287
Timestamp,2025-02-20 20:12:44.278517
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,982.25,906.00
1,793.43,134.69,NA,985.25,910.00
2,793.58,137.12,NA,985.25,919.50
3,793.73,139.56,NA,978.25,911.50
4,793.89,141.99,NA,985.25,914.00
5,794.04,144.42,NA,983.50,911.75
6,794.19,146.86,NA,996.75,915.25
7,794.35,149.29,NA,982.00,903.25
8,794.50,151.72,NA,998.75,913.50
9,794.65,154.15,NA,995.00,914.00
10,794.81,156.58,NA,999.75,920.25
11,794.96,159.01,NA,1004.25,924.50
12,795.12,161.44,NA,985.25,911.25
13,795.27,163.87,NA,1006.75,921.75
14,795.42,166.30,NA,999.50,908.50
15,795.58,168.73,NA,1006.50,916.50
16,795.73,171.16,NA,1004.25,909.50
17,795.88,173.58,NA,1008.00,915.50
18,796.04,176.01,NA,1009.25,924.50
19,796.19,178.44,NA,1014.75,923.00
20,796.35,180.86,NA,1012.50,923.50
21,796.50,183.29,NA,1009.50,914.75
22,796.65,185.71,NA,1028.50,935.75
23,796.81,188.14,NA,1029.00,926.50
24,796.96,190.56,NA,1023.25,919.25
25,797.11,192.98,NA,1033.75,929.25
26,797.27,195.41,NA,1034.75,932.00
27,797.42,197.83,NA,1038.75,926.00
28,797.58,200.25,NA,1037.50,933.75
29,797.73,202.67,NA,1042.25,920.50
30,797.88,205.09,NA,1037.00,918.00
31,798.04,207.51,NA,1039.50,921.50
32,798.19,209.93,NA,1046.50,922.00
33,798.35,212.35,NA,1056.00,925.75
34,798.50,214.77,NA,1051.00,918.25
35,798.66,217.18,NA,1070.75,927.50
36,798.81,219.60,NA,1073.75,918.50
37,798.96,222.02,NA,1115.00,932.00
38,799.12,224.43,NA,1160.50,920.00
39,799.27,226.85,NA,1304.75,929.25
40,799.43,229.27,NA,1614.75,937.75
41,799.58,231.68,NA,2216.75,920.00
42,799.74,234.09,NA,3248.50,924.50
43,799.89,236.51,NA,4488.50,952.00
44,800.04,238.92,NA,5537.75,943.75
45,800.20,241.33,NA,6103.00,920.50
46,800.35,243.75,NA,6396.25,925.00
47,800.51,246.16,139.01,6423.25,927.50
48,800.66,248.57,319.38,6399.00,934.50
49,800.82,250.98,239.14,6331.25,939.75
50,800.97,253.39,142.35,6292.00,940.75
51,801.13,255.80,57.10,6215.25,938.25
52,801.28,258.21,19.07,6172.00,941.00
53,801.43,260.61,1.33,6103.25,927.75
54,801.59,263.02,0.23,6111.00,941.25
55,801.74,265.43,0.00,6045.00,920.50
56,801.90,267.83,0.00,6026.75,932.25
57,802.05,270.24,0.00,6075.25,933.25
58,802.21,272.65,0.00,6022.75,939.00
59,802.36,275.05,0.00,6056.00,927.75
60,802.52,277.46,0.00,6054.75,936.25
