ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200528-407321-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,acetone
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,232
Timestamp,2025-02-20 20:05:28.407321
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,905.40,893.60
1,793.43,134.69,NA,908.40,899.00
2,793.58,137.12,NA,915.20,907.80
3,793.73,139.56,NA,905.00,894.20
4,793.89,141.99,NA,910.00,898.80
5,794.04,144.42,NA,910.80,902.60
6,794.19,146.86,NA,915.80,903.00
7,794.35,149.29,NA,899.40,890.60
8,794.50,151.72,NA,916.40,912.00
9,794.65,154.15,NA,909.40,899.80
10,794.81,156.58,NA,917.40,908.20
11,794.96,159.01,NA,914.00,906.20
12,795.12,161.44,NA,911.80,898.00
13,795.27,163.87,NA,920.60,908.20
14,795.42,166.30,NA,903.40,896.80
15,795.58,168.73,NA,916.80,903.00
16,795.73,171.16,NA,906.20,896.80
17,795.88,173.58,NA,915.00,901.80
18,796.04,176.01,NA,923.80,907.20
19,796.19,178.44,NA,924.00,906.60
20,796.35,180.86,NA,922.20,907.00
21,796.50,183.29,NA,919.80,898.00
22,796.65,185.71,NA,936.20,920.20
23,796.81,188.14,NA,923.40,908.20
24,796.96,190.56,NA,923.60,907.40
25,797.11,192.98,NA,924.40,912.00
26,797.27,195.41,NA,926.00,917.60
27,797.42,197.83,NA,929.40,913.40
28,797.58,200.25,NA,933.20,912.40
29,797.73,202.67,NA,923.40,906.80
30,797.88,205.09,NA,920.60,902.80
31,798.04,207.51,NA,922.60,902.00
32,798.19,209.93,NA,924.40,903.40
33,798.35,212.35,NA,929.00,909.40
34,798.50,214.77,NA,923.60,905.80
35,798.66,217.18,NA,929.80,911.80
36,798.81,219.60,NA,928.00,900.40
37,798.96,222.02,NA,940.40,915.20
38,799.12,224.43,NA,947.80,907.40
39,799.27,226.85,NA,963.60,914.80
40,799.43,229.27,NA,1030.20,911.00
41,799.58,231.68,NA,1126.00,909.80
42,799.74,234.09,NA,1306.80,908.20
43,799.89,236.51,NA,1551.80,930.00
44,800.04,238.92,NA,1730.60,927.60
45,800.20,241.33,NA,1840.60,912.00
46,800.35,243.75,NA,1890.60,907.40
47,800.51,246.16,49.68,1909.20,906.60
48,800.66,248.57,124.06,1913.80,918.20
49,800.82,250.98,107.73,1891.40,919.00
