ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202757-986215-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,arginine
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,805
Timestamp,2025-02-20 20:27:57.986215
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1111.00,1033.00
1,793.43,134.69,NA,1123.00,1049.00
2,793.58,137.12,NA,1153.50,1050.50
3,793.73,139.56,NA,1116.50,1039.00
4,793.89,141.99,NA,1125.00,1034.00
5,794.04,144.42,NA,1136.50,1048.00
6,794.19,146.86,NA,1134.00,1053.00
7,794.35,149.29,NA,1112.00,1012.00
8,794.50,151.72,NA,1158.50,1067.50
9,794.65,154.15,NA,1140.50,1048.00
10,794.81,156.58,NA,1156.00,1065.50
11,794.96,159.01,NA,1152.00,1061.00
12,795.12,161.44,NA,1129.00,1040.00
13,795.27,163.87,NA,1165.00,1068.50
14,795.42,166.30,NA,1140.50,1035.00
15,795.58,168.73,NA,1154.50,1046.50
16,795.73,171.16,NA,1134.50,1043.00
17,795.88,173.58,NA,1150.00,1054.00
18,796.04,176.01,NA,1172.00,1069.50
19,796.19,178.44,NA,1178.50,1073.50
20,796.35,180.86,NA,1171.00,1079.00
21,796.50,183.29,NA,1148.00,1050.00
22,796.65,185.71,NA,1220.50,1103.50
23,796.81,188.14,NA,1186.00,1075.00
24,796.96,190.56,NA,1164.00,1067.50
25,797.11,192.98,NA,1192.00,1088.00
26,797.27,195.41,NA,1209.00,1094.00
27,797.42,197.83,NA,1220.50,1090.00
28,797.58,200.25,NA,1220.00,1086.50
29,797.73,202.67,NA,1200.50,1070.00
30,797.88,205.09,NA,1192.50,1055.00
31,798.04,207.51,NA,1205.00,1057.00
32,798.19,209.93,NA,1202.00,1057.00
33,798.35,212.35,NA,1220.00,1067.00
34,798.50,214.77,NA,1196.50,1059.50
35,798.66,217.18,NA,1245.00,1072.50
36,798.81,219.60,NA,1236.50,1046.50
37,798.96,222.02,NA,1303.00,1089.50
38,799.12,224.43,NA,1356.00,1070.00
39,799.27,226.85,NA,1508.00,1080.00
40,799.43,229.27,NA,1890.00,1093.00
41,799.58,231.68,NA,2562.50,1069.00
42,799.74,234.09,NA,3812.50,1078.00
43,799.89,236.51,NA,5374.00,1150.00
44,800.04,238.92,NA,6675.50,1136.00
45,800.20,241.33,NA,7487.00,1063.50
46,800.35,243.75,NA,7874.00,1081.50
47,800.51,246.16,156.29,8122.50,1064.50
48,800.66,248.57,553.28,8241.00,1100.50
49,800.82,250.98,677.36,8280.50,1123.50
50,800.97,253.39,492.41,8165.50,1105.50
51,801.13,255.80,407.39,8113.50,1108.00
52,801.28,258.21,348.80,8027.00,1105.00
53,801.43,260.61,238.66,7877.00,1084.00
54,801.59,263.02,98.55,7773.00,1115.00
55,801.74,265.43,28.21,7642.00,1052.00
56,801.90,267.83,0.00,7545.00,1096.50
57,802.05,270.24,0.00,7508.00,1093.00
58,802.21,272.65,10.21,7574.00,1104.00
59,802.36,275.05,0.00,7480.50,1085.50
60,802.52,277.46,31.79,7582.50,1089.00
61,802.67,279.86,68.32,7666.50,1117.50
62,802.83,282.26,137.17,7755.00,1119.00
63,802.98,284.66,318.50,7984.50,1102.00
64,803.14,287.07,483.54,8206.50,1120.50
65,803.29,289.47,732.61,8515.00,1096.00
66,803.45,291.87,1026.83,8911.00,1119.50
67,803.60,294.27,1493.92,9432.00,1085.50
68,803.76,296.67,1874.72,9879.50,1121.00
69,803.91,299.07,2277.35,10279.00,1053.00
70,804.07,301.47,2494.77,10598.50,1101.50
71,804.22,303.87,2631.91,10772.50,1078.50
72,804.38,306.26,2714.62,10934.50,1085.50
73,804.53,308.66,2607.10,10893.50,1114.00
74,804.69,311.06,2619.25,10954.50,1086.50
75,804.84,313.45,2569.53,10885.00,1059.00
76,805.00,315.85,2734.93,11094.00,1089.00
77,805.15,318.24,2912.41,11249.50,1118.50
78,805.31,320.64,3115.12,11375.00,1103.50
79,805.46,323.03,3086.68,11220.50,1076.00
80,805.62,325.42,2935.68,11036.00,1108.00
81,805.77,327.82,2503.07,10508.50,1072.00
82,805.93,330.21,1942.38,9935.50,1104.50
83,806.09,332.60,1365.73,9295.50,1118.00
84,806.24,334.99,957.54,8752.00,1062.00
85,806.40,337.38,701.25,8397.00,1046.50
86,806.55,339.77,617.12,8313.00,1094.00
87,806.71,342.16,760.97,8480.00,1072.00
88,806.86,344.55,1055.97,8867.50,1117.00
89,807.02,346.94,1543.72,9388.00,1101.50
90,807.17,349.32,2090.67,9926.50,1081.00
91,807.33,351.71,2543.22,10420.00,1105.50
92,807.48,354.10,2730.52,10630.00,1081.50
93,807.64,356.48,2653.67,10637.50,1103.50
94,807.80,358.87,2506.56,10579.50,1120.50
95,807.95,361.25,2223.00,10258.50,1094.00
96,808.11,363.63,2107.10,10138.00,1095.00
97,808.26,366.02,2043.68,10021.50,1074.50
98,808.42,368.40,2033.04,9983.50,1081.00
99,808.57,370.78,2089.30,10023.50,1092.00
100,808.73,373.16,2205.36,10092.50,1076.00
101,808.89,375.55,2293.64,10172.50,1120.50
102,809.04,377.93,2348.03,10152.50,1073.00
103,809.20,380.31,2201.09,9979.00,1077.50
104,809.35,382.68,1970.04,9712.00,1079.00
105,809.51,385.06,1772.74,9477.50,1104.50
106,809.66,387.44,1595.51,9196.50,1104.00
107,809.82,389.82,1435.51,8913.50,1083.00
108,809.98,392.19,1216.39,8587.00,1062.00
109,810.13,394.57,957.68,8298.50,1097.00
110,810.29,396.95,729.17,8013.50,1098.00
111,810.44,399.32,590.03,7803.00,1078.50
112,810.60,401.70,546.19,7713.50,1076.00
113,810.76,404.07,623.98,7791.00,1088.50
114,810.91,406.44,727.57,7847.50,1089.00
115,811.07,408.82,909.21,7980.00,1085.50
116,811.22,411.19,1021.84,8067.50,1106.50
117,811.38,413.56,903.62,7891.50,1081.50
118,811.54,415.93,700.18,7691.00,1105.00
119,811.69,418.30,495.90,7409.50,1068.00
120,811.85,420.67,297.99,7139.50,1065.50
121,812.00,423.04,164.75,6980.00,1093.00
122,812.16,425.41,46.82,6753.00,1071.00
123,812.32,427.77,12.41,6730.50,1111.00
124,812.47,430.14,0.32,6621.00,1097.50
125,812.63,432.51,0.00,6553.00,1093.50
126,812.79,434.87,0.00,6527.00,1065.50
