ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195538-746734-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,benzyl alcohol
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,78
Timestamp,2025-02-20 19:55:38.746734
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,869.80,859.70
1,793.43,134.69,NA,869.20,862.30
2,793.58,137.12,NA,873.00,863.70
3,793.73,139.56,NA,868.00,860.40
4,793.89,141.99,NA,867.40,860.30
5,794.04,144.42,NA,870.00,863.00
6,794.19,146.86,NA,870.40,862.00
7,794.35,149.29,NA,869.00,859.00
8,794.50,151.72,NA,870.70,863.80
9,794.65,154.15,NA,872.60,860.40
10,794.81,156.58,NA,871.80,863.20
11,794.96,159.01,NA,875.40,863.80
12,795.12,161.44,NA,868.60,859.00
13,795.27,163.87,NA,873.00,866.60
14,795.42,166.30,NA,872.00,856.50
15,795.58,168.73,NA,875.60,860.90
16,795.73,171.16,NA,872.00,860.70
17,795.88,173.58,NA,873.40,861.30
18,796.04,176.01,NA,877.40,863.90
19,796.19,178.44,NA,875.60,865.90
20,796.35,180.86,NA,875.20,865.60
21,796.50,183.29,NA,874.20,862.60
22,796.65,185.71,NA,881.40,867.30
23,796.81,188.14,NA,876.20,866.10
24,796.96,190.56,NA,875.30,862.00
25,797.11,192.98,NA,876.20,866.80
26,797.27,195.41,NA,877.70,864.30
27,797.42,197.83,NA,876.60,866.60
28,797.58,200.25,NA,880.20,863.50
29,797.73,202.67,NA,877.20,859.60
30,797.88,205.09,NA,879.60,864.50
31,798.04,207.51,NA,878.80,860.10
32,798.19,209.93,NA,879.70,864.50
33,798.35,212.35,NA,880.10,866.00
34,798.50,214.77,NA,881.50,862.60
35,798.66,217.18,NA,883.90,866.20
36,798.81,219.60,NA,888.80,861.70
37,798.96,222.02,NA,892.20,867.80
38,799.12,224.43,NA,907.90,864.80
39,799.27,226.85,NA,936.70,867.20
40,799.43,229.27,NA,1012.10,864.70
41,799.58,231.68,NA,1151.40,862.30
42,799.74,234.09,NA,1397.40,863.60
43,799.89,236.51,NA,1692.50,873.20
44,800.04,238.92,NA,1948.90,871.40
45,800.20,241.33,NA,2079.60,865.00
46,800.35,243.75,NA,2101.00,865.00
47,800.51,246.16,119.64,2067.60,865.30
48,800.66,248.57,280.85,2038.00,864.40
49,800.82,250.98,226.16,1983.90,869.80
50,800.97,253.39,144.33,1936.40,869.60
51,801.13,255.80,113.34,1902.00,865.00
52,801.28,258.21,82.77,1851.40,868.90
53,801.43,260.61,74.17,1821.70,865.40
54,801.59,263.02,56.37,1788.40,869.40
55,801.74,265.43,41.77,1747.80,862.70
56,801.90,267.83,43.48,1738.30,866.00
57,802.05,270.24,28.04,1706.00,865.90
58,802.21,272.65,24.22,1693.70,868.20
59,802.36,275.05,10.01,1660.90,867.60
60,802.52,277.46,6.41,1641.20,865.90
61,802.67,279.86,7.21,1636.80,867.20
62,802.83,282.26,0.00,1607.30,869.80
63,802.98,284.66,0.00,1591.70,866.00
64,803.14,287.07,0.01,1585.10,868.80
65,803.29,289.47,0.00,1557.60,865.40
66,803.45,291.87,0.00,1556.30,868.20
67,803.60,294.27,0.00,1532.50,862.50
68,803.76,296.67,0.00,1524.40,870.80
69,803.91,299.07,0.00,1505.40,863.30
70,804.07,301.47,0.00,1499.00,866.10
71,804.22,303.87,0.00,1492.40,865.10
72,804.38,306.26,0.00,1474.50,865.50
73,804.53,308.66,0.00,1474.30,867.60
74,804.69,311.06,0.00,1455.50,866.60
75,804.84,313.45,0.00,1453.40,861.60
76,805.00,315.85,0.00,1453.80,863.90
77,805.15,318.24,0.00,1443.50,868.40
78,805.31,320.64,0.00,1440.40,865.50
79,805.46,323.03,0.00,1432.20,864.70
80,805.62,325.42,0.00,1431.30,867.60
81,805.77,327.82,0.00,1429.60,860.10
82,805.93,330.21,0.00,1431.90,865.80
83,806.09,332.60,0.00,1429.20,867.40
84,806.24,334.99,0.11,1433.60,864.50
85,806.40,337.38,1.21,1430.00,860.00
86,806.55,339.77,9.73,1445.40,862.60
87,806.71,342.16,29.49,1464.80,863.90
88,806.86,344.55,40.62,1475.30,867.60
89,807.02,346.94,51.01,1485.70,865.80
90,807.17,349.32,65.54,1504.20,865.60
91,807.33,351.71,72.21,1513.90,868.00
92,807.48,354.10,81.58,1522.10,864.80
93,807.64,356.48,92.68,1540.00,868.40
94,807.80,358.87,95.09,1541.90,869.20
95,807.95,361.25,113.72,1560.60,865.60
96,808.11,363.63,122.78,1571.70,866.80
97,808.26,366.02,129.35,1581.20,866.80
98,808.42,368.40,138.32,1592.40,865.30
99,808.57,370.78,156.51,1615.60,866.00
100,808.73,373.16,174.81,1634.70,864.50
101,808.89,375.55,198.18,1664.70,865.00
102,809.04,377.93,208.20,1676.60,864.30
103,809.20,380.31,234.98,1712.90,863.60
104,809.35,382.68,255.24,1741.80,862.60
105,809.51,385.06,272.37,1778.00,870.40
106,809.66,387.44,304.49,1825.10,869.10
107,809.82,389.82,349.59,1879.50,861.80
108,809.98,392.19,412.22,1966.90,863.50
109,810.13,394.57,467.08,2047.10,865.20
110,810.29,396.95,536.24,2151.00,868.20
111,810.44,399.32,621.75,2266.10,865.80
112,810.60,401.70,724.52,2398.00,866.10
113,810.76,404.07,820.60,2511.50,864.70
114,810.91,406.44,911.73,2621.90,866.90
115,811.07,408.82,954.82,2670.00,867.80
116,811.22,411.19,961.32,2673.60,866.70
117,811.38,413.56,928.38,2631.10,864.50
118,811.54,415.93,838.37,2519.80,865.00
119,811.69,418.30,734.90,2388.70,863.90
120,811.85,420.67,625.45,2246.40,864.90
121,812.00,423.04,514.43,2095.20,865.60
122,812.16,425.41,424.41,1969.10,865.90
123,812.32,427.77,344.98,1857.40,870.60
124,812.47,430.14,288.18,1764.60,866.60
125,812.63,432.51,248.91,1697.70,867.50
126,812.79,434.87,231.29,1656.50,862.40
127,812.94,437.24,205.41,1612.20,865.30
128,813.10,439.60,196.33,1590.30,862.30
129,813.26,441.97,183.02,1569.80,862.40
130,813.41,444.33,168.74,1553.50,864.60
131,813.57,446.69,162.23,1547.30,866.40
132,813.72,449.06,176.67,1566.30,863.20
133,813.88,451.42,195.54,1592.50,860.90
134,814.04,453.78,222.31,1638.00,867.80
135,814.19,456.14,283.01,1714.60,860.30
136,814.35,458.50,352.98,1804.20,860.00
137,814.51,460.86,429.79,1914.00,868.30
138,814.66,463.22,488.78,1990.70,862.80
139,814.82,465.58,567.86,2113.90,865.80
140,814.98,467.93,613.70,2190.90,864.60
141,815.13,470.29,679.99,2301.70,863.80
142,815.29,472.65,756.11,2426.20,869.10
143,815.45,475.00,861.21,2574.80,866.40
144,815.60,477.36,973.17,2719.70,863.80
145,815.76,479.71,1090.64,2859.40,865.50
146,815.92,482.06,1206.71,2976.10,862.00
147,816.07,484.42,1257.20,3005.90,862.20
148,816.23,486.77,1209.02,2929.90,865.90
149,816.39,489.12,1055.59,2738.60,862.80
150,816.54,491.47,829.18,2475.90,870.40
151,816.70,493.82,591.45,2173.00,868.40
152,816.86,496.17,397.09,1895.50,864.30
153,817.01,498.52,265.16,1686.80,864.20
154,817.17,500.87,176.71,1534.70,868.30
155,817.33,503.22,121.30,1422.30,862.80
156,817.48,505.57,84.43,1347.10,863.70
157,817.64,507.91,61.88,1301.10,866.40
158,817.80,510.26,43.38,1256.60,859.10
159,817.95,512.60,24.42,1228.60,863.60
160,818.11,514.95,10.17,1208.80,865.20
161,818.27,517.29,2.07,1191.60,863.90
162,818.42,519.64,0.03,1178.00,867.20
163,818.58,521.98,0.00,1174.10,868.10
164,818.74,524.32,0.00,1164.20,864.30
165,818.90,526.66,0.00,1153.00,858.00
166,819.05,529.00,0.00,1152.90,864.60
167,819.21,531.34,0.00,1144.00,862.10
168,819.37,533.68,0.00,1145.40,865.50
169,819.52,536.02,0.00,1135.10,864.70
170,819.68,538.36,0.00,1144.90,866.00
171,819.84,540.70,0.00,1132.00,860.00
172,819.99,543.04,0.00,1138.50,865.90
173,820.15,545.37,0.00,1141.00,866.80
174,820.31,547.71,0.00,1136.30,864.80
175,820.47,550.04,0.00,1141.30,864.80
176,820.62,552.38,0.00,1138.50,862.10
177,820.78,554.71,0.00,1144.90,864.40
178,820.94,557.05,0.53,1149.00,862.80
179,821.10,559.38,6.11,1158.50,861.80
180,821.25,561.71,7.46,1155.40,861.40
181,821.41,564.04,17.93,1175.30,864.40
182,821.57,566.37,18.98,1178.80,865.10
183,821.72,568.70,30.47,1196.00,862.60
184,821.88,571.03,35.57,1208.60,864.40
185,822.04,573.36,41.37,1224.80,867.40
186,822.20,575.69,59.56,1256.00,864.80
187,822.35,578.02,81.15,1295.00,865.70
188,822.51,580.34,105.58,1336.90,863.70
189,822.67,582.67,147.35,1409.70,861.90
190,822.83,584.99,197.16,1493.80,863.10
191,822.98,587.32,271.00,1606.40,865.40
192,823.14,589.64,364.89,1730.90,867.20
193,823.30,591.97,462.55,1838.50,860.50
194,823.46,594.29,524.44,1909.90,863.10
195,823.61,596.61,525.51,1922.10,867.10
196,823.77,598.93,474.05,1879.10,864.40
197,823.93,601.25,396.02,1811.90,864.20
198,824.09,603.57,337.94,1776.50,860.70
199,824.24,605.89,318.87,1820.20,863.00
200,824.40,608.21,358.68,1984.60,864.60
201,824.56,610.53,508.39,2355.10,863.90
202,824.72,612.85,881.85,3041.30,866.40
203,824.87,615.17,1675.30,4102.90,866.10
204,825.03,617.48,2857.84,5269.20,867.00
205,825.19,619.80,3748.43,5982.50,869.20
206,825.35,622.11,3450.47,5734.50,868.30
207,825.50,624.43,2305.05,4767.70,866.60
208,825.66,626.74,1182.89,3507.30,865.10
209,825.82,629.05,569.42,2541.70,863.70
210,825.98,631.36,306.25,1957.90,863.40
211,826.14,633.68,203.01,1650.10,860.90
212,826.29,635.99,156.52,1491.50,865.00
213,826.45,638.30,125.34,1396.70,866.60
214,826.61,640.61,104.01,1341.50,863.00
215,826.77,642.92,83.16,1302.20,862.50
216,826.92,645.22,71.17,1278.80,860.90
217,827.08,647.53,65.87,1268.30,862.90
218,827.24,649.84,61.42,1254.90,861.00
219,827.40,652.14,56.15,1246.80,862.50
220,827.56,654.45,42.78,1234.30,868.60
221,827.71,656.76,29.88,1210.20,862.50
222,827.87,659.06,19.82,1195.50,863.10
223,828.03,661.36,11.28,1184.40,864.00
224,828.19,663.67,4.31,1176.30,863.70
225,828.34,665.97,0.59,1163.30,858.10
226,828.50,668.27,0.00,1166.50,872.40
227,828.66,670.57,0.00,1163.00,867.20
228,828.82,672.87,0.00,1162.40,865.20
229,828.98,675.17,1.59,1161.60,858.10
230,829.13,677.47,0.09,1164.90,862.80
231,829.29,679.77,0.00,1158.00,863.50
232,829.45,682.06,0.00,1160.20,863.00
233,829.61,684.36,0.00,1158.30,861.00
234,829.77,686.66,0.00,1165.80,867.60
235,829.92,688.95,0.23,1177.00,858.40
236,830.08,691.25,5.22,1206.90,862.40
237,830.24,693.54,27.46,1245.30,864.80
238,830.40,695.83,57.17,1272.20,863.20
239,830.56,698.13,92.34,1310.30,863.00
240,830.72,700.42,112.16,1332.50,862.20
241,830.87,702.71,101.14,1325.00,862.00
242,831.03,705.00,71.40,1294.90,858.40
243,831.19,707.29,43.12,1275.00,865.50
244,831.35,709.58,18.10,1238.80,862.70
245,831.51,711.87,7.28,1225.80,866.40
246,831.66,714.15,2.27,1206.50,859.80
247,831.82,716.44,1.60,1204.70,859.00
248,831.98,718.73,4.06,1219.30,863.10
249,832.14,721.01,10.08,1232.50,860.60
250,832.30,723.30,26.74,1267.20,860.00
251,832.46,725.58,51.86,1316.30,864.10
252,832.61,727.87,90.60,1385.50,865.30
253,832.77,730.15,141.39,1472.80,865.00
254,832.93,732.43,208.25,1579.30,856.70
255,833.09,734.71,287.08,1726.10,866.80
256,833.25,736.99,377.78,1885.20,865.40
257,833.41,739.27,488.51,2079.60,863.10
258,833.56,741.55,622.63,2310.10,861.60
259,833.72,743.83,778.07,2559.80,861.20
260,833.88,746.11,974.16,2847.60,866.00
261,834.04,748.39,1185.07,3109.00,861.50
262,834.20,750.66,1346.27,3285.30,862.60
263,834.36,752.94,1392.56,3331.00,867.60
264,834.51,755.22,1264.16,3176.70,864.60
265,834.67,757.49,1021.26,2895.40,866.40
266,834.83,759.76,759.65,2566.40,867.40
267,834.99,762.04,542.48,2248.30,862.90
268,835.15,764.31,404.84,2022.90,865.40
269,835.31,766.58,331.12,1878.50,861.90
270,835.47,768.85,304.62,1815.80,860.80
271,835.62,771.12,301.48,1808.00,870.00
272,835.78,773.39,337.71,1863.00,863.10
273,835.94,775.66,388.64,1959.00,862.10
274,836.10,777.93,478.13,2139.00,862.60
275,836.26,780.20,606.95,2403.80,862.60
276,836.42,782.46,791.47,2774.80,860.90
277,836.57,784.73,1079.01,3317.40,863.40
278,836.73,787.00,1516.76,4054.10,860.20
279,836.89,789.26,2122.37,4976.20,863.50
280,837.05,791.52,2840.64,5981.70,862.80
281,837.21,793.79,3491.97,6863.60,866.00
282,837.37,796.05,3981.73,7571.70,864.90
283,837.53,798.31,4166.72,7936.80,863.40
284,837.69,800.57,4103.81,8009.20,862.80
285,837.84,802.83,3959.64,7971.40,869.70
286,838.00,805.09,3828.64,7883.60,860.90
287,838.16,807.35,3773.96,7839.30,862.30
288,838.32,809.61,3846.86,7897.00,865.30
289,838.48,811.87,4019.05,8001.00,861.60
290,838.64,814.13,4176.07,8030.40,867.60
291,838.80,816.38,4162.02,7836.90,865.40
292,838.95,818.64,3807.36,7286.20,864.60
293,839.11,820.89,3118.63,6378.80,861.70
294,839.27,823.15,2307.43,5295.20,860.40
295,839.43,825.40,1619.06,4298.10,865.00
296,839.59,827.65,1120.44,3472.30,864.40
297,839.75,829.90,801.63,2879.90,868.60
298,839.91,832.15,614.60,2491.50,861.90
299,840.07,834.40,490.36,2235.60,868.00
300,840.22,836.65,415.90,2073.60,868.20
301,840.38,838.90,388.33,1994.60,867.60
302,840.54,841.15,398.27,1967.70,861.30
303,840.70,843.40,422.06,1967.60,862.50
304,840.86,845.65,429.65,1955.20,865.40
305,841.02,847.89,394.27,1897.70,864.80
306,841.18,850.14,323.73,1808.80,866.90
307,841.34,852.38,239.13,1696.00,864.60
308,841.50,854.63,167.78,1601.30,868.80
309,841.65,856.87,109.76,1507.00,867.20
310,841.81,859.11,73.97,1438.60,864.30
311,841.97,861.35,57.78,1400.60,860.40
312,842.13,863.60,46.58,1377.10,864.10
313,842.29,865.84,42.89,1364.90,864.80
314,842.45,868.07,42.03,1353.90,860.50
315,842.61,870.31,38.48,1346.80,861.50
316,842.77,872.55,28.43,1337.60,866.50
317,842.93,874.79,19.15,1327.30,865.00
318,843.08,877.03,7.78,1317.30,867.00
319,843.24,879.26,1.92,1302.90,861.60
320,843.40,881.50,0.19,1294.30,861.30
321,843.56,883.73,0.00,1292.20,866.00
322,843.72,885.97,1.52,1305.00,864.00
323,843.88,888.20,1.91,1301.40,861.60
