ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201426-668498-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,calcium carbonate
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,299
Timestamp,2025-02-20 20:14:26.668498
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,944.50,911.25
1,793.43,134.69,NA,958.25,922.00
2,793.58,137.12,NA,963.50,924.00
3,793.73,139.56,NA,957.25,912.75
4,793.89,141.99,NA,952.25,914.00
5,794.04,144.42,NA,949.00,913.25
6,794.19,146.86,NA,956.75,916.25
7,794.35,149.29,NA,949.75,911.50
8,794.50,151.72,NA,964.00,930.75
9,794.65,154.15,NA,952.25,916.00
10,794.81,156.58,NA,965.25,923.50
11,794.96,159.01,NA,967.00,923.00
12,795.12,161.44,NA,958.00,911.25
13,795.27,163.87,NA,975.00,928.00
14,795.42,166.30,NA,952.00,914.00
15,795.58,168.73,NA,965.25,916.00
16,795.73,171.16,NA,954.00,915.50
17,795.88,173.58,NA,961.25,919.00
18,796.04,176.01,NA,967.25,925.00
19,796.19,178.44,NA,966.50,929.50
20,796.35,180.86,NA,974.75,929.00
21,796.50,183.29,NA,968.00,917.75
22,796.65,185.71,NA,987.50,941.25
23,796.81,188.14,NA,978.00,928.75
24,796.96,190.56,NA,976.25,926.50
25,797.11,192.98,NA,989.00,931.50
26,797.27,195.41,NA,990.00,935.25
27,797.42,197.83,NA,988.25,932.00
28,797.58,200.25,NA,990.50,936.75
29,797.73,202.67,NA,982.50,927.50
30,797.88,205.09,NA,983.75,924.50
31,798.04,207.51,NA,985.00,919.00
32,798.19,209.93,NA,989.50,921.00
33,798.35,212.35,NA,991.00,927.75
34,798.50,214.77,NA,999.50,917.50
35,798.66,217.18,NA,1011.25,934.75
36,798.81,219.60,NA,1004.50,920.25
37,798.96,222.02,NA,1022.75,935.50
38,799.12,224.43,NA,1041.00,928.00
39,799.27,226.85,NA,1086.75,930.25
40,799.43,229.27,NA,1182.75,935.50
41,799.58,231.68,NA,1368.75,930.75
42,799.74,234.09,NA,1699.25,928.75
43,799.89,236.51,NA,2154.25,955.25
44,800.04,238.92,NA,2531.50,945.50
45,800.20,241.33,NA,2752.25,930.50
46,800.35,243.75,NA,2956.75,921.00
47,800.51,246.16,0.00,3077.75,926.50
48,800.66,248.57,0.00,3225.75,936.00
49,800.82,250.98,3.73,3351.25,946.00
50,800.97,253.39,64.87,3513.75,941.00
51,801.13,255.80,247.35,3699.50,939.75
52,801.28,258.21,496.50,3961.50,943.25
53,801.43,260.61,755.33,4288.25,927.00
54,801.59,263.02,1017.36,4721.00,943.25
55,801.74,265.43,1364.27,5284.75,922.50
56,801.90,267.83,1884.61,6155.25,935.00
57,802.05,270.24,2720.79,7444.75,937.75
58,802.21,272.65,3980.96,9173.50,943.50
59,802.36,275.05,6000.08,11547.75,940.25
60,802.52,277.46,8626.67,14165.00,939.75
61,802.67,279.86,11087.65,16298.00,945.00
62,802.83,282.26,12173.69,17159.50,957.50
63,802.98,284.66,11244.99,16410.50,943.00
64,803.14,287.07,8662.25,14213.50,951.50
65,803.29,289.47,5819.20,11441.00,939.50
66,803.45,291.87,3619.64,8896.00,953.25
67,803.60,294.27,2275.88,7006.50,931.50
68,803.76,296.67,1478.30,5738.75,950.50
69,803.91,299.07,1008.77,4882.75,919.00
70,804.07,301.47,704.40,4356.50,934.50
71,804.22,303.87,500.41,4008.50,932.50
72,804.38,306.26,342.48,3768.50,935.75
73,804.53,308.66,206.54,3574.75,938.25
74,804.69,311.06,125.48,3455.25,932.00
75,804.84,313.45,51.45,3325.25,925.00
76,805.00,315.85,23.28,3280.25,932.00
77,805.15,318.24,2.78,3226.25,946.75
78,805.31,320.64,0.19,3181.00,935.50
79,805.46,323.03,0.00,3139.50,932.00
80,805.62,325.42,0.00,3111.25,947.75
81,805.77,327.82,0.00,3061.75,926.00
82,805.93,330.21,0.00,3059.50,938.25
83,806.09,332.60,0.00,3030.75,943.00
84,806.24,334.99,0.00,2998.75,925.00
85,806.40,337.38,0.00,2993.75,920.50
86,806.55,339.77,0.00,2995.75,932.00
87,806.71,342.16,0.00,2967.75,931.25
88,806.86,344.55,0.00,2983.00,945.00
89,807.02,346.94,0.00,2968.00,940.75
90,807.17,349.32,0.00,2952.75,928.75
91,807.33,351.71,0.00,2970.75,940.25
92,807.48,354.10,0.00,2967.50,933.00
93,807.64,356.48,0.00,2959.75,937.25
94,807.80,358.87,0.62,2983.50,941.25
95,807.95,361.25,0.00,2974.25,941.50
96,808.11,363.63,13.15,2980.25,932.50
97,808.26,366.02,0.00,2946.00,927.50
98,808.42,368.40,0.19,2959.50,930.50
99,808.57,370.78,0.99,2964.75,934.00
100,808.73,373.16,6.37,2964.75,925.75
101,808.89,375.55,11.34,2978.25,940.25
102,809.04,377.93,26.29,2976.25,925.00
103,809.20,380.31,32.59,2979.00,925.00
104,809.35,382.68,36.68,2981.50,924.25
105,809.51,385.06,36.88,3001.25,944.00
106,809.66,387.44,34.42,2983.00,931.75
107,809.82,389.82,44.23,2987.50,927.50
