ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202018-780882-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,coconut oil
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,456
Timestamp,2025-02-20 20:20:18.780882
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1024.67,947.00
1,793.43,134.69,NA,1028.33,955.67
2,793.58,137.12,NA,1037.67,966.00
3,793.73,139.56,NA,1023.00,948.67
4,793.89,141.99,NA,1037.33,950.67
5,794.04,144.42,NA,1032.33,955.33
6,794.19,146.86,NA,1035.33,955.67
7,794.35,149.29,NA,1026.00,943.00
8,794.50,151.72,NA,1047.00,966.33
9,794.65,154.15,NA,1037.33,963.67
10,794.81,156.58,NA,1051.00,964.67
11,794.96,159.01,NA,1059.00,972.00
12,795.12,161.44,NA,1035.67,950.00
13,795.27,163.87,NA,1062.67,975.33
14,795.42,166.30,NA,1046.33,946.33
15,795.58,168.73,NA,1047.33,959.33
16,795.73,171.16,NA,1049.33,953.33
17,795.88,173.58,NA,1051.67,952.67
18,796.04,176.01,NA,1062.00,972.67
19,796.19,178.44,NA,1064.33,971.33
20,796.35,180.86,NA,1073.33,971.67
21,796.50,183.29,NA,1061.33,961.33
22,796.65,185.71,NA,1097.33,994.00
23,796.81,188.14,NA,1083.67,974.33
24,796.96,190.56,NA,1077.67,966.33
25,797.11,192.98,NA,1086.67,978.33
26,797.27,195.41,NA,1097.33,981.00
27,797.42,197.83,NA,1098.33,978.00
28,797.58,200.25,NA,1093.33,979.33
29,797.73,202.67,NA,1094.67,974.00
30,797.88,205.09,NA,1095.00,959.33
31,798.04,207.51,NA,1087.33,966.67
32,798.19,209.93,NA,1102.33,968.00
33,798.35,212.35,NA,1118.33,977.00
34,798.50,214.77,NA,1118.00,964.00
35,798.66,217.18,NA,1138.33,982.33
36,798.81,219.60,NA,1133.33,968.67
37,798.96,222.02,NA,1212.00,981.67
38,799.12,224.43,NA,1285.67,966.00
39,799.27,226.85,NA,1517.00,976.33
40,799.43,229.27,NA,2020.00,988.33
41,799.58,231.68,NA,3097.00,971.33
42,799.74,234.09,NA,4942.33,983.33
43,799.89,236.51,NA,7243.00,1018.33
44,800.04,238.92,NA,9185.67,1012.00
45,800.20,241.33,NA,10372.67,975.33
46,800.35,243.75,NA,10929.67,979.33
47,800.51,246.16,323.08,11039.00,979.00
48,800.66,248.57,1012.26,11129.33,987.33
49,800.82,250.98,1040.36,11063.33,1003.33
50,800.97,253.39,730.89,10925.67,1001.33
51,801.13,255.80,587.76,10827.00,990.00
52,801.28,258.21,573.43,10798.00,1001.00
53,801.43,260.61,532.92,10665.33,975.33
54,801.59,263.02,540.43,10649.67,996.00
55,801.74,265.43,502.59,10533.00,967.33
56,801.90,267.83,506.91,10524.67,983.00
57,802.05,270.24,431.17,10421.33,991.67
58,802.21,272.65,396.35,10362.33,990.00
59,802.36,275.05,338.02,10246.00,978.67
60,802.52,277.46,333.72,10210.67,994.00
61,802.67,279.86,328.46,10165.00,994.33
62,802.83,282.26,248.31,10058.67,1005.00
63,802.98,284.66,187.98,9953.67,989.33
64,803.14,287.07,127.89,9861.33,1004.00
65,803.29,289.47,125.29,9799.33,981.67
66,803.45,291.87,72.70,9713.67,1004.33
67,803.60,294.27,79.56,9665.67,971.00
68,803.76,296.67,26.07,9608.33,1005.67
69,803.91,299.07,7.57,9507.00,962.33
70,804.07,301.47,2.07,9492.33,990.33
71,804.22,303.87,0.58,9450.00,981.00
72,804.38,306.26,0.00,9385.67,984.33
73,804.53,308.66,0.00,9376.67,995.33
74,804.69,311.06,0.00,9345.33,984.00
75,804.84,313.45,0.00,9297.00,979.00
76,805.00,315.85,5.19,9328.67,988.33
77,805.15,318.24,34.34,9332.33,1000.67
78,805.31,320.64,44.57,9294.00,995.00
79,805.46,323.03,49.74,9260.00,976.33
80,805.62,325.42,19.71,9230.67,1002.33
81,805.77,327.82,15.05,9165.33,969.67
82,805.93,330.21,25.34,9184.00,998.00
83,806.09,332.60,12.09,9136.67,1005.67
84,806.24,334.99,29.05,9092.33,973.33
85,806.40,337.38,81.96,9096.33,958.00
86,806.55,339.77,35.43,9055.33,989.00
87,806.71,342.16,21.05,9007.33,971.67
88,806.86,344.55,9.96,8979.00,993.00
89,807.02,346.94,37.72,9002.00,995.33
90,807.17,349.32,107.69,9020.00,979.67
91,807.33,351.71,142.60,9019.67,1000.00
92,807.48,354.10,132.74,8972.67,992.33
93,807.64,356.48,95.55,8907.00,994.33
94,807.80,358.87,79.17,8878.33,1006.33
95,807.95,361.25,29.69,8786.33,985.33
96,808.11,363.63,3.35,8723.00,989.67
97,808.26,366.02,0.00,8590.00,974.00
98,808.42,368.40,0.00,8588.67,983.00
99,808.57,370.78,0.00,8493.00,981.67
100,808.73,373.16,0.00,8479.00,976.67
101,808.89,375.55,0.00,8485.33,1005.00
102,809.04,377.93,0.00,8472.33,967.67
103,809.20,380.31,0.00,8502.67,973.33
104,809.35,382.68,0.01,8495.00,979.67
105,809.51,385.06,3.83,8552.67,999.33
106,809.66,387.44,39.67,8610.67,991.67
107,809.82,389.82,160.37,8732.33,981.00
108,809.98,392.19,270.94,8814.67,973.67
109,810.13,394.57,391.63,8970.00,991.67
110,810.29,396.95,534.00,9140.67,988.33
111,810.44,399.32,593.82,9194.00,984.33
112,810.60,401.70,679.67,9274.67,971.67
113,810.76,404.07,710.58,9319.67,987.33
114,810.91,406.44,649.02,9229.33,979.00
115,811.07,408.82,597.03,9169.67,989.00
116,811.22,411.19,531.69,9071.67,988.67
117,811.38,413.56,453.46,8943.67,982.67
118,811.54,415.93,384.26,8841.00,988.67
119,811.69,418.30,319.97,8724.67,967.33
120,811.85,420.67,258.15,8635.33,970.33
121,812.00,423.04,213.37,8572.00,995.33
122,812.16,425.41,237.35,8548.67,979.00
123,812.32,427.77,281.77,8578.00,996.67
124,812.47,430.14,265.95,8524.33,992.33
125,812.63,432.51,210.15,8435.33,987.00
126,812.79,434.87,185.51,8386.33,975.33
127,812.94,437.24,137.38,8319.33,980.67
128,813.10,439.60,98.54,8235.67,964.67
129,813.26,441.97,90.45,8219.67,979.00
130,813.41,444.33,110.31,8227.33,981.00
131,813.57,446.69,132.81,8230.33,980.00
132,813.72,449.06,173.30,8261.33,975.33
133,813.88,451.42,191.51,8257.33,966.67
134,814.04,453.78,240.59,8313.00,977.00
135,814.19,456.14,287.37,8321.33,951.33
136,814.35,458.50,314.46,8343.33,962.00
137,814.51,460.86,307.08,8344.33,988.33
138,814.66,463.22,295.67,8290.00,960.00
139,814.82,465.58,264.12,8264.33,990.00
140,814.98,467.93,249.35,8215.67,974.67
141,815.13,470.29,203.15,8117.67,965.33
142,815.29,472.65,222.37,8130.67,969.33
143,815.45,475.00,190.99,8087.33,992.33
144,815.60,477.36,177.75,8035.00,980.00
145,815.76,479.71,199.80,8040.00,977.00
146,815.92,482.06,193.69,7983.00,958.67
147,816.07,484.42,210.52,7983.00,959.33
148,816.23,486.77,201.30,7972.00,981.33
149,816.39,489.12,202.98,7957.67,977.33
150,816.54,491.47,179.82,7926.00,1000.33
151,816.70,493.82,191.59,7910.33,1001.00
152,816.86,496.17,224.27,7886.33,964.67
153,817.01,498.52,191.53,7846.67,983.67
154,817.17,500.87,143.26,7765.33,977.33
155,817.33,503.22,129.84,7731.00,981.00
156,817.48,505.57,145.33,7719.67,976.67
157,817.64,507.91,147.73,7707.67,994.67
158,817.80,510.26,140.42,7641.33,965.00
159,817.95,512.60,156.24,7641.67,958.00
160,818.11,514.95,120.28,7587.67,975.67
161,818.27,517.29,138.27,7606.67,988.67
162,818.42,519.64,150.83,7593.33,987.33
163,818.58,521.98,157.42,7576.00,992.33
164,818.74,524.32,165.76,7539.33,972.33
165,818.90,526.66,156.54,7488.00,958.00
166,819.05,529.00,147.74,7491.33,989.67
167,819.21,531.34,109.52,7394.33,967.33
168,819.37,533.68,99.31,7364.00,980.00
169,819.52,536.02,93.56,7324.00,982.33
170,819.68,538.36,84.42,7282.67,978.00
171,819.84,540.70,46.38,7194.00,961.67
172,819.99,543.04,18.70,7166.33,999.33
173,820.15,545.37,10.40,7113.67,978.00
174,820.31,547.71,1.81,7072.67,975.33
175,820.47,550.04,0.00,6996.33,978.33
176,820.62,552.38,0.00,6976.33,965.33
177,820.78,554.71,0.00,6910.33,974.00
178,820.94,557.05,0.00,6915.67,981.67
179,821.10,559.38,0.00,6867.33,967.00
180,821.25,561.71,0.00,6838.33,952.00
181,821.41,564.04,0.00,6867.00,971.00
182,821.57,566.37,0.00,6873.67,964.00
183,821.72,568.70,0.67,6948.33,978.67
184,821.88,571.03,13.88,6992.00,976.00
185,822.04,573.36,79.55,7101.67,992.67
186,822.20,575.69,140.14,7136.33,973.33
187,822.35,578.02,176.69,7214.00,998.67
188,822.51,580.34,279.46,7352.67,971.00
189,822.67,582.67,332.90,7426.67,964.67
190,822.83,584.99,392.34,7533.00,979.67
191,822.98,587.32,507.65,7721.67,983.00
192,823.14,589.64,537.29,7767.00,976.67
193,823.30,591.97,648.56,7932.00,962.00
194,823.46,594.29,725.34,8050.33,976.33
195,823.61,596.61,878.99,8264.67,976.67
196,823.77,598.93,923.39,8314.67,977.00
197,823.93,601.25,1006.31,8444.67,982.33
198,824.09,603.57,1005.93,8417.67,956.33
199,824.24,605.89,1011.02,8433.00,968.00
200,824.40,608.21,989.74,8403.33,973.33
201,824.56,610.53,919.01,8306.67,976.67
202,824.72,612.85,820.47,8185.67,992.33
203,824.87,615.17,742.82,8061.67,973.67
204,825.03,617.48,651.65,7928.67,976.33
205,825.19,619.80,594.16,7845.67,987.33
206,825.35,622.11,560.25,7777.33,988.67
207,825.50,624.43,549.13,7738.00,984.00
208,825.66,626.74,539.08,7710.33,977.33
209,825.82,629.05,497.70,7620.33,952.67
210,825.98,631.36,505.91,7645.33,970.33
211,826.14,633.68,522.45,7657.67,973.33
212,826.29,635.99,539.41,7668.67,974.00
213,826.45,638.30,523.52,7641.33,981.67
214,826.61,640.61,544.84,7667.33,974.33
215,826.77,642.92,501.35,7589.00,964.00
216,826.92,645.22,481.54,7558.33,971.67
217,827.08,647.53,497.81,7568.33,966.67
218,827.24,649.84,452.28,7485.67,959.33
219,827.40,652.14,408.50,7425.00,965.33
220,827.56,654.45,388.58,7410.33,982.33
221,827.71,656.76,359.18,7342.00,966.67
222,827.87,659.06,323.25,7282.00,976.67
223,828.03,661.36,326.12,7267.00,972.67
224,828.19,663.67,290.07,7200.00,974.67
225,828.34,665.97,261.32,7132.00,954.33
226,828.50,668.27,204.32,7100.33,1015.33
227,828.66,670.57,176.37,7005.67,973.00
228,828.82,672.87,140.72,6943.33,982.67
229,828.98,675.17,93.03,6837.00,958.00
230,829.13,677.47,54.48,6814.33,969.00
231,829.29,679.77,11.36,6773.00,973.67
232,829.45,682.06,0.00,6682.67,983.67
233,829.61,684.36,0.00,6649.00,970.67
234,829.77,686.66,0.00,6722.67,1069.33
235,829.92,688.95,0.00,6617.33,950.33
236,830.08,691.25,0.00,6591.67,971.33
237,830.24,693.54,0.00,6633.33,972.33
238,830.40,695.83,0.00,6613.00,970.33
239,830.56,698.13,0.00,6642.33,978.00
240,830.72,700.42,0.00,6629.00,969.33
241,830.87,702.71,0.00,6648.00,958.67
242,831.03,705.00,0.00,6700.00,941.67
243,831.19,707.29,0.32,6807.33,990.33
244,831.35,709.58,0.00,6774.00,968.67
245,831.51,711.87,25.18,6939.67,994.00
246,831.66,714.15,61.65,6956.67,949.33
247,831.82,716.44,111.13,7044.00,949.67
248,831.98,718.73,188.58,7210.33,974.00
249,832.14,721.01,274.17,7333.67,957.00
250,832.30,723.30,362.61,7470.67,959.00
251,832.46,725.58,402.02,7560.00,972.00
252,832.61,727.87,418.88,7640.67,983.67
253,832.77,730.15,374.11,7607.33,968.33
254,832.93,732.43,359.68,7596.00,937.33
255,833.09,734.71,360.91,7675.33,988.67
256,833.25,736.99,351.71,7673.67,990.33
257,833.41,739.27,385.45,7726.33,975.00
258,833.56,741.55,377.93,7732.67,971.67
259,833.72,743.83,363.30,7732.00,965.00
260,833.88,746.11,376.14,7784.00,970.33
