ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195747-193211-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,dichloromethane
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,96
Timestamp,2025-02-20 19:57:47.193211
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,888.30,863.80
1,793.43,134.69,NA,891.10,866.30
2,793.58,137.12,NA,891.50,865.30
3,793.73,139.56,NA,890.00,864.20
4,793.89,141.99,NA,892.40,864.00
5,794.04,144.42,NA,890.30,865.20
6,794.19,146.86,NA,888.70,866.40
7,794.35,149.29,NA,885.70,861.70
8,794.50,151.72,NA,891.30,866.40
9,794.65,154.15,NA,887.40,866.10
10,794.81,156.58,NA,890.60,867.00
11,794.96,159.01,NA,890.10,867.20
12,795.12,161.44,NA,889.20,863.40
13,795.27,163.87,NA,891.90,870.40
14,795.42,166.30,NA,887.20,863.20
15,795.58,168.73,NA,889.40,869.20
16,795.73,171.16,NA,887.00,864.20
17,795.88,173.58,NA,888.20,866.60
18,796.04,176.01,NA,888.40,869.10
19,796.19,178.44,NA,892.20,869.20
20,796.35,180.86,NA,891.50,867.80
21,796.50,183.29,NA,891.40,869.00
22,796.65,185.71,NA,897.10,872.20
23,796.81,188.14,NA,894.60,868.20
24,796.96,190.56,NA,892.70,870.40
25,797.11,192.98,NA,895.70,867.30
26,797.27,195.41,NA,899.10,873.10
27,797.42,197.83,NA,897.70,869.60
28,797.58,200.25,NA,900.80,873.90
29,797.73,202.67,NA,898.00,870.40
30,797.88,205.09,NA,897.30,867.30
