ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195350-334154-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,diethylether
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,738
Timestamp,2025-02-20 19:53:50.334154
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1051.50,1001.00
1,793.43,134.69,NA,1074.00,1029.50
2,793.58,137.12,NA,1087.00,1042.00
3,793.73,139.56,NA,1066.50,1010.50
4,793.89,141.99,NA,1065.50,1023.00
5,794.04,144.42,NA,1070.50,1027.50
6,794.19,146.86,NA,1074.00,1027.50
7,794.35,149.29,NA,1048.50,1006.50
8,794.50,151.72,NA,1091.50,1052.50
9,794.65,154.15,NA,1080.00,1026.00
10,794.81,156.58,NA,1085.50,1040.00
11,794.96,159.01,NA,1088.50,1045.50
12,795.12,161.44,NA,1066.50,1020.00
13,795.27,163.87,NA,1101.50,1059.50
14,795.42,166.30,NA,1067.50,1019.00
15,795.58,168.73,NA,1084.00,1037.00
16,795.73,171.16,NA,1078.50,1013.50
17,795.88,173.58,NA,1087.50,1040.50
18,796.04,176.01,NA,1118.50,1053.00
19,796.19,178.44,NA,1108.50,1046.50
20,796.35,180.86,NA,1110.50,1050.50
21,796.50,183.29,NA,1087.00,1041.00
22,796.65,185.71,NA,1150.00,1084.50
23,796.81,188.14,NA,1120.50,1053.50
24,796.96,190.56,NA,1113.50,1045.50
25,797.11,192.98,NA,1138.50,1072.00
26,797.27,195.41,NA,1153.00,1075.00
27,797.42,197.83,NA,1135.00,1068.50
28,797.58,200.25,NA,1127.00,1065.50
29,797.73,202.67,NA,1118.50,1060.00
30,797.88,205.09,NA,1099.00,1037.00
31,798.04,207.51,NA,1124.50,1048.50
32,798.19,209.93,NA,1127.00,1045.00
33,798.35,212.35,NA,1136.50,1054.00
34,798.50,214.77,NA,1131.00,1044.50
35,798.66,217.18,NA,1146.00,1066.50
36,798.81,219.60,NA,1133.00,1035.50
37,798.96,222.02,NA,1172.00,1070.00
38,799.12,224.43,NA,1202.50,1044.50
39,799.27,226.85,NA,1269.50,1053.00
40,799.43,229.27,NA,1477.00,1074.00
41,799.58,231.68,NA,1814.00,1042.50
42,799.74,234.09,NA,2470.50,1062.00
43,799.89,236.51,NA,3337.50,1115.00
44,800.04,238.92,NA,4000.50,1106.00
45,800.20,241.33,NA,4395.00,1049.50
46,800.35,243.75,NA,4554.50,1052.00
47,800.51,246.16,154.12,4609.00,1044.50
48,800.66,248.57,311.73,4592.00,1084.50
49,800.82,250.98,223.92,4536.50,1104.50
50,800.97,253.39,138.16,4468.50,1080.50
51,801.13,255.80,88.53,4410.50,1070.00
52,801.28,258.21,49.32,4366.00,1088.50
53,801.43,260.61,42.25,4311.50,1058.50
54,801.59,263.02,25.28,4293.50,1084.50
55,801.74,265.43,36.77,4254.00,1042.50
56,801.90,267.83,16.51,4259.50,1064.50
57,802.05,270.24,0.00,4200.00,1070.00
58,802.21,272.65,0.00,4216.00,1081.50
59,802.36,275.05,4.40,4211.00,1063.50
60,802.52,277.46,10.93,4219.00,1071.50
61,802.67,279.86,6.47,4220.00,1090.50
62,802.83,282.26,37.53,4294.50,1103.50
63,802.98,284.66,78.49,4309.50,1077.00
64,803.14,287.07,168.61,4420.00,1103.50
65,803.29,289.47,265.92,4481.50,1070.50
66,803.45,291.87,281.03,4532.50,1101.50
67,803.60,294.27,323.64,4541.50,1055.00
68,803.76,296.67,412.13,4674.50,1095.00
69,803.91,299.07,446.27,4619.50,1021.00
70,804.07,301.47,440.81,4659.50,1072.50
71,804.22,303.87,427.75,4635.50,1054.50
72,804.38,306.26,361.03,4561.50,1061.50
73,804.53,308.66,341.21,4527.50,1065.50
74,804.69,311.06,333.10,4491.50,1059.50
75,804.84,313.45,293.36,4419.00,1043.00
76,805.00,315.85,225.68,4352.50,1063.50
77,805.15,318.24,182.77,4307.00,1090.00
78,805.31,320.64,174.50,4254.00,1074.00
79,805.46,323.03,166.00,4203.50,1049.50
80,805.62,325.42,66.19,4119.50,1093.00
81,805.77,327.82,41.03,4059.50,1049.00
82,805.93,330.21,7.41,4037.50,1081.00
83,806.09,332.60,0.00,3966.00,1091.00
84,806.24,334.99,0.00,3931.00,1045.00
85,806.40,337.38,0.24,3908.50,1017.00
86,806.55,339.77,0.00,3928.50,1062.50
87,806.71,342.16,2.42,3945.50,1058.00
88,806.86,344.55,34.72,4054.50,1075.00
89,807.02,346.94,109.34,4128.50,1073.00
90,807.17,349.32,206.45,4216.00,1054.00
91,807.33,351.71,349.23,4446.50,1080.00
92,807.48,354.10,514.76,4666.50,1065.50
93,807.64,356.48,762.26,5014.00,1078.00
94,807.80,358.87,1045.72,5412.50,1100.50
95,807.95,361.25,1372.03,5831.50,1070.00
96,808.11,363.63,1688.06,6289.00,1080.00
97,808.26,366.02,2100.24,6825.00,1042.50
98,808.42,368.40,2562.62,7453.00,1063.00
99,808.57,370.78,3000.61,7976.00,1062.50
100,808.73,373.16,3553.17,8613.50,1058.00
101,808.89,375.55,3803.65,8897.50,1100.50
102,809.04,377.93,3941.64,8994.00,1036.50
103,809.20,380.31,3719.37,8779.00,1058.50
104,809.35,382.68,3302.66,8316.50,1061.00
105,809.51,385.06,2840.91,7791.50,1082.50
106,809.66,387.44,2412.46,7238.50,1057.00
107,809.82,389.82,1936.11,6592.00,1051.50
108,809.98,392.19,1653.55,6176.50,1046.50
109,810.13,394.57,1447.12,5869.50,1071.50
110,810.29,396.95,1288.77,5616.00,1078.00
111,810.44,399.32,1178.63,5420.50,1056.00
112,810.60,401.70,1105.62,5300.00,1048.50
113,810.76,404.07,1068.63,5246.50,1065.00
114,810.91,406.44,1146.47,5331.50,1056.00
115,811.07,408.82,1181.27,5373.00,1059.50
116,811.22,411.19,1296.42,5566.00,1080.50
117,811.38,413.56,1406.27,5713.00,1066.50
118,811.54,415.93,1666.56,6103.50,1072.00
119,811.69,418.30,1908.25,6465.50,1048.50
120,811.85,420.67,2256.78,7087.00,1049.00
121,812.00,423.04,2721.78,8031.50,1082.50
122,812.16,425.41,3440.38,9466.50,1051.00
123,812.32,427.77,4586.23,11809.50,1086.00
124,812.47,430.14,6515.64,15302.50,1083.50
125,812.63,432.51,10107.08,20699.00,1069.00
126,812.79,434.87,16034.78,27900.50,1067.50
127,812.94,437.24,23425.04,35249.50,1077.00
128,813.10,439.60,28784.59,39836.50,1036.00
129,813.26,441.97,28550.92,39759.00,1083.50
130,813.41,444.33,22778.67,34707.00,1065.50
131,813.57,446.69,15542.04,27435.50,1079.00
132,813.72,449.06,9834.22,20366.00,1053.00
133,813.88,451.42,6244.43,14836.50,1033.50
134,814.04,453.78,4360.62,11409.00,1065.50
135,814.19,456.14,3190.24,8965.00,1016.00
136,814.35,458.50,2489.94,7523.00,1039.50
137,814.51,460.86,1997.91,6596.50,1082.50
138,814.66,463.22,1598.37,5823.00,1032.00
139,814.82,465.58,1351.06,5449.00,1091.50
140,814.98,467.93,1135.34,5044.50,1044.50
141,815.13,470.29,978.26,4794.00,1045.50
142,815.29,472.65,864.05,4614.50,1057.00
143,815.45,475.00,823.91,4552.00,1084.00
144,815.60,477.36,834.55,4506.00,1049.00
145,815.76,479.71,854.20,4523.50,1044.50
146,815.92,482.06,868.32,4537.50,1031.00
147,816.07,484.42,984.91,4723.00,1029.50
148,816.23,486.77,1139.88,4996.00,1063.00
149,816.39,489.12,1345.84,5281.50,1035.00
150,816.54,491.47,1644.11,5768.00,1089.00
151,816.70,493.82,2033.93,6277.50,1082.50
152,816.86,496.17,2489.80,6782.50,1036.00
153,817.01,498.52,2873.23,7235.50,1074.00
154,817.17,500.87,3120.34,7467.00,1052.00
155,817.33,503.22,3082.74,7423.50,1065.50
156,817.48,505.57,2760.20,7034.00,1043.50
157,817.64,507.91,2303.03,6519.00,1067.50
158,817.80,510.26,1829.57,5864.50,1031.00
159,817.95,512.60,1447.20,5316.00,1037.00
160,818.11,514.95,1174.40,4902.00,1057.00
161,818.27,517.29,938.40,4507.00,1064.50
162,818.42,519.64,819.34,4293.50,1063.50
163,818.58,521.98,705.95,4114.50,1075.00
164,818.74,524.32,654.06,4013.00,1049.00
165,818.90,526.66,653.06,4002.50,1031.00
166,819.05,529.00,752.30,4205.50,1072.00
167,819.21,531.34,945.37,4460.00,1039.00
168,819.37,533.68,1231.51,4856.50,1051.50
169,819.52,536.02,1632.94,5352.00,1060.50
170,819.68,538.36,2058.34,5808.50,1062.00
171,819.84,540.70,2345.26,6052.00,1030.50
172,819.99,543.04,2338.28,6077.00,1075.00
173,820.15,545.37,2055.17,5772.50,1062.50
174,820.31,547.71,1588.45,5206.00,1054.50
175,820.47,550.04,1232.28,4729.50,1050.00
176,820.62,552.38,920.82,4229.00,1028.50
177,820.78,554.71,691.68,3867.50,1049.50
178,820.94,557.05,506.56,3530.50,1038.50
179,821.10,559.38,382.36,3305.50,1043.00
180,821.25,561.71,289.78,3099.50,1017.00
181,821.41,564.04,230.93,2998.00,1043.50
182,821.57,566.37,186.93,2878.50,1031.50
183,821.72,568.70,170.47,2835.50,1044.00
184,821.88,571.03,142.69,2770.50,1041.00
185,822.04,573.36,75.91,2684.00,1078.00
186,822.20,575.69,78.89,2653.50,1057.00
187,822.35,578.02,29.84,2599.50,1083.50
188,822.51,580.34,7.88,2516.00,1037.00
189,822.67,582.67,0.15,2453.50,1030.00
190,822.83,584.99,0.00,2446.00,1055.00
191,822.98,587.32,0.00,2427.00,1054.00
192,823.14,589.64,0.00,2369.00,1044.00
193,823.30,591.97,0.00,2360.00,1023.00
194,823.46,594.29,0.00,2356.50,1052.00
195,823.61,596.61,0.00,2364.00,1061.50
196,823.77,598.93,0.00,2360.50,1048.00
197,823.93,601.25,0.09,2359.00,1053.00
198,824.09,603.57,8.74,2364.00,1023.50
199,824.24,605.89,59.48,2421.50,1038.00
200,824.40,608.21,88.87,2416.00,1042.50
201,824.56,610.53,97.15,2429.50,1057.00
202,824.72,612.85,71.85,2401.00,1064.00
203,824.87,615.17,68.58,2369.00,1036.00
204,825.03,617.48,23.21,2313.00,1047.50
205,825.19,619.80,12.39,2335.00,1081.50
206,825.35,622.11,0.83,2274.50,1076.00
207,825.50,624.43,3.66,2274.50,1062.50
208,825.66,626.74,12.84,2291.00,1060.00
209,825.82,629.05,71.32,2340.50,1014.00
210,825.98,631.36,173.74,2439.00,1039.00
211,826.14,633.68,240.47,2451.50,1033.00
212,826.29,635.99,260.31,2477.00,1050.00
213,826.45,638.30,154.89,2399.50,1058.50
214,826.61,640.61,50.48,2307.50,1050.50
215,826.77,642.92,3.84,2173.50,1027.50
216,826.92,645.22,0.00,2088.50,1032.50
217,827.08,647.53,0.00,2057.50,1036.00
218,827.24,649.84,0.00,2040.00,1011.50
219,827.40,652.14,0.00,2035.50,1036.00
220,827.56,654.45,0.00,2064.00,1065.50
221,827.71,656.76,0.41,2064.00,1027.00
222,827.87,659.06,8.85,2134.00,1069.00
223,828.03,661.36,29.16,2121.00,1044.00
224,828.19,663.67,81.57,2172.50,1040.00
225,828.34,665.97,109.51,2167.50,1011.50
226,828.50,668.27,108.66,2263.00,1106.00
227,828.66,670.57,105.06,2204.50,1050.00
228,828.82,672.87,104.72,2206.50,1061.00
229,828.98,675.17,117.64,2159.00,1006.50
230,829.13,677.47,89.19,2146.50,1041.00
231,829.29,679.77,55.15,2096.00,1040.00
232,829.45,682.06,37.62,2091.50,1052.00
233,829.61,684.36,6.72,2028.00,1045.50
234,829.77,686.66,1.07,2031.50,1063.50
235,829.92,688.95,0.00,1949.50,1018.00
236,830.08,691.25,0.00,1971.00,1048.50
237,830.24,693.54,0.00,1953.00,1043.00
238,830.40,695.83,0.00,1949.00,1037.00
239,830.56,698.13,0.00,1947.00,1047.50
240,830.72,700.42,0.00,1942.50,1038.00
241,830.87,702.71,0.00,1911.00,1018.00
242,831.03,705.00,0.00,1893.00,993.50
243,831.19,707.29,2.27,1999.50,1066.00
244,831.35,709.58,0.00,1961.00,1043.50
245,831.51,711.87,0.00,2013.50,1082.50
246,831.66,714.15,0.00,1927.50,1000.00
247,831.82,716.44,9.10,1981.50,1023.00
248,831.98,718.73,0.00,1982.00,1047.50
249,832.14,721.01,0.00,1932.50,1009.50
250,832.30,723.30,0.00,1944.50,1022.50
251,832.46,725.58,0.00,1984.50,1049.00
252,832.61,727.87,0.00,2009.00,1080.00
253,832.77,730.15,0.00,1988.00,1037.00
254,832.93,732.43,0.00,1976.50,987.50
255,833.09,734.71,0.00,2076.50,1080.00
256,833.25,736.99,2.41,2102.00,1058.50
257,833.41,739.27,11.51,2116.00,1047.00
258,833.56,741.55,0.00,2092.00,1032.00
259,833.72,743.83,1.73,2125.00,1036.00
260,833.88,746.11,7.26,2143.00,1023.00
261,834.04,748.39,13.92,2183.50,1037.00
262,834.20,750.66,10.20,2189.50,1040.50
263,834.36,752.94,44.67,2286.00,1054.00
264,834.51,755.22,55.05,2299.00,1045.50
265,834.67,757.49,96.06,2379.00,1046.50
266,834.83,759.76,123.24,2442.50,1053.00
267,834.99,762.04,163.47,2518.50,1049.00
268,835.15,764.31,222.61,2636.50,1054.00
269,835.31,766.58,259.16,2687.00,1024.00
270,835.47,768.85,317.67,2816.50,1027.50
271,835.62,771.12,394.08,3007.50,1062.00
272,835.78,773.39,497.46,3174.50,1030.00
273,835.94,775.66,636.78,3460.00,1053.00
274,836.10,777.93,803.61,3761.00,1036.00
275,836.26,780.20,1016.24,4178.00,1045.00
276,836.42,782.46,1305.24,4719.00,1039.00
277,836.57,784.73,1667.05,5375.00,1036.00
278,836.73,787.00,2139.11,6159.00,1027.00
279,836.89,789.26,2807.58,7201.50,1044.50
280,837.05,791.52,3508.05,8150.50,1023.00
281,837.21,793.79,4166.73,9063.50,1050.00
282,837.37,796.05,4560.76,9640.50,1061.00
283,837.53,798.31,4619.74,9817.50,1042.50
284,837.69,800.57,4373.56,9620.50,1034.00
285,837.84,802.83,4094.67,9450.00,1103.00
286,838.00,805.09,3786.46,9023.00,1036.00
287,838.16,807.35,3608.60,8783.50,1027.50
288,838.32,809.61,3587.66,8755.00,1037.00
289,838.48,811.87,3622.54,8761.50,1031.50
290,838.64,814.13,3774.56,9016.50,1072.00
291,838.80,816.38,3951.80,9313.50,1041.00
292,838.95,818.64,4098.97,9742.00,1048.50
293,839.11,820.89,4286.58,10373.50,1036.00
294,839.27,823.15,4675.29,11434.50,1037.00
295,839.43,825.40,5587.41,13327.50,1038.00
296,839.59,827.65,7188.64,16094.50,1060.00
297,839.75,829.90,9837.63,20105.00,1086.00
298,839.91,832.15,13061.76,24567.50,1040.00
299,840.07,834.40,15843.84,28677.00,1079.50
300,840.22,836.65,17422.51,31542.00,1085.50
301,840.38,838.90,18440.16,33629.50,1082.00
302,840.54,841.15,19829.50,35453.00,1034.00
303,840.70,843.40,21708.26,37130.50,1057.00
304,840.86,845.65,22341.56,36978.50,1071.00
305,841.02,847.89,19901.80,33678.00,1053.00
306,841.18,850.14,14940.57,27780.50,1069.50
307,841.34,852.38,9938.92,21223.00,1043.00
308,841.50,854.63,6466.27,15925.50,1121.50
309,841.65,856.87,4550.75,12287.00,1054.00
310,841.81,859.11,3439.01,9806.00,1041.00
311,841.97,861.35,2943.46,8498.00,1029.00
312,842.13,863.60,2616.29,7649.50,1061.50
313,842.29,865.84,2513.80,7271.00,1031.00
314,842.45,868.07,2442.62,7070.00,1030.50
315,842.61,870.31,2476.61,7138.50,1050.00
316,842.77,872.55,2493.67,7176.50,1050.00
317,842.93,874.79,2624.91,7391.00,1062.00
318,843.08,877.03,2851.17,7714.00,1079.50
319,843.24,879.26,3040.59,7861.50,1021.00
320,843.40,881.50,3181.11,8002.00,1019.00
321,843.56,883.73,3158.06,7979.50,1047.50
322,843.72,885.97,2968.45,7774.50,1061.50
323,843.88,888.20,2616.34,7313.50,1024.00
324,844.04,890.43,2284.82,6900.50,1022.00
325,844.20,892.66,2043.83,6601.50,1048.50
326,844.36,894.89,1972.69,6502.50,1031.50
327,844.52,897.12,1938.04,6459.50,1042.50
328,844.67,899.35,2054.84,6668.50,1058.00
329,844.83,901.58,2295.20,7041.00,1031.50
330,844.99,903.81,2578.14,7511.00,1024.50
331,845.15,906.04,2898.14,8060.50,1039.00
332,845.31,908.26,3372.47,8826.50,1055.00
