ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200131-687668-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,ethanol
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,386
Timestamp,2025-02-20 20:01:31.687668
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,943.00,926.00
1,793.43,134.69,NA,949.67,941.67
2,793.58,137.12,NA,957.33,943.67
3,793.73,139.56,NA,943.00,939.33
4,793.89,141.99,NA,949.00,938.67
5,794.04,144.42,NA,953.00,937.67
6,794.19,146.86,NA,958.33,943.00
7,794.35,149.29,NA,939.67,923.33
8,794.50,151.72,NA,961.67,940.33
9,794.65,154.15,NA,953.33,946.33
10,794.81,156.58,NA,957.00,944.33
11,794.96,159.01,NA,964.00,956.00
12,795.12,161.44,NA,947.00,932.33
13,795.27,163.87,NA,966.00,957.67
14,795.42,166.30,NA,951.00,937.00
15,795.58,168.73,NA,959.67,935.33
16,795.73,171.16,NA,955.67,943.67
17,795.88,173.58,NA,954.33,936.33
18,796.04,176.01,NA,965.33,953.67
19,796.19,178.44,NA,968.33,955.00
20,796.35,180.86,NA,966.00,949.67
21,796.50,183.29,NA,956.67,941.00
22,796.65,185.71,NA,988.67,970.00
23,796.81,188.14,NA,976.00,952.00
24,796.96,190.56,NA,968.00,948.33
25,797.11,192.98,NA,977.67,960.67
26,797.27,195.41,NA,978.67,963.33
27,797.42,197.83,NA,975.33,970.00
28,797.58,200.25,NA,983.00,956.33
29,797.73,202.67,NA,964.33,949.33
30,797.88,205.09,NA,963.33,940.33
31,798.04,207.51,NA,967.00,949.33
32,798.19,209.93,NA,971.67,943.00
33,798.35,212.35,NA,974.67,955.00
34,798.50,214.77,NA,969.67,945.67
35,798.66,217.18,NA,984.67,953.67
36,798.81,219.60,NA,969.33,943.00
37,798.96,222.02,NA,997.00,961.00
38,799.12,224.43,NA,993.00,949.67
39,799.27,226.85,NA,1029.00,949.33
40,799.43,229.27,NA,1091.67,959.33
41,799.58,231.68,NA,1212.33,946.00
42,799.74,234.09,NA,1396.67,954.67
43,799.89,236.51,NA,1690.33,981.67
44,800.04,238.92,NA,1917.33,975.00
45,800.20,241.33,NA,2049.33,943.00
46,800.35,243.75,NA,2109.33,957.33
47,800.51,246.16,51.50,2146.00,950.67
48,800.66,248.57,145.42,2164.67,967.67
49,800.82,250.98,173.41,2176.00,972.67
50,800.97,253.39,163.00,2187.33,971.33
51,801.13,255.80,159.14,2187.33,960.67
52,801.28,258.21,156.78,2195.00,971.67
53,801.43,260.61,169.26,2183.33,951.67
54,801.59,263.02,185.01,2211.00,970.00
55,801.74,265.43,192.03,2184.00,943.67
56,801.90,267.83,203.66,2209.33,960.00
57,802.05,270.24,187.63,2188.00,962.67
58,802.21,272.65,195.55,2192.00,961.00
59,802.36,275.05,177.56,2165.00,960.67
60,802.52,277.46,172.95,2160.67,964.00
61,802.67,279.86,148.73,2132.00,971.67
62,802.83,282.26,151.14,2130.00,976.33
63,802.98,284.66,144.57,2101.00,964.67
64,803.14,287.07,122.87,2082.67,976.00
65,803.29,289.47,100.85,2042.33,964.67
66,803.45,291.87,80.88,2019.33,974.33
67,803.60,294.27,84.54,1987.67,948.67
68,803.76,296.67,62.03,1978.33,978.33
69,803.91,299.07,59.93,1932.00,936.33
70,804.07,301.47,30.42,1920.33,961.33
71,804.22,303.87,15.46,1898.00,966.33
72,804.38,306.26,14.93,1878.33,960.00
73,804.53,308.66,21.43,1878.33,964.67
74,804.69,311.06,19.41,1875.67,954.67
75,804.84,313.45,0.00,1820.00,945.67
76,805.00,315.85,0.00,1818.00,951.33
77,805.15,318.24,0.00,1838.33,973.67
78,805.31,320.64,0.00,1817.67,966.33
79,805.46,323.03,0.00,1798.67,954.67
80,805.62,325.42,0.00,1802.67,970.33
81,805.77,327.82,0.00,1772.00,949.00
82,805.93,330.21,0.47,1809.33,967.33
83,806.09,332.60,0.00,1792.67,961.33
84,806.24,334.99,0.00,1767.00,946.33
85,806.40,337.38,0.00,1764.00,936.33
86,806.55,339.77,0.00,1768.33,959.67
87,806.71,342.16,0.00,1777.67,949.00
88,806.86,344.55,0.00,1782.00,967.00
89,807.02,346.94,0.00,1788.00,962.00
90,807.17,349.32,0.00,1774.33,947.67
91,807.33,351.71,0.01,1794.00,965.33
92,807.48,354.10,3.35,1803.00,961.00
93,807.64,356.48,17.97,1820.67,965.33
94,807.80,358.87,9.90,1813.00,973.33
95,807.95,361.25,33.82,1833.33,959.33
96,808.11,363.63,37.37,1839.00,961.33
97,808.26,366.02,42.10,1831.67,951.00
98,808.42,368.40,74.47,1869.00,948.67
99,808.57,370.78,71.49,1874.00,958.00
100,808.73,373.16,74.04,1882.33,957.67
101,808.89,375.55,82.59,1912.67,972.67
102,809.04,377.93,97.84,1909.33,951.00
103,809.20,380.31,124.00,1940.33,952.33
104,809.35,382.68,144.34,1963.67,951.67
105,809.51,385.06,157.82,2000.00,966.33
106,809.66,387.44,166.64,2016.33,965.33
107,809.82,389.82,190.44,2034.00,949.00
108,809.98,392.19,223.08,2072.67,946.33
109,810.13,394.57,254.35,2135.67,968.00
110,810.29,396.95,278.21,2167.67,962.67
111,810.44,399.32,305.88,2205.67,955.33
112,810.60,401.70,350.09,2276.33,958.33
113,810.76,404.07,400.64,2354.67,960.67
114,810.91,406.44,460.15,2442.00,957.67
115,811.07,408.82,546.37,2569.00,953.00
116,811.22,411.19,640.21,2728.33,966.33
117,811.38,413.56,773.27,2924.33,952.00
118,811.54,415.93,914.78,3162.67,967.00
119,811.69,418.30,1147.67,3508.33,957.00
120,811.85,420.67,1400.87,3872.67,952.67
121,812.00,423.04,1728.13,4338.00,972.67
122,812.16,425.41,2145.16,4852.67,956.67
123,812.32,427.77,2520.62,5319.00,970.00
124,812.47,430.14,2786.69,5643.00,959.67
125,812.63,432.51,2894.99,5811.00,961.00
126,812.79,434.87,2874.84,5820.00,954.00
127,812.94,437.24,2740.46,5684.67,966.00
