ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203010-703651-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,hydrocortisone
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,325
Timestamp,2025-02-20 20:30:10.703651
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,962.75,912.25
1,793.43,134.69,NA,961.75,920.25
2,793.58,137.12,NA,969.75,929.00
3,793.73,139.56,NA,962.00,915.25
4,793.89,141.99,NA,969.00,921.00
5,794.04,144.42,NA,966.50,919.25
6,794.19,146.86,NA,969.75,928.00
7,794.35,149.29,NA,962.50,916.00
8,794.50,151.72,NA,982.50,929.75
9,794.65,154.15,NA,970.75,926.75
10,794.81,156.58,NA,981.75,927.00
11,794.96,159.01,NA,985.75,932.25
12,795.12,161.44,NA,974.00,917.00
13,795.27,163.87,NA,987.75,938.50
14,795.42,166.30,NA,972.00,918.75
15,795.58,168.73,NA,975.75,925.50
16,795.73,171.16,NA,982.00,921.25
17,795.88,173.58,NA,983.50,929.00
18,796.04,176.01,NA,989.50,933.00
19,796.19,178.44,NA,995.75,933.25
20,796.35,180.86,NA,998.00,937.25
21,796.50,183.29,NA,990.50,930.25
22,796.65,185.71,NA,1014.00,947.75
23,796.81,188.14,NA,998.00,939.75
24,796.96,190.56,NA,998.00,936.75
25,797.11,192.98,NA,1011.50,940.25
26,797.27,195.41,NA,1011.75,945.00
27,797.42,197.83,NA,1007.50,941.50
28,797.58,200.25,NA,1011.25,941.00
29,797.73,202.67,NA,1007.00,932.50
30,797.88,205.09,NA,1006.75,927.25
31,798.04,207.51,NA,1008.25,928.00
32,798.19,209.93,NA,1020.50,925.00
33,798.35,212.35,NA,1027.50,936.75
34,798.50,214.77,NA,1030.25,929.25
35,798.66,217.18,NA,1045.75,940.50
36,798.81,219.60,NA,1055.50,930.00
37,798.96,222.02,NA,1103.25,944.50
38,799.12,224.43,NA,1178.75,931.25
39,799.27,226.85,NA,1369.75,934.00
40,799.43,229.27,NA,1820.25,948.25
41,799.58,231.68,NA,2723.75,935.25
42,799.74,234.09,NA,4336.25,937.75
43,799.89,236.51,NA,6244.75,970.50
44,800.04,238.92,NA,7749.25,960.50
45,800.20,241.33,NA,8325.00,936.25
46,800.35,243.75,NA,7898.50,938.25
47,800.51,246.16,1639.48,7058.75,930.25
48,800.66,248.57,1223.53,6117.50,949.75
49,800.82,250.98,125.57,5323.25,956.75
50,800.97,253.39,1.33,4829.00,953.75
51,801.13,255.80,0.00,4497.25,948.25
52,801.28,258.21,0.00,4367.50,955.25
53,801.43,260.61,0.00,4216.25,933.75
54,801.59,263.02,0.00,4192.25,953.00
55,801.74,265.43,0.00,4134.00,930.75
56,801.90,267.83,0.00,4168.25,945.50
57,802.05,270.24,0.00,4207.25,940.75
58,802.21,272.65,1.56,4330.25,950.25
59,802.36,275.05,60.23,4515.50,942.50
60,802.52,277.46,255.65,4675.25,951.00
61,802.67,279.86,555.04,4896.25,947.00
62,802.83,282.26,803.60,5096.25,954.50
63,802.98,284.66,959.56,5169.25,943.50
64,803.14,287.07,1008.04,5161.75,958.50
65,803.29,289.47,755.03,4982.00,948.25
66,803.45,291.87,261.61,4675.25,954.50
67,803.60,294.27,20.85,4276.50,939.00
68,803.76,296.67,0.00,4017.25,953.25
69,803.91,299.07,0.00,3811.00,925.50
70,804.07,301.47,0.00,3821.50,946.00
71,804.22,303.87,0.41,3987.75,944.50
72,804.38,306.26,39.44,4255.00,937.25
73,804.53,308.66,261.44,4575.25,949.25
74,804.69,311.06,719.73,5001.50,945.00
75,804.84,313.45,1247.68,5470.50,928.50
76,805.00,315.85,1739.67,5921.50,936.75
77,805.15,318.24,1980.73,6112.25,952.50
78,805.31,320.64,1851.04,5979.50,945.50
79,805.46,323.03,1321.67,5549.75,939.00
80,805.62,325.42,670.14,4992.75,953.00
81,805.77,327.82,224.49,4420.00,933.75
82,805.93,330.21,70.66,4131.00,949.25
83,806.09,332.60,35.13,4002.25,949.75
84,806.24,334.99,88.69,4146.25,931.25
85,806.40,337.38,322.51,4584.25,930.50
86,806.55,339.77,852.81,5221.25,944.00
87,806.71,342.16,1602.02,5931.50,934.50
88,806.86,344.55,2328.13,6648.50,957.25
89,807.02,346.94,2727.12,7069.50,950.75
90,807.17,349.32,2745.57,7180.25,941.00
91,807.33,351.71,2442.88,6988.50,949.00
92,807.48,354.10,2082.54,6682.75,943.00
93,807.64,356.48,1800.84,6410.50,950.75
