ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203823-906037-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,ketoprofen
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,379
Timestamp,2025-02-20 20:38:23.906037
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,970.33,927.33
1,793.43,134.69,NA,975.00,939.67
2,793.58,137.12,NA,985.33,934.67
3,793.73,139.56,NA,977.33,928.67
4,793.89,141.99,NA,977.33,935.00
5,794.04,144.42,NA,981.00,938.00
6,794.19,146.86,NA,990.33,937.33
7,794.35,149.29,NA,969.67,923.00
8,794.50,151.72,NA,997.33,944.33
9,794.65,154.15,NA,975.67,936.67
10,794.81,156.58,NA,992.33,945.67
11,794.96,159.01,NA,999.00,947.33
12,795.12,161.44,NA,989.00,933.00
13,795.27,163.87,NA,991.33,946.33
14,795.42,166.30,NA,985.67,935.33
15,795.58,168.73,NA,994.67,942.33
16,795.73,171.16,NA,989.67,936.00
17,795.88,173.58,NA,998.00,938.00
18,796.04,176.01,NA,998.67,949.67
19,796.19,178.44,NA,1007.67,958.67
20,796.35,180.86,NA,1011.33,943.67
21,796.50,183.29,NA,997.33,938.33
22,796.65,185.71,NA,1023.33,966.33
23,796.81,188.14,NA,1018.33,953.67
24,796.96,190.56,NA,1010.33,945.67
25,797.11,192.98,NA,1019.67,951.67
26,797.27,195.41,NA,1028.67,957.00
27,797.42,197.83,NA,1026.00,956.33
28,797.58,200.25,NA,1033.67,956.33
29,797.73,202.67,NA,1019.33,949.00
30,797.88,205.09,NA,1019.67,940.00
31,798.04,207.51,NA,1016.33,943.67
32,798.19,209.93,NA,1020.33,945.33
33,798.35,212.35,NA,1039.33,947.00
34,798.50,214.77,NA,1032.33,940.33
35,798.66,217.18,NA,1043.67,952.33
36,798.81,219.60,NA,1048.00,943.00
37,798.96,222.02,NA,1091.67,953.33
38,799.12,224.43,NA,1128.33,940.67
39,799.27,226.85,NA,1231.00,958.33
40,799.43,229.27,NA,1493.00,961.33
41,799.58,231.68,NA,1995.33,946.33
42,799.74,234.09,NA,2827.00,951.33
43,799.89,236.51,NA,3814.33,987.00
44,800.04,238.92,NA,4624.33,975.33
45,800.20,241.33,NA,5161.00,942.67
46,800.35,243.75,NA,5369.00,944.33
47,800.51,246.16,135.08,5461.33,945.00
48,800.66,248.57,521.71,5641.67,961.33
49,800.82,250.98,1054.96,6073.67,967.00
50,800.97,253.39,1558.84,6577.67,966.67
51,801.13,255.80,2169.64,7069.67,962.33
52,801.28,258.21,2556.84,7271.67,971.67
53,801.43,260.61,2167.06,6924.33,950.33
54,801.59,263.02,1161.78,6246.00,960.67
55,801.74,265.43,310.34,5450.00,938.33
56,801.90,267.83,30.43,4900.00,952.00
57,802.05,270.24,0.42,4560.67,953.67
58,802.21,272.65,0.00,4440.33,962.67
59,802.36,275.05,0.00,4419.67,954.67
60,802.52,277.46,8.27,4607.67,953.33
61,802.67,279.86,119.36,4888.67,959.33
62,802.83,282.26,521.21,5304.33,974.67
63,802.98,284.66,1126.78,5749.67,958.67
64,803.14,287.07,1597.02,6125.33,977.67
65,803.29,289.47,1714.57,6222.00,958.33
66,803.45,291.87,1505.69,6118.00,974.00
67,803.60,294.27,1120.20,5796.67,947.67
68,803.76,296.67,741.94,5434.00,976.00
69,803.91,299.07,597.43,5204.67,936.00
70,804.07,301.47,604.62,5178.00,963.33
71,804.22,303.87,774.24,5310.33,960.67
72,804.38,306.26,918.26,5398.67,960.67
73,804.53,308.66,1049.38,5500.33,967.33
74,804.69,311.06,1168.38,5583.33,957.00
75,804.84,313.45,1180.38,5539.00,941.33
76,805.00,315.85,1072.19,5390.67,955.33
77,805.15,318.24,932.32,5224.00,971.00
78,805.31,320.64,641.79,4874.00,961.00
79,805.46,323.03,368.60,4577.67,954.00
80,805.62,325.42,130.51,4310.33,966.67
81,805.77,327.82,18.40,4060.67,945.67
82,805.93,330.21,0.90,3965.67,962.67
83,806.09,332.60,0.00,3883.00,967.33
84,806.24,334.99,0.00,3806.00,943.67
85,806.40,337.38,0.00,3747.67,935.33
86,806.55,339.77,0.00,3735.67,955.67
87,806.71,342.16,0.00,3714.67,946.33
88,806.86,344.55,0.00,3748.67,964.00
89,807.02,346.94,0.00,3752.67,964.00
90,807.17,349.32,0.00,3752.00,947.00
91,807.33,351.71,1.16,3822.33,962.67
92,807.48,354.10,27.79,3897.00,954.33
93,807.64,356.48,74.58,3947.67,967.33
94,807.80,358.87,165.75,4072.67,971.33
95,807.95,361.25,301.39,4239.33,967.33
96,808.11,363.63,467.76,4414.00,966.00
97,808.26,366.02,605.40,4523.00,938.67
98,808.42,368.40,659.18,4612.00,958.33
99,808.57,370.78,632.19,4608.67,950.33
100,808.73,373.16,545.53,4540.00,952.00
101,808.89,375.55,500.57,4516.67,965.33
102,809.04,377.93,467.73,4448.67,950.67
103,809.20,380.31,476.40,4427.00,948.33
104,809.35,382.68,491.40,4410.67,945.67
105,809.51,385.06,453.15,4377.33,970.00
106,809.66,387.44,372.26,4280.67,953.67
