ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203859-458903-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,metamizol Mg
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,355
Timestamp,2025-02-20 20:38:59.458903
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,984.33,921.00
1,793.43,134.69,NA,989.33,932.00
2,793.58,137.12,NA,997.33,932.33
3,793.73,139.56,NA,988.67,925.33
4,793.89,141.99,NA,989.00,935.33
5,794.04,144.42,NA,987.33,929.67
6,794.19,146.86,NA,990.33,928.67
7,794.35,149.29,NA,982.33,920.67
8,794.50,151.72,NA,999.33,934.33
9,794.65,154.15,NA,994.67,927.33
10,794.81,156.58,NA,1006.33,939.67
11,794.96,159.01,NA,1002.33,937.00
12,795.12,161.44,NA,994.00,918.00
13,795.27,163.87,NA,1010.00,941.67
14,795.42,166.30,NA,1000.00,929.00
15,795.58,168.73,NA,1004.00,935.67
16,795.73,171.16,NA,1000.67,929.67
17,795.88,173.58,NA,1009.67,934.67
18,796.04,176.01,NA,1021.00,947.00
19,796.19,178.44,NA,1023.00,948.33
20,796.35,180.86,NA,1013.67,946.33
21,796.50,183.29,NA,1017.00,939.33
22,796.65,185.71,NA,1050.33,961.00
23,796.81,188.14,NA,1028.33,940.00
24,796.96,190.56,NA,1028.00,935.67
25,797.11,192.98,NA,1042.33,949.33
26,797.27,195.41,NA,1044.67,953.33
27,797.42,197.83,NA,1043.00,950.00
28,797.58,200.25,NA,1049.33,950.67
29,797.73,202.67,NA,1038.00,943.67
30,797.88,205.09,NA,1035.00,936.33
31,798.04,207.51,NA,1043.33,932.00
32,798.19,209.93,NA,1043.00,937.33
33,798.35,212.35,NA,1060.00,936.33
34,798.50,214.77,NA,1057.00,937.00
35,798.66,217.18,NA,1075.67,947.67
36,798.81,219.60,NA,1084.67,938.67
37,798.96,222.02,NA,1119.67,948.67
38,799.12,224.43,NA,1182.33,943.67
39,799.27,226.85,NA,1289.00,948.67
40,799.43,229.27,NA,1593.33,955.00
41,799.58,231.68,NA,2146.67,943.33
42,799.74,234.09,NA,3163.33,953.67
43,799.89,236.51,NA,4472.33,977.67
44,800.04,238.92,NA,5580.33,971.33
45,800.20,241.33,NA,6400.33,945.00
46,800.35,243.75,NA,6830.33,941.67
47,800.51,246.16,203.04,7133.67,939.33
48,800.66,248.57,913.01,7514.67,963.33
49,800.82,250.98,1620.56,7968.00,969.33
50,800.97,253.39,1992.08,8495.00,963.33
51,801.13,255.80,2339.60,9088.67,959.67
52,801.28,258.21,2814.61,9722.67,963.33
53,801.43,260.61,3434.90,10365.33,945.67
54,801.59,263.02,4148.70,11031.67,962.00
55,801.74,265.43,4663.20,11398.00,943.67
56,801.90,267.83,4716.30,11371.33,950.33
57,802.05,270.24,4180.61,10830.00,960.33
58,802.21,272.65,3335.98,9979.33,960.00
59,802.36,275.05,2385.53,8934.00,956.00
60,802.52,277.46,1628.42,8045.67,958.33
61,802.67,279.86,1014.49,7230.33,954.33
62,802.83,282.26,604.69,6618.00,970.33
63,802.98,284.66,420.95,6284.00,962.67
64,803.14,287.07,322.39,6101.00,969.00
65,803.29,289.47,264.68,5971.33,958.67
66,803.45,291.87,334.28,6067.67,962.67
67,803.60,294.27,535.49,6324.33,949.67
68,803.76,296.67,912.50,6788.33,966.67
69,803.91,299.07,1479.74,7334.33,934.33
70,804.07,301.47,2163.12,7955.33,957.67
71,804.22,303.87,2751.03,8399.00,949.67
72,804.38,306.26,2792.34,8336.33,953.33
73,804.53,308.66,2395.22,7936.67,958.67
74,804.69,311.06,1642.17,7239.00,946.33
75,804.84,313.45,762.71,6387.67,936.33
76,805.00,315.85,197.43,5708.00,950.67
77,805.15,318.24,21.48,5252.00,961.00
78,805.31,320.64,0.32,4948.33,960.67
79,805.46,323.03,0.00,4774.33,952.33
80,805.62,325.42,4.35,4935.67,958.00
81,805.77,327.82,50.71,5032.33,942.33
82,805.93,330.21,306.79,5368.33,960.67
83,806.09,332.60,686.17,5652.33,965.67
84,806.24,334.99,988.31,5906.33,945.00
85,806.40,337.38,1134.32,6127.00,939.00
86,806.55,339.77,1232.99,6354.00,952.67
87,806.71,342.16,1379.27,6570.00,945.00
88,806.86,344.55,1717.10,6959.33,963.33
89,807.02,346.94,2113.78,7258.67,955.67
90,807.17,349.32,2474.15,7456.00,947.67
91,807.33,351.71,2462.95,7341.67,966.00
92,807.48,354.10,1972.17,6834.00,956.33
93,807.64,356.48,1202.92,6066.33,956.33
94,807.80,358.87,571.67,5361.33,962.00
95,807.95,361.25,201.91,4805.67,953.00
96,808.11,363.63,52.47,4433.33,956.33
97,808.26,366.02,13.58,4213.67,947.00
98,808.42,368.40,22.18,4180.00,942.33
99,808.57,370.78,82.01,4231.00,951.67
100,808.73,373.16,218.86,4277.00,953.00
101,808.89,375.55,365.01,4320.33,966.00
102,809.04,377.93,252.20,4201.33,944.33
103,809.20,380.31,74.43,4081.33,942.00
104,809.35,382.68,2.37,3871.33,941.00
105,809.51,385.06,0.00,3720.00,961.33
106,809.66,387.44,0.00,3594.67,953.67
107,809.82,389.82,0.00,3489.00,947.67
108,809.98,392.19,0.00,3541.33,931.00
109,810.13,394.57,0.03,3690.00,953.67
110,810.29,396.95,16.79,3982.33,955.00
111,810.44,399.32,200.67,4431.33,945.33
112,810.60,401.70,789.95,5134.33,955.33
113,810.76,404.07,1664.51,5983.33,948.67
114,810.91,406.44,2409.96,6700.33,948.33
115,811.07,408.82,2927.20,7236.00,947.67
116,811.22,411.19,2932.88,7237.67,950.00
117,811.38,413.56,2591.93,6892.00,952.33
118,811.54,415.93,1859.12,6121.33,957.67
119,811.69,418.30,1077.87,5335.00,949.67
120,811.85,420.67,373.64,4524.33,941.00
121,812.00,423.04,56.38,3961.67,965.33
122,812.16,425.41,1.95,3586.67,936.00
123,812.32,427.77,0.00,3435.00,955.33
124,812.47,430.14,0.00,3351.67,956.67
125,812.63,432.51,0.00,3342.00,952.00
126,812.79,434.87,0.00,3400.00,945.67
127,812.94,437.24,3.10,3545.67,955.00
128,813.10,439.60,68.04,3731.33,939.33
129,813.26,441.97,290.75,3933.67,947.67
130,813.41,444.33,608.02,4163.33,945.00
131,813.57,446.69,641.79,4207.00,950.33
132,813.72,449.06,481.50,4110.33,937.67
133,813.88,451.42,331.31,4008.33,938.00
134,814.04,453.78,258.37,3971.33,948.00
135,814.19,456.14,263.62,4012.33,929.00
136,814.35,458.50,351.41,4232.33,938.33
137,814.51,460.86,567.14,4690.67,954.00
138,814.66,463.22,998.61,5442.33,941.00
139,814.82,465.58,1765.57,6607.00,972.33
140,814.98,467.93,2935.47,7997.00,941.00
141,815.13,470.29,4365.26,9483.33,934.67
142,815.29,472.65,5317.97,10391.33,951.00
143,815.45,475.00,5328.93,10460.00,955.00
144,815.60,477.36,4439.71,9687.00,947.67
145,815.76,479.71,3227.49,8473.00,947.67
146,815.92,482.06,2152.67,7146.67,936.67
147,816.07,484.42,1502.18,6187.33,929.33
148,816.23,486.77,1134.06,5558.67,954.00
149,816.39,489.12,973.33,5200.67,940.33
150,816.54,491.47,922.79,5077.33,961.33
151,816.70,493.82,920.82,5037.33,965.00
152,816.86,496.17,995.61,5079.00,933.00
153,817.01,498.52,1167.98,5290.33,952.00
154,817.17,500.87,1331.43,5451.33,952.33
155,817.33,503.22,1447.05,5581.67,946.33
156,817.48,505.57,1382.68,5531.67,938.67
157,817.64,507.91,1265.53,5467.67,956.33
158,817.80,510.26,1164.60,5363.67,937.00
159,817.95,512.60,1142.99,5340.00,927.33
160,818.11,514.95,1192.13,5414.67,951.33
161,818.27,517.29,1257.55,5457.00,953.67
162,818.42,519.64,1360.63,5534.00,955.00
163,818.58,521.98,1391.52,5511.33,953.67
164,818.74,524.32,1310.48,5366.67,938.67
165,818.90,526.66,1082.77,5071.00,929.33
166,819.05,529.00,787.34,4723.00,956.00
167,819.21,531.34,518.41,4370.33,941.00
168,819.37,533.68,272.22,4067.33,943.67
169,819.52,536.02,96.84,3814.00,949.33
170,819.68,538.36,21.55,3626.67,945.67
171,819.84,540.70,6.59,3552.00,938.67
172,819.99,543.04,9.09,3577.33,951.67
173,820.15,545.37,31.30,3663.00,945.00
174,820.31,547.71,116.40,3901.00,950.67
175,820.47,550.04,356.75,4349.67,949.00
176,820.62,552.38,807.39,4955.67,932.33
177,820.78,554.71,1487.34,5756.67,938.33
178,820.94,557.05,2158.35,6447.00,943.67
179,821.10,559.38,2571.77,6854.33,943.67
180,821.25,561.71,2508.24,6794.67,933.00
181,821.41,564.04,2072.08,6401.00,939.00
182,821.57,566.37,1419.32,5688.33,935.00
183,821.72,568.70,887.82,5043.67,948.33
184,821.88,571.03,586.95,4644.33,944.33
185,822.04,573.36,431.30,4442.33,952.33
186,822.20,575.69,499.21,4699.33,941.33
187,822.35,578.02,797.06,5472.00,964.00
188,822.51,580.34,1604.50,7035.00,944.67
189,822.67,582.67,3323.24,9550.67,940.33
190,822.83,584.99,6033.16,12576.00,946.00
191,822.98,587.32,8723.09,15109.33,951.33
192,823.14,589.64,9576.29,15977.33,950.67
193,823.30,591.97,8143.41,14883.33,936.67
194,823.46,594.29,5845.90,12690.67,950.67
195,823.61,596.61,3968.95,10332.00,950.67
196,823.77,598.93,2932.63,8622.00,943.67
197,823.93,601.25,2418.22,7547.67,952.33
198,824.09,603.57,2048.68,6782.00,935.00
199,824.24,605.89,1643.89,6164.67,936.67
200,824.40,608.21,1343.03,5762.00,937.33
201,824.56,610.53,1355.47,5791.67,947.00
202,824.72,612.85,1795.20,6300.33,958.00
203,824.87,615.17,2621.64,7044.67,941.00
204,825.03,617.48,3256.72,7490.67,945.67
205,825.19,619.80,3008.09,7229.67,962.67
206,825.35,622.11,2104.97,6408.33,952.67
207,825.50,624.43,1225.54,5433.33,952.67
208,825.66,626.74,742.25,4732.00,948.67
209,825.82,629.05,626.28,4524.00,931.00
210,825.98,631.36,726.84,4703.33,937.67
211,826.14,633.68,1072.92,5303.67,939.67
212,826.29,635.99,1710.22,6324.67,950.00
213,826.45,638.30,2791.83,7929.33,946.33
214,826.61,640.61,4013.51,9634.00,949.00
215,826.77,642.92,5259.61,11399.00,940.33
216,826.92,645.22,6337.81,12938.33,940.00
217,827.08,647.53,7322.25,14213.00,946.33
218,827.24,649.84,8097.97,14974.33,933.33
219,827.40,652.14,8226.85,14889.67,939.33
220,827.56,654.45,7270.40,13702.67,952.00
221,827.71,656.76,5349.07,11466.67,937.00
222,827.87,659.06,3353.24,8964.67,947.67
223,828.03,661.36,1904.64,6782.67,942.67
224,828.19,663.67,1077.57,5280.00,944.00
225,828.34,665.97,646.43,4362.67,932.00
226,828.50,668.27,410.20,3861.00,973.67
227,828.66,670.57,313.72,3577.67,943.33
228,828.82,672.87,349.60,3591.00,951.67
229,828.98,675.17,558.22,3813.67,925.33
230,829.13,677.47,942.93,4192.67,938.33
231,829.29,679.77,1282.88,4419.67,941.67
232,829.45,682.06,1289.94,4391.33,946.33
233,829.61,684.36,874.62,4039.33,939.00
234,829.77,686.66,393.34,3589.00,975.33
235,829.92,688.95,114.29,3074.67,928.67
236,830.08,691.25,33.56,2847.67,943.67
237,830.24,693.54,13.40,2724.33,945.00
238,830.40,695.83,13.68,2672.67,939.33
239,830.56,698.13,29.48,2660.00,941.67
240,830.72,700.42,52.62,2665.33,941.00
241,830.87,702.71,9.47,2603.00,931.00
242,831.03,705.00,0.00,2517.00,918.33
243,831.19,707.29,0.00,2500.33,953.33
244,831.35,709.58,0.00,2435.33,935.33
245,831.51,711.87,0.00,2447.33,957.00
246,831.66,714.15,0.00,2426.33,922.67
247,831.82,716.44,0.00,2435.67,930.33
248,831.98,718.73,0.09,2495.00,941.00
249,832.14,721.01,2.25,2489.67,922.00
250,832.30,723.30,23.32,2553.67,932.33
251,832.46,725.58,56.69,2602.33,950.00
252,832.61,727.87,129.21,2707.33,950.67
253,832.77,730.15,170.66,2758.33,941.00
254,832.93,732.43,236.46,2846.67,914.67
255,833.09,734.71,317.11,3023.33,953.33
256,833.25,736.99,415.71,3178.00,944.33
257,833.41,739.27,538.24,3389.33,940.00
258,833.56,741.55,663.80,3642.00,941.33
259,833.72,743.83,810.44,3955.67,937.33
260,833.88,746.11,1069.80,4484.33,934.67
261,834.04,748.39,1470.81,5252.67,932.00
262,834.20,750.66,2041.09,6281.00,936.67
263,834.36,752.94,2865.65,7668.00,956.00
264,834.51,755.22,4037.35,9479.67,950.67
265,834.67,757.49,5322.30,11384.33,947.33
266,834.83,759.76,6537.15,13204.33,945.67
267,834.99,762.04,7559.04,14731.33,951.33
268,835.15,764.31,8557.11,16092.33,949.33
269,835.31,766.58,9239.60,16810.33,935.33
270,835.47,768.85,9360.02,16774.00,931.33
271,835.62,771.12,8524.01,15662.33,950.67
272,835.78,773.39,6884.07,13595.00,945.00
273,835.94,775.66,5076.57,11226.33,950.67
274,836.10,777.93,3513.53,8897.67,938.67
275,836.26,780.20,2444.75,7094.67,940.33
276,836.42,782.46,1752.28,5778.33,935.00
277,836.57,784.73,1281.14,4822.33,929.33
278,836.73,787.00,957.71,4157.67,932.33
279,836.89,789.26,732.04,3694.00,943.67
280,837.05,791.52,603.69,3399.00,929.67
281,837.21,793.79,511.70,3222.00,945.00
282,837.37,796.05,424.20,3067.33,947.00
283,837.53,798.31,383.74,3016.67,940.00
284,837.69,800.57,366.43,3029.33,924.67
285,837.84,802.83,384.73,3180.00,957.67
286,838.00,805.09,531.31,3551.67,935.00
287,838.16,807.35,842.18,4197.67,937.00
288,838.32,809.61,1535.23,5303.67,936.33
289,838.48,811.87,2659.27,6642.67,934.33
290,838.64,814.13,3899.31,7842.00,949.00
291,838.80,816.38,4420.09,8305.67,938.00
292,838.95,818.64,3687.86,7679.33,937.00
293,839.11,820.89,2453.55,6446.67,937.67
294,839.27,823.15,1484.77,5215.67,943.67
295,839.43,825.40,960.35,4352.00,945.00
296,839.59,827.65,730.44,3854.67,941.00
297,839.75,829.90,665.12,3635.67,959.33
298,839.91,832.15,737.92,3591.33,932.33
299,840.07,834.40,930.06,3737.33,950.67
300,840.22,836.65,1152.51,3890.33,960.67
301,840.38,838.90,1181.67,3835.67,954.00
302,840.54,841.15,922.08,3520.33,936.00
303,840.70,843.40,552.31,3129.67,934.67
304,840.86,845.65,221.70,2738.33,944.33
305,841.02,847.89,49.38,2440.67,937.33
306,841.18,850.14,3.65,2250.33,943.33
307,841.34,852.38,0.00,2117.00,937.00
308,841.50,854.63,0.00,2115.00,973.33
309,841.65,856.87,0.00,2056.00,943.67
310,841.81,859.11,0.00,2054.67,941.00
311,841.97,861.35,0.00,2047.67,929.67
312,842.13,863.60,0.00,2087.33,941.00
313,842.29,865.84,0.02,2117.00,933.00
314,842.45,868.07,3.06,2188.33,933.67
315,842.61,870.31,24.36,2290.00,945.33
316,842.77,872.55,103.78,2509.67,946.67
317,842.93,874.79,249.14,2844.67,943.67
318,843.08,877.03,486.08,3367.33,963.33
319,843.24,879.26,972.54,4185.33,929.33
320,843.40,881.50,1798.32,5255.33,924.67
321,843.56,883.73,2839.50,6325.67,945.00
322,843.72,885.97,3422.46,6813.00,947.00
323,843.88,888.20,3061.28,6492.33,928.67
324,844.04,890.43,2062.69,5578.33,930.67
325,844.20,892.66,1086.46,4447.67,951.67
326,844.36,894.89,519.12,3540.33,932.33
327,844.52,897.12,250.36,2968.33,934.67
328,844.67,899.35,148.11,2694.33,945.67
329,844.83,901.58,132.28,2605.33,937.00
330,844.99,903.81,199.23,2702.33,928.00
331,845.15,906.04,367.76,2958.67,934.33
332,845.31,908.26,612.43,3279.67,943.33
333,845.47,910.49,855.42,3576.67,929.33
334,845.63,912.71,972.81,3757.00,942.33
335,845.79,914.94,1055.58,3888.67,947.67
336,845.95,917.16,1109.00,3926.67,943.00
337,846.11,919.38,1076.12,3826.00,933.33
338,846.27,921.61,896.55,3758.67,1081.67
339,846.42,923.83,541.64,3238.33,942.33
340,846.58,926.05,211.65,2827.33,937.33
341,846.74,928.27,46.61,2536.00,943.67
342,846.90,930.49,5.00,2374.67,935.33
343,847.06,932.71,0.06,2285.00,942.33
344,847.22,934.92,0.00,2246.67,941.67
345,847.38,937.14,0.00,2222.00,932.33
346,847.54,939.36,0.00,2224.00,920.67
347,847.70,941.57,0.00,2262.33,943.00
348,847.86,943.79,0.00,2259.67,926.67
349,848.02,946.00,0.00,2303.00,940.33
350,848.18,948.21,0.00,2308.00,924.00
351,848.33,950.43,0.00,2339.00,935.33
352,848.49,952.64,0.00,2348.00,937.33
353,848.65,954.85,0.00,2355.33,927.67
354,848.81,957.06,0.00,2384.67,920.67
355,848.97,959.27,0.01,2444.33,939.67
356,849.13,961.48,5.63,2590.67,950.67
357,849.29,963.69,61.26,2727.67,924.00
358,849.45,965.89,249.34,3000.00,949.33
359,849.61,968.10,442.02,3191.00,939.67
360,849.77,970.31,534.87,3378.33,938.67
361,849.93,972.51,517.02,3513.00,933.00
362,850.09,974.71,537.81,3779.67,941.00
363,850.25,976.92,651.39,4222.67,944.33
364,850.40,979.12,1027.92,5161.33,948.67
365,850.56,981.32,1798.82,6633.33,937.67
366,850.72,983.52,3193.53,8869.67,959.00
367,850.88,985.72,5047.89,11505.33,935.00
368,851.04,987.92,6775.38,14133.67,922.67
369,851.20,990.12,7963.04,16474.00,946.33
370,851.36,992.32,8986.28,18678.33,933.67
371,851.52,994.52,10725.28,21523.33,936.33
372,851.68,996.72,13446.49,24980.33,941.33
373,851.84,998.91,16051.82,27755.00,939.33
374,852.00,1001.11,16651.21,28262.00,932.67
375,852.16,1003.30,14755.69,26172.00,954.67
376,852.32,1005.50,11946.21,22780.00,928.00
377,852.48,1007.69,9580.96,19641.00,952.33
378,852.63,1009.88,7611.82,16826.67,966.67
379,852.79,1012.07,5778.39,14164.00,939.00
380,852.95,1014.26,4300.10,11977.33,944.33
381,853.11,1016.45,3615.66,10806.67,935.33
382,853.27,1018.64,4046.46,11213.67,949.00
383,853.43,1020.83,5540.90,12678.67,928.33
384,853.59,1023.02,7506.04,14323.67,936.33
385,853.75,1025.21,8191.82,14677.00,939.33
386,853.91,1027.39,6808.41,13420.00,930.67
387,854.07,1029.58,4462.95,11114.00,938.33
388,854.23,1031.76,2713.01,8947.00,934.33
389,854.39,1033.95,1931.70,7709.00,923.33
390,854.55,1036.13,1873.92,7495.00,933.67
391,854.71,1038.31,2343.69,8021.00,941.00
392,854.87,1040.49,3258.26,9087.33,931.00
393,855.03,1042.68,4285.40,10342.00,942.33
394,855.18,1044.86,4945.23,11334.33,950.67
395,855.34,1047.04,5098.05,11817.67,940.33
396,855.50,1049.21,5276.80,12250.33,939.33
397,855.66,1051.39,5780.08,12723.33,917.67
398,855.82,1053.57,6487.08,13187.00,945.00
399,855.98,1055.75,6467.79,12835.33,948.67
400,856.14,1057.92,5014.01,11242.67,935.67
401,856.30,1060.10,2864.01,8867.00,922.67
402,856.46,1062.27,1303.12,6750.00,934.67
403,856.62,1064.44,529.55,5241.33,939.00
404,856.78,1066.62,253.23,4451.33,925.67
405,856.94,1068.79,186.44,4166.67,938.00
406,857.10,1070.96,229.56,4123.00,932.00
407,857.26,1073.13,411.74,4277.67,935.00
408,857.42,1075.30,648.57,4438.67,947.00
409,857.58,1077.47,672.22,4433.67,923.33
410,857.74,1079.64,375.41,4286.00,932.00
411,857.90,1081.80,96.78,4009.00,922.67
412,858.06,1083.97,12.55,3791.33,922.67
413,858.21,1086.14,1.29,3723.33,945.00
414,858.37,1088.30,11.45,3836.33,918.00
415,858.53,1090.46,57.54,4058.33,937.00
416,858.69,1092.63,251.11,4496.33,926.00
417,858.85,1094.79,578.44,4972.00,944.33
418,859.01,1096.95,1090.77,5626.00,924.00
419,859.17,1099.11,1702.20,6396.67,945.67
420,859.33,1101.27,2170.96,6936.00,930.67
421,859.49,1103.43,2327.59,7218.67,949.67
422,859.65,1105.59,2138.20,7113.33,936.00
423,859.81,1107.75,1829.94,6841.67,950.33
424,859.97,1109.91,1590.98,6505.67,926.67
425,860.13,1112.06,1499.80,6307.33,922.67
426,860.29,1114.22,1410.50,6090.67,935.33
