ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195424-806915-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,methyl isobutyl ketone
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,760
Timestamp,2025-02-20 19:54:24.806915
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1081.50,1018.00
1,793.43,134.69,NA,1098.50,1036.00
2,793.58,137.12,NA,1103.00,1039.00
3,793.73,139.56,NA,1082.50,1021.00
4,793.89,141.99,NA,1101.50,1036.00
5,794.04,144.42,NA,1100.50,1030.50
6,794.19,146.86,NA,1090.00,1024.50
7,794.35,149.29,NA,1077.00,1010.50
8,794.50,151.72,NA,1125.50,1049.00
9,794.65,154.15,NA,1097.50,1030.00
10,794.81,156.58,NA,1117.00,1055.50
11,794.96,159.01,NA,1117.50,1055.00
12,795.12,161.44,NA,1092.00,1025.50
13,795.27,163.87,NA,1138.50,1058.00
14,795.42,166.30,NA,1103.50,1023.50
15,795.58,168.73,NA,1105.00,1045.00
16,795.73,171.16,NA,1102.50,1027.50
17,795.88,173.58,NA,1112.00,1033.50
18,796.04,176.01,NA,1133.00,1064.00
19,796.19,178.44,NA,1139.50,1058.00
20,796.35,180.86,NA,1131.50,1054.00
21,796.50,183.29,NA,1117.00,1036.00
22,796.65,185.71,NA,1183.00,1091.00
23,796.81,188.14,NA,1143.50,1067.50
24,796.96,190.56,NA,1125.00,1049.50
25,797.11,192.98,NA,1156.50,1071.00
26,797.27,195.41,NA,1173.00,1087.00
27,797.42,197.83,NA,1153.00,1070.50
28,797.58,200.25,NA,1158.50,1081.50
29,797.73,202.67,NA,1142.50,1050.00
30,797.88,205.09,NA,1134.00,1042.50
31,798.04,207.51,NA,1144.00,1046.50
32,798.19,209.93,NA,1143.50,1045.50
33,798.35,212.35,NA,1155.00,1050.00
34,798.50,214.77,NA,1136.50,1046.50
35,798.66,217.18,NA,1156.50,1060.50
36,798.81,219.60,NA,1155.00,1043.50
37,798.96,222.02,NA,1203.00,1077.00
38,799.12,224.43,NA,1197.50,1049.50
39,799.27,226.85,NA,1293.00,1078.50
40,799.43,229.27,NA,1483.00,1087.00
41,799.58,231.68,NA,1821.00,1052.00
42,799.74,234.09,NA,2455.00,1074.00
43,799.89,236.51,NA,3307.50,1129.00
44,800.04,238.92,NA,3959.50,1120.50
45,800.20,241.33,NA,4353.50,1050.00
46,800.35,243.75,NA,4606.00,1057.50
47,800.51,246.16,73.01,4640.50,1045.50
