ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202154-413142-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,polystyrene
Declared Match,
Declared Score,0
Scan Averaging,6
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,182
Timestamp,2025-02-20 20:21:54.413142
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,907.67,884.83
1,793.43,134.69,NA,910.83,888.00
2,793.58,137.12,NA,909.50,890.00
3,793.73,139.56,NA,909.50,881.67
4,793.89,141.99,NA,913.83,890.17
5,794.04,144.42,NA,909.50,888.33
6,794.19,146.86,NA,913.33,888.33
7,794.35,149.29,NA,904.67,881.17
8,794.50,151.72,NA,918.00,888.83
9,794.65,154.15,NA,916.17,887.67
10,794.81,156.58,NA,916.50,893.50
11,794.96,159.01,NA,918.50,894.50
12,795.12,161.44,NA,915.17,886.33
13,795.27,163.87,NA,922.67,894.33
14,795.42,166.30,NA,916.00,885.00
15,795.58,168.73,NA,922.00,893.00
16,795.73,171.16,NA,915.83,885.83
17,795.88,173.58,NA,921.17,889.00
18,796.04,176.01,NA,919.83,894.00
19,796.19,178.44,NA,927.67,892.67
20,796.35,180.86,NA,925.50,895.33
21,796.50,183.29,NA,919.67,888.67
22,796.65,185.71,NA,935.33,902.17
23,796.81,188.14,NA,928.17,892.67
24,796.96,190.56,NA,923.50,894.17
25,797.11,192.98,NA,934.17,899.00
26,797.27,195.41,NA,935.00,899.33
27,797.42,197.83,NA,930.83,898.00
28,797.58,200.25,NA,936.83,895.17
29,797.73,202.67,NA,937.17,891.50
30,797.88,205.09,NA,929.83,892.83
31,798.04,207.51,NA,931.83,891.83
32,798.19,209.93,NA,937.67,888.83
33,798.35,212.35,NA,940.83,895.17
34,798.50,214.77,NA,944.67,892.00
35,798.66,217.18,NA,948.67,896.67
36,798.81,219.60,NA,952.17,890.83
37,798.96,222.02,NA,979.33,899.00
38,799.12,224.43,NA,1018.67,893.17
39,799.27,226.85,NA,1119.67,895.17
40,799.43,229.27,NA,1359.00,896.83
41,799.58,231.68,NA,1839.33,894.83
42,799.74,234.09,NA,2598.17,896.33
43,799.89,236.51,NA,3481.83,914.50
44,800.04,238.92,NA,4148.33,914.50
45,800.20,241.33,NA,4376.17,899.67
46,800.35,243.75,NA,4314.33,898.67
47,800.51,246.16,360.53,4115.67,902.00
48,800.66,248.57,500.27,3903.50,901.50
49,800.82,250.98,242.14,3731.83,913.50
50,800.97,253.39,112.77,3624.83,910.67
51,801.13,255.80,71.24,3544.50,907.00
52,801.28,258.21,49.85,3476.50,906.33
53,801.43,260.61,40.56,3429.17,901.00
54,801.59,263.02,23.53,3386.17,912.67
55,801.74,265.43,33.78,3356.83,897.67
56,801.90,267.83,47.25,3350.83,906.50
57,802.05,270.24,47.74,3320.67,904.50
58,802.21,272.65,54.61,3305.00,906.33
59,802.36,275.05,47.93,3264.50,903.67
