ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201857-894594-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sodium carbonate
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,495
Timestamp,2025-02-20 20:18:57.894594
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1010.67,957.00
1,793.43,134.69,NA,1027.33,961.33
2,793.58,137.12,NA,1031.67,974.00
3,793.73,139.56,NA,1017.67,962.33
4,793.89,141.99,NA,1017.67,961.33
5,794.04,144.42,NA,1026.67,964.00
6,794.19,146.86,NA,1031.00,964.67
7,794.35,149.29,NA,1003.00,947.33
8,794.50,151.72,NA,1044.67,977.67
9,794.65,154.15,NA,1027.00,966.00
10,794.81,156.58,NA,1039.33,976.67
11,794.96,159.01,NA,1051.67,977.33
12,795.12,161.44,NA,1035.67,959.33
13,795.27,163.87,NA,1042.67,988.33
14,795.42,166.30,NA,1024.00,951.67
15,795.58,168.73,NA,1048.00,973.00
16,795.73,171.16,NA,1034.67,964.67
17,795.88,173.58,NA,1041.67,966.67
18,796.04,176.01,NA,1058.33,979.33
19,796.19,178.44,NA,1056.00,986.33
20,796.35,180.86,NA,1061.00,987.33
21,796.50,183.29,NA,1052.67,966.00
22,796.65,185.71,NA,1085.33,999.67
23,796.81,188.14,NA,1068.33,993.67
24,796.96,190.56,NA,1063.33,983.00
25,797.11,192.98,NA,1085.33,982.33
26,797.27,195.41,NA,1080.33,998.67
27,797.42,197.83,NA,1076.00,992.33
28,797.58,200.25,NA,1087.67,999.33
29,797.73,202.67,NA,1077.33,980.00
30,797.88,205.09,NA,1073.33,977.00
31,798.04,207.51,NA,1078.33,977.33
32,798.19,209.93,NA,1074.00,977.67
33,798.35,212.35,NA,1088.67,989.33
34,798.50,214.77,NA,1086.67,968.00
35,798.66,217.18,NA,1107.00,989.33
36,798.81,219.60,NA,1111.67,969.00
37,798.96,222.02,NA,1160.33,989.67
38,799.12,224.43,NA,1177.67,978.67
39,799.27,226.85,NA,1299.33,983.67
40,799.43,229.27,NA,1580.33,996.67
41,799.58,231.68,NA,2121.33,979.67
42,799.74,234.09,NA,3049.67,991.00
43,799.89,236.51,NA,4199.67,1031.67
44,800.04,238.92,NA,5169.67,1019.00
45,800.20,241.33,NA,5747.33,987.33
46,800.35,243.75,NA,6040.33,985.67
47,800.51,246.16,102.25,6183.67,981.67
48,800.66,248.57,355.14,6263.33,1005.00
49,800.82,250.98,424.59,6288.33,1021.67
50,800.97,253.39,364.14,6276.00,1005.67
51,801.13,255.80,292.95,6219.00,1000.67
52,801.28,258.21,335.02,6271.67,1017.00
53,801.43,260.61,293.91,6171.67,986.67
54,801.59,263.02,221.38,6105.00,1006.33
55,801.74,265.43,155.85,6009.33,978.33
56,801.90,267.83,71.22,5939.33,1004.33
57,802.05,270.24,21.47,5868.67,995.00
58,802.21,272.65,2.95,5845.33,1006.33
59,802.36,275.05,0.00,5727.33,997.33
60,802.52,277.46,0.00,5741.67,1008.33
61,802.67,279.86,0.00,5746.67,1002.67
62,802.83,282.26,0.00,5773.33,1019.67
63,802.98,284.66,0.00,5747.33,1010.33
64,803.14,287.07,0.00,5756.67,1025.33
65,803.29,289.47,0.00,5812.67,1002.67
66,803.45,291.87,0.00,5849.00,1015.00
67,803.60,294.27,0.00,5824.33,989.00
68,803.76,296.67,11.39,5911.33,1023.33
69,803.91,299.07,22.01,5865.67,969.67
70,804.07,301.47,26.67,5908.00,998.00
71,804.22,303.87,29.74,5922.00,996.33
72,804.38,306.26,36.98,5954.33,1003.33
73,804.53,308.66,6.70,5945.33,1012.33
74,804.69,311.06,3.95,5940.33,993.00
75,804.84,313.45,0.00,5928.33,990.00
76,805.00,315.85,3.34,5972.33,996.33
77,805.15,318.24,0.00,5982.00,1012.33
78,805.31,320.64,28.51,6035.00,1001.33
79,805.46,323.03,55.98,6047.00,991.00
80,805.62,325.42,69.81,6091.00,1008.00
81,805.77,327.82,24.20,6045.33,988.33
82,805.93,330.21,21.73,6076.00,1003.00
83,806.09,332.60,19.50,6089.00,1012.33
84,806.24,334.99,39.37,6085.67,979.67
85,806.40,337.38,28.76,6080.33,976.33
86,806.55,339.77,14.76,6111.67,1005.00
87,806.71,342.16,8.15,6107.33,985.33
88,806.86,344.55,0.00,6117.00,1010.33
89,807.02,346.94,1.33,6134.00,1008.00
90,807.17,349.32,46.88,6184.33,989.00
91,807.33,351.71,25.76,6177.00,1001.33
92,807.48,354.10,15.35,6188.67,1000.00
93,807.64,356.48,0.00,6172.00,1013.67
94,807.80,358.87,33.35,6258.67,1017.00
95,807.95,361.25,40.14,6237.00,994.67
96,808.11,363.63,45.52,6267.67,1008.33
97,808.26,366.02,33.64,6261.00,992.33
98,808.42,368.40,13.33,6249.33,991.67
99,808.57,370.78,14.22,6270.67,997.33
100,808.73,373.16,24.71,6299.00,993.67
101,808.89,375.55,0.00,6275.67,1013.00
