ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201351-223302-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sucrose
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,1659
Timestamp,2025-02-20 20:13:51.223302
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1378.00,1205.00
1,793.43,134.69,NA,1439.00,1262.00
2,793.58,137.12,NA,1471.00,1285.00
3,793.73,139.56,NA,1427.00,1252.00
4,793.89,141.99,NA,1454.00,1252.00
5,794.04,144.42,NA,1458.00,1252.00
6,794.19,146.86,NA,1429.00,1275.00
7,794.35,149.29,NA,1412.00,1203.00
8,794.50,151.72,NA,1505.00,1294.00
9,794.65,154.15,NA,1469.00,1281.00
10,794.81,156.58,NA,1516.00,1298.00
11,794.96,159.01,NA,1532.00,1290.00
12,795.12,161.44,NA,1461.00,1245.00
13,795.27,163.87,NA,1528.00,1311.00
14,795.42,166.30,NA,1463.00,1232.00
15,795.58,168.73,NA,1484.00,1271.00
16,795.73,171.16,NA,1476.00,1249.00
17,795.88,173.58,NA,1533.00,1256.00
18,796.04,176.01,NA,1551.00,1332.00
19,796.19,178.44,NA,1543.00,1330.00
20,796.35,180.86,NA,1554.00,1304.00
21,796.50,183.29,NA,1501.00,1279.00
22,796.65,185.71,NA,1636.00,1370.00
23,796.81,188.14,NA,1600.00,1330.00
24,796.96,190.56,NA,1545.00,1313.00
25,797.11,192.98,NA,1617.00,1351.00
26,797.27,195.41,NA,1640.00,1344.00
27,797.42,197.83,NA,1626.00,1332.00
28,797.58,200.25,NA,1638.00,1334.00
29,797.73,202.67,NA,1607.00,1308.00
30,797.88,205.09,NA,1549.00,1279.00
31,798.04,207.51,NA,1596.00,1279.00
32,798.19,209.93,NA,1623.00,1289.00
33,798.35,212.35,NA,1638.00,1317.00
34,798.50,214.77,NA,1645.00,1281.00
35,798.66,217.18,NA,1710.00,1342.00
36,798.81,219.60,NA,1718.00,1277.00
37,798.96,222.02,NA,1845.00,1351.00
38,799.12,224.43,NA,1966.00,1300.00
39,799.27,226.85,NA,2367.00,1317.00
40,799.43,229.27,NA,3206.00,1393.00
41,799.58,231.68,NA,4884.00,1298.00
42,799.74,234.09,NA,7734.00,1344.00
43,799.89,236.51,NA,11151.00,1440.00
44,800.04,238.92,NA,13661.00,1448.00
45,800.20,241.33,NA,14889.00,1311.00
46,800.35,243.75,NA,15225.00,1334.00
47,800.51,246.16,86.84,15346.00,1306.00
48,800.66,248.57,308.21,15498.00,1361.00
49,800.82,250.98,619.59,15829.00,1431.00
50,800.97,253.39,973.51,16087.00,1361.00
51,801.13,255.80,1369.21,16400.00,1372.00
52,801.28,258.21,1305.42,16358.00,1397.00
53,801.43,260.61,716.31,15891.00,1323.00
54,801.59,263.02,255.11,15743.00,1395.00
55,801.74,265.43,16.94,15221.00,1296.00
56,801.90,267.83,0.00,15010.00,1368.00
57,802.05,270.24,0.00,14790.00,1374.00
58,802.21,272.65,0.00,15014.00,1374.00
59,802.36,275.05,5.09,15309.00,1363.00
60,802.52,277.46,151.40,15891.00,1387.00
61,802.67,279.86,824.36,16592.00,1387.00
62,802.83,282.26,1776.58,17313.00,1425.00
63,802.98,284.66,2214.19,17710.00,1368.00
64,803.14,287.07,2050.23,17854.00,1408.00
65,803.29,289.47,1837.68,17811.00,1361.00
66,803.45,291.87,1888.66,18016.00,1406.00
67,803.60,294.27,2061.58,18112.00,1321.00
68,803.76,296.67,2220.64,18384.00,1429.00
69,803.91,299.07,2237.90,18293.00,1251.00
70,804.07,301.47,2096.22,18361.00,1376.00
71,804.22,303.87,2125.82,18479.00,1357.00
72,804.38,306.26,2265.10,18661.00,1332.00
73,804.53,308.66,2429.15,18862.00,1370.00
74,804.69,311.06,2701.61,19102.00,1355.00
75,804.84,313.45,2842.91,19147.00,1306.00
76,805.00,315.85,2657.88,18952.00,1355.00
77,805.15,318.24,2291.80,18631.00,1416.00
78,805.31,320.64,1731.66,18052.00,1372.00
79,805.46,323.03,1019.88,17268.00,1317.00
80,805.62,325.42,517.49,16812.00,1416.00
81,805.77,327.82,193.06,16265.00,1319.00
82,805.93,330.21,85.28,16180.00,1376.00
83,806.09,332.60,20.70,16036.00,1410.00
84,806.24,334.99,39.53,16020.00,1315.00
85,806.40,337.38,149.87,16206.00,1277.00
86,806.55,339.77,285.43,16421.00,1359.00
87,806.71,342.16,593.06,16749.00,1334.00
88,806.86,344.55,789.29,17015.00,1395.00
89,807.02,346.94,968.89,17249.00,1380.00
90,807.17,349.32,954.81,17287.00,1327.00
91,807.33,351.71,917.04,17448.00,1378.00
92,807.48,354.10,940.87,17615.00,1359.00
93,807.64,356.48,1116.03,17963.00,1382.00
94,807.80,358.87,1658.09,18693.00,1406.00
95,807.95,361.25,2439.78,19455.00,1372.00
96,808.11,363.63,3116.74,20026.00,1389.00
97,808.26,366.02,3435.99,20218.00,1315.00
98,808.42,368.40,3058.40,19956.00,1332.00
99,808.57,370.78,2139.72,19168.00,1355.00
100,808.73,373.16,1361.53,18361.00,1321.00
101,808.89,375.55,830.72,17795.00,1435.00
102,809.04,377.93,590.97,17275.00,1306.00
103,809.20,380.31,583.00,17249.00,1327.00
104,809.35,382.68,688.63,17427.00,1332.00
105,809.51,385.06,767.39,17704.00,1402.00
106,809.66,387.44,1065.82,18352.00,1382.00
107,809.82,389.82,1706.59,19601.00,1338.00
108,809.98,392.19,2719.83,21311.00,1290.00
109,810.13,394.57,4805.95,24438.00,1389.00
110,810.29,396.95,8003.63,28106.00,1370.00
111,810.44,399.32,11874.68,31831.00,1351.00
112,810.60,401.70,14334.27,33966.00,1330.00
113,810.76,404.07,13911.80,33843.00,1359.00
114,810.91,406.44,11123.70,31692.00,1370.00
115,811.07,408.82,7666.33,28288.00,1347.00
116,811.22,411.19,5321.62,25444.00,1363.00
117,811.38,413.56,4197.67,23567.00,1345.00
118,811.54,415.93,3889.20,22600.00,1376.00
119,811.69,418.30,3870.07,21959.00,1296.00
120,811.85,420.67,3612.12,21446.00,1306.00
121,812.00,423.04,2664.33,20430.00,1382.00
122,812.16,425.41,1940.28,19633.00,1315.00
123,812.32,427.77,1456.84,19174.00,1372.00
124,812.47,430.14,1324.65,19092.00,1364.00
125,812.63,432.51,1512.27,19453.00,1378.00
126,812.79,434.87,2250.77,20440.00,1292.00
127,812.94,437.24,3434.11,21866.00,1353.00
128,813.10,439.60,4982.13,23307.00,1283.00
129,813.26,441.97,6128.53,24326.00,1338.00
130,813.41,444.33,6124.93,24298.00,1317.00
131,813.57,446.69,4825.09,23176.00,1370.00
132,813.72,449.06,3133.80,21368.00,1309.00
133,813.88,451.42,1854.16,19861.00,1308.00
