ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202058-672760-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sunflower oil
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,368
Timestamp,2025-02-20 20:20:58.672760
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1038.67,926.33
1,793.43,134.69,NA,1052.67,933.00
2,793.58,137.12,NA,1051.67,937.00
3,793.73,139.56,NA,1044.33,934.33
4,793.89,141.99,NA,1050.33,935.67
5,794.04,144.42,NA,1055.00,931.67
6,794.19,146.86,NA,1055.67,938.00
7,794.35,149.29,NA,1039.67,922.67
8,794.50,151.72,NA,1065.67,941.67
9,794.65,154.15,NA,1053.67,932.00
10,794.81,156.58,NA,1078.00,946.33
11,794.96,159.01,NA,1069.33,943.00
12,795.12,161.44,NA,1059.33,930.33
13,795.27,163.87,NA,1080.67,942.33
14,795.42,166.30,NA,1072.33,933.00
15,795.58,168.73,NA,1083.00,938.00
16,795.73,171.16,NA,1079.67,932.33
17,795.88,173.58,NA,1089.67,932.00
18,796.04,176.01,NA,1095.67,952.33
19,796.19,178.44,NA,1090.33,947.33
20,796.35,180.86,NA,1099.67,949.33
21,796.50,183.29,NA,1098.67,941.00
22,796.65,185.71,NA,1116.00,964.67
23,796.81,188.14,NA,1106.33,943.67
24,796.96,190.56,NA,1115.33,943.67
25,797.11,192.98,NA,1126.67,951.33
26,797.27,195.41,NA,1141.00,954.00
27,797.42,197.83,NA,1132.33,950.67
28,797.58,200.25,NA,1138.00,953.67
29,797.73,202.67,NA,1140.33,955.33
30,797.88,205.09,NA,1135.33,934.67
31,798.04,207.51,NA,1140.33,942.33
32,798.19,209.93,NA,1159.33,947.67
33,798.35,212.35,NA,1164.00,948.33
34,798.50,214.77,NA,1177.33,938.33
35,798.66,217.18,NA,1208.00,955.00
36,798.81,219.60,NA,1221.33,944.33
37,798.96,222.02,NA,1293.00,955.33
38,799.12,224.43,NA,1415.67,941.67
39,799.27,226.85,NA,1721.33,943.67
40,799.43,229.27,NA,2418.00,962.00
41,799.58,231.68,NA,3867.67,942.67
42,799.74,234.09,NA,6418.00,954.00
43,799.89,236.51,NA,9603.67,983.67
44,800.04,238.92,NA,12378.00,982.33
45,800.20,241.33,NA,14074.00,955.67
46,800.35,243.75,NA,14981.33,949.33
47,800.51,246.16,285.13,15248.00,953.33
48,800.66,248.57,920.09,15367.33,967.33
49,800.82,250.98,1077.65,15403.67,974.00
50,800.97,253.39,858.26,15351.67,974.67
51,801.13,255.80,784.69,15353.00,970.33
52,801.28,258.21,838.71,15412.00,973.00
53,801.43,260.61,803.33,15326.33,954.00
54,801.59,263.02,748.60,15277.67,979.00
55,801.74,265.43,740.63,15211.33,945.67
56,801.90,267.83,770.83,15226.67,962.67
57,802.05,270.24,772.64,15206.33,956.33
58,802.21,272.65,638.13,15054.67,968.33
59,802.36,275.05,621.86,15024.33,963.00
60,802.52,277.46,592.50,14962.00,965.33
61,802.67,279.86,518.58,14836.00,966.33
62,802.83,282.26,535.21,14857.33,978.33
63,802.98,284.66,375.94,14645.33,960.67
64,803.14,287.07,322.06,14591.67,976.33
65,803.29,289.47,266.98,14474.00,964.00
66,803.45,291.87,286.95,14468.00,971.33
67,803.60,294.27,254.47,14388.33,953.33
68,803.76,296.67,171.62,14299.67,983.33
69,803.91,299.07,135.55,14188.33,939.00
70,804.07,301.47,147.61,14215.00,958.67
71,804.22,303.87,44.67,14064.33,961.33
72,804.38,306.26,52.52,14055.67,952.00
73,804.53,308.66,20.60,13991.00,968.00
74,804.69,311.06,62.99,14010.33,957.33
75,804.84,313.45,16.77,13922.67,951.00
76,805.00,315.85,31.72,13932.33,957.00
77,805.15,318.24,13.80,13905.00,975.33
78,805.31,320.64,0.00,13847.00,963.33
79,805.46,323.03,23.32,13859.33,954.67
80,805.62,325.42,0.00,13756.33,971.33
81,805.77,327.82,0.00,13755.33,947.00
82,805.93,330.21,0.00,13755.67,966.33
83,806.09,332.60,0.00,13723.67,977.00
84,806.24,334.99,0.00,13664.67,952.00
85,806.40,337.38,0.00,13672.67,940.33
86,806.55,339.77,0.00,13665.67,960.00
87,806.71,342.16,0.00,13694.00,953.67
88,806.86,344.55,0.00,13679.33,964.67
89,807.02,346.94,0.00,13691.67,971.67
90,807.17,349.32,23.80,13737.33,953.33
91,807.33,351.71,33.54,13714.67,965.33
92,807.48,354.10,60.56,13731.00,960.00
93,807.64,356.48,84.61,13768.67,969.00
94,807.80,358.87,88.40,13770.67,969.00
95,807.95,361.25,109.91,13800.00,967.00
96,808.11,363.63,116.69,13801.33,963.33
97,808.26,366.02,157.36,13826.67,952.67
98,808.42,368.40,261.76,13933.00,953.33
99,808.57,370.78,260.64,13923.33,960.00
100,808.73,373.16,236.02,13894.67,961.67
101,808.89,375.55,254.66,13917.67,969.67
102,809.04,377.93,273.38,13903.67,948.67
103,809.20,380.31,211.07,13814.33,952.67
104,809.35,382.68,196.26,13799.33,957.00
105,809.51,385.06,158.87,13777.67,975.33
106,809.66,387.44,96.10,13671.33,962.67
107,809.82,389.82,104.29,13665.00,955.33
108,809.98,392.19,159.49,13712.67,945.00
109,810.13,394.57,162.12,13710.00,973.00
110,810.29,396.95,228.33,13771.33,970.00
111,810.44,399.32,262.51,13792.00,964.00
112,810.60,401.70,246.63,13754.67,955.00
113,810.76,404.07,234.70,13726.00,953.33
114,810.91,406.44,254.34,13736.00,951.67
115,811.07,408.82,219.51,13693.00,958.67
116,811.22,411.19,165.37,13628.33,966.67
117,811.38,413.56,149.94,13591.00,959.00
118,811.54,415.93,159.70,13583.00,960.67
119,811.69,418.30,167.44,13554.33,952.00
120,811.85,420.67,210.75,13591.33,944.33
121,812.00,423.04,148.34,13522.00,969.33
122,812.16,425.41,187.84,13547.33,946.67
123,812.32,427.77,181.80,13525.00,967.33
