wavenumber,intensity
405.4,262.8600
406.7,166.1100
407.9,157.0400
409.2,229.6600
410.5,432.6400
411.7,678.3700
413.0,1054.0400
414.3,1173.9900
415.5,955.4800
416.8,616.9200
418.0,290.3700
419.3,81.3100
420.6,40.6100
421.8,0.0000
423.1,0.0000
424.3,0.0000
425.6,0.0000
426.9,0.0000
428.1,0.0000
429.4,0.0000
430.6,0.0000
431.9,8.1700
433.1,0.0000
434.4,0.0000
435.7,0.0000
436.9,6.3400
438.2,17.7100
439.4,36.0300
440.7,10.7100
442.0,11.2400
443.2,36.3200
444.5,45.6100
445.7,87.0300
447.0,57.2300
448.2,116.8500
449.5,161.9400
450.8,246.5700
452.0,373.8000
453.3,478.9100
454.5,638.4500
455.8,772.7200
457.0,840.4000
458.3,901.1100
459.5,904.8100
460.8,1105.4800
462.0,1432.7300
463.3,1855.0900
464.6,2463.5000
465.8,2958.8600
467.1,3158.8100
468.3,3146.7400
469.6,2679.7200
470.8,2137.4200
472.1,1632.5100
473.3,1239.4500
474.6,960.5200
475.8,782.4500
477.1,651.1200
478.3,531.1200
479.6,436.6600
480.8,376.3600
482.1,376.1400
483.3,305.4700
484.6,287.3900
485.8,287.8500
487.1,243.2900
488.3,241.9500
489.6,254.1600
490.8,248.5100
492.1,236.7200
493.3,204.0500
494.6,191.0800
495.8,214.9900
497.1,264.6500
498.3,341.2400
499.6,392.6100
500.8,524.7900
502.0,956.8200
503.3,1704.6600
504.5,2866.1800
505.8,3715.2200
507.0,3660.5500
508.3,2665.3500
509.5,1561.5800
510.8,796.2900
512.0,469.9900
513.2,331.6300
514.5,198.3100
515.7,121.7200
517.0,177.1200
518.2,155.9200
519.5,149.3200
520.7,148.2000
522.0,124.0400
523.2,111.4300
524.4,67.3400
525.7,57.8200
526.9,14.4300
528.2,47.4000
529.4,2.3900
530.6,20.3600
531.9,0.0000
533.1,5.5400
534.4,0.0000
535.6,0.0000
536.9,15.4800
538.1,4.4300
539.3,0.0000
540.6,20.2100
541.8,14.9500
543.1,4.9000
544.3,0.0000
545.5,18.3000
546.8,10.5500
548.0,0.0000
549.2,0.0000
550.5,3.3000
551.7,24.0200
553.0,0.0000
554.2,11.6600
555.4,21.6200
556.7,0.0000
557.9,0.0000
559.1,23.5800
560.4,11.9700
561.6,0.3700
562.9,2.4900
564.1,0.0000
565.3,16.0900
566.6,4.3900
567.8,42.5800
569.0,25.5300
570.3,41.7200
571.5,8.0900
572.7,0.0000
574.0,0.0000
575.2,17.5300
576.4,0.0000
577.7,26.5600
578.9,0.0000
580.1,0.0000
581.4,0.0000
582.6,20.1300
583.8,26.4800
585.1,4.5400
586.3,22.3000
587.5,17.6000
588.8,49.0900
590.0,84.6600
591.2,58.4800
592.4,82.2500
593.7,94.8300
594.9,180.1500
596.1,215.5300
597.4,252.6300
598.6,308.4300
599.8,447.3200
601.0,607.7200
602.3,854.5200
603.5,1239.0500
604.7,1670.5200
606.0,1918.7300
607.2,1950.7000
608.4,1717.7300
609.6,1290.2100
610.9,946.4600
612.1,639.7600
613.3,474.8600
614.5,347.3800
615.8,257.2400
617.0,189.2900
618.2,186.4900
619.4,245.2600
620.7,363.7700
621.9,471.1300
623.1,690.9200
624.3,1037.4500
625.6,1486.8000
626.8,2048.0700
628.0,2645.8600
629.2,2930.6000
630.5,2971.5800
631.7,2556.4000
632.9,1934.7500
634.1,1484.6400
635.3,1145.2200
636.6,762.8400
637.8,648.4100
639.0,580.7900
640.2,528.7800
641.4,526.3400
642.7,574.5700
643.9,730.9200
645.1,975.6900
646.3,1324.2900
647.5,1965.0400
648.8,3054.3400
650.0,4976.2200
651.2,7451.2400
652.4,9740.5000
653.6,10753.2400
654.9,9896.9400
656.1,7694.7700
657.3,5335.4200
658.5,3579.0600
659.7,2386.5700
660.9,1572.5100
662.1,1040.9200
663.4,749.7300
664.6,501.6300
665.8,431.8100
667.0,332.3900
668.2,278.1100
669.4,219.8800
670.7,252.8600
671.9,215.7600
673.1,184.3800
674.3,235.7900
675.5,275.7800
676.7,278.2200
677.9,358.5300
679.1,325.1500
680.4,414.4600
681.6,546.8500
682.8,577.0000
684.0,655.9100
685.2,717.1800
686.4,770.4700
687.6,813.5300
688.9,853.1700
690.1,822.0300
691.3,888.7900
692.5,794.9000
693.7,828.2800
694.9,725.4600
696.1,761.1100
697.3,713.1800
698.5,688.9900
699.7,633.2400
700.9,607.4200
702.1,613.2000
703.4,662.9400
704.6,696.8700
705.8,785.4000
707.0,986.4400
708.2,1235.1500
709.4,1703.0300
710.6,2589.9800
711.8,3604.9600
