wavenumber,intensity
405.4,187.2000
406.7,150.9400
407.9,114.1100
409.2,65.7700
410.5,57.3500
411.7,36.7600
413.0,24.5500
414.3,15.5700
415.5,0.0000
416.8,15.6100
418.0,4.1300
419.3,0.0000
420.6,0.0000
421.8,3.3300
423.1,5.3600
424.3,0.0000
425.6,0.0000
426.9,0.0000
428.1,0.0000
429.4,0.0000
430.6,0.0000
431.9,5.1200
433.1,5.7700
434.4,0.0000
435.7,1.8600
436.9,0.0000
438.2,4.7100
439.4,0.0000
440.7,5.6400
442.0,9.2800
443.2,16.0700
444.5,0.0000
445.7,12.0600
447.0,0.0000
448.2,21.6800
449.5,34.5100
450.8,0.0000
452.0,42.4200
453.3,14.3000
454.5,31.3900
455.8,40.3000
457.0,32.2900
458.3,40.5700
459.5,45.7100
460.8,26.4700
462.0,60.9900
463.3,69.8600
464.6,64.3800
465.8,80.7300
467.1,82.7200
468.3,98.4200
469.6,130.2800
470.8,121.6800
472.1,138.5700
473.3,133.0800
474.6,168.5700
475.8,190.3800
477.1,197.2700
478.3,261.1600
479.6,276.6800
480.8,310.1200
482.1,354.0400
483.3,383.0700
484.6,479.3900
485.8,517.5700
487.1,581.0000
488.3,653.5900
489.6,782.7700
490.8,833.6100
492.1,877.6100
493.3,908.6500
494.6,930.4300
495.8,896.3100
497.1,851.1800
498.3,841.0700
499.6,761.1000
500.8,693.4800
502.0,663.9000
503.3,661.2900
504.5,628.1100
505.8,595.5800
507.0,622.3400
508.3,572.7800
509.5,554.9900
510.8,603.6800
512.0,579.8100
513.2,602.8600
514.5,649.6200
515.7,700.5800
517.0,741.1500
518.2,830.2600
519.5,884.6700
520.7,983.9200
522.0,1127.9200
523.2,1272.3500
524.4,1430.5500
525.7,1648.4900
526.9,1851.6500
528.2,2093.8700
529.4,2424.0300
530.6,2687.9800
531.9,2849.6400
533.1,2911.5900
534.4,2766.1300
535.6,2507.5800
536.9,2202.3700
538.1,1888.5000
539.3,1648.3600
540.6,1367.0300
541.8,1173.7300
543.1,986.0600
544.3,864.0100
545.5,754.6900
546.8,635.9100
548.0,560.4000
549.2,526.8700
550.5,447.3200
551.7,384.0100
553.0,345.2800
554.2,329.8800
555.4,278.6900
556.7,260.9600
557.9,231.3400
559.1,215.4500
560.4,179.9300
561.6,167.6700
562.9,151.8500
564.1,131.8900
565.3,132.1700
566.6,106.3000
567.8,105.4100
569.0,95.6100
570.3,75.1600
571.5,77.8400
572.7,71.0400
574.0,57.1500
575.2,52.7500
576.4,39.4800
577.7,42.7700
578.9,32.4800
580.1,43.4600
581.4,21.3800
582.6,22.3300
583.8,16.7900
585.1,4.1900
586.3,7.1400
587.5,1.0200
588.8,4.9700
590.0,3.8700
591.2,15.9000
592.4,5.6100
593.7,1.7800
594.9,0.0000
596.1,6.3300
597.4,3.4600
598.6,5.8700
599.8,9.4500
601.0,6.0100
602.3,4.9100
603.5,7.3300
604.7,0.0000
606.0,0.4400
607.2,0.5100
608.4,0.6100
609.6,0.0000
610.9,0.0000
612.1,0.0000
613.3,3.4400
614.5,5.1600
615.8,0.0000
617.0,12.0800
618.2,7.4000
619.4,0.4000
620.7,5.6100
621.9,10.8100
623.1,6.7200
624.3,14.2400
625.6,15.3800
626.8,7.2500
628.0,9.5500
