wavenumber,intensity
112.8,41.0000
119.6,41.0000
126.4,30.0000
133.2,37.0000
140.0,41.0000
146.8,45.0000
153.6,110.0000
160.4,311.0000
167.1,737.0000
173.8,1174.0000
180.5,1436.0000
187.3,1528.0000
194.0,1483.0000
200.7,1372.0000
207.4,1265.0000
214.2,1128.0000
220.8,1002.0000
227.5,929.0000
234.1,813.0000
240.8,758.0000
247.4,671.0000
254.1,660.0000
260.7,601.0000
267.3,563.0000
273.9,542.0000
280.5,547.0000
287.0,532.0000
293.7,536.0000
300.2,540.0000
306.8,561.0000
313.3,608.0000
319.9,657.0000
326.4,733.0000
332.9,838.0000
339.4,1020.0000
345.9,1293.0000
352.4,1833.0000
358.9,2895.0000
365.3,5386.0000
371.8,9572.0000
378.3,11423.0000
384.7,8118.0000
391.1,4804.0000
397.6,2765.0000
404.0,1773.0000
410.4,1300.0000
416.8,1005.0000
423.2,843.0000
429.6,673.0000
435.9,613.0000
442.3,499.0000
448.6,444.0000
455.0,399.0000
461.3,351.0000
467.6,334.0000
473.9,273.0000
480.2,273.0000
486.6,249.0000
492.8,196.0000
499.1,178.0000
505.3,161.0000
511.6,154.0000
517.8,162.0000
524.1,128.0000
530.3,136.0000
536.5,147.0000
542.7,159.0000
548.9,123.0000
555.1,118.0000
561.3,112.0000
567.5,86.0000
573.7,77.0000
579.8,68.0000
586.0,81.0000
592.1,65.0000
598.2,64.0000
604.3,60.0000
610.5,60.0000
616.6,74.0000
622.6,27.0000
628.7,62.0000
634.8,78.0000
640.9,83.0000
646.9,66.0000
653.0,76.0000
659.0,53.0000
665.0,80.0000
671.0,50.0000
677.1,60.0000
683.1,63.0000
689.1,89.0000
695.0,59.0000
701.0,94.0000
707.0,78.0000
712.9,100.0000
718.8,117.0000
724.8,151.0000
730.7,201.0000
736.7,332.0000
742.6,543.0000
748.5,754.0000
754.3,777.0000
760.2,592.0000
766.1,402.0000
772.0,280.0000
777.8,171.0000
783.7,137.0000
789.5,116.0000
795.3,104.0000
801.2,99.0000
807.0,78.0000
812.8,74.0000
818.6,87.0000
824.4,80.0000
830.1,80.0000
835.9,78.0000
841.7,80.0000
847.4,91.0000
853.2,109.0000
858.9,97.0000
864.6,83.0000
870.3,117.0000
876.0,118.0000
881.7,146.0000
887.4,182.0000
893.1,227.0000
898.8,377.0000
904.4,658.0000
910.0,1449.0000
915.7,7662.0000
921.3,18094.0000
926.9,12243.0000
932.6,4699.0000
938.2,1418.0000
943.8,587.0000
