Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,3.40
1,810.50,401.00,4.94
2,810.57,402.00,0.63
3,810.64,403.00,7.39
4,810.70,404.00,28.88
5,810.77,405.00,17.41
6,810.83,406.00,45.07
7,810.90,407.00,20.97
8,810.96,408.00,30.85
9,811.03,409.00,25.01
10,811.10,410.00,23.10
11,811.16,411.00,10.40
12,811.23,412.00,14.40
13,811.29,413.00,18.32
14,811.36,414.00,12.82
15,811.42,415.00,0.00
16,811.49,416.00,0.86
17,811.56,417.00,10.98
18,811.62,418.00,12.01
19,811.69,419.00,9.79
20,811.75,420.00,33.54
21,811.82,421.00,20.30
22,811.89,422.00,36.08
23,811.95,423.00,11.29
24,812.02,424.00,27.05
25,812.08,425.00,0.86
26,812.15,426.00,9.34
27,812.22,427.00,5.82
28,812.28,428.00,7.03
29,812.35,429.00,0.63
30,812.41,430.00,8.47
31,812.48,431.00,0.65
32,812.55,432.00,8.61
33,812.61,433.00,3.59
34,812.68,434.00,3.26
35,812.74,435.00,10.26
36,812.81,436.00,22.73
37,812.88,437.00,8.40
38,812.94,438.00,15.63
39,813.01,439.00,6.57
40,813.07,440.00,2.70
41,813.14,441.00,2.95
42,813.21,442.00,0.89
43,813.27,443.00,0.00
44,813.34,444.00,0.00
45,813.40,445.00,4.38
46,813.47,446.00,1.07
47,813.54,447.00,0.51
48,813.60,448.00,0.00
49,813.67,449.00,0.30
50,813.74,450.00,0.58
51,813.80,451.00,1.17
52,813.87,452.00,3.04
53,813.93,453.00,7.04
54,814.00,454.00,14.72
55,814.07,455.00,9.56
56,814.13,456.00,8.22
57,814.20,457.00,17.47
58,814.27,458.00,23.12
59,814.33,459.00,6.59
60,814.40,460.00,25.17
61,814.46,461.00,49.11
62,814.53,462.00,21.06
63,814.60,463.00,21.36
64,814.66,464.00,4.93
65,814.73,465.00,12.67
66,814.80,466.00,29.26
67,814.86,467.00,11.28
68,814.93,468.00,25.36
69,815.00,469.00,11.18
70,815.06,470.00,30.08
71,815.13,471.00,9.78
72,815.20,472.00,30.21
73,815.26,473.00,1.93
74,815.33,474.00,22.76
75,815.39,475.00,9.17
76,815.46,476.00,28.12
77,815.53,477.00,19.50
78,815.59,478.00,21.24
79,815.66,479.00,5.90
80,815.73,480.00,8.91
81,815.79,481.00,0.68
82,815.86,482.00,7.98
83,815.93,483.00,6.41
84,815.99,484.00,18.65
85,816.06,485.00,3.01
86,816.13,486.00,26.12
87,816.19,487.00,5.60
88,816.26,488.00,17.07
89,816.33,489.00,5.53
90,816.39,490.00,2.48
91,816.46,491.00,0.00
92,816.53,492.00,1.08
93,816.59,493.00,7.45
94,816.66,494.00,3.02
95,816.73,495.00,0.00
96,816.79,496.00,0.00
97,816.86,497.00,0.16
98,816.93,498.00,0.23
99,816.99,499.00,0.00
100,817.06,500.00,1.70
101,817.13,501.00,1.40
102,817.19,502.00,5.59
103,817.26,503.00,2.03
104,817.33,504.00,0.99
105,817.39,505.00,7.58
106,817.46,506.00,11.15
107,817.53,507.00,0.00
108,817.59,508.00,16.56
109,817.66,509.00,39.11
110,817.73,510.00,21.27
111,817.80,511.00,10.92
112,817.86,512.00,0.00
113,817.93,513.00,23.36
114,818.00,514.00,39.50
115,818.06,515.00,21.47
116,818.13,516.00,24.13
117,818.20,517.00,14.43
118,818.26,518.00,25.70
119,818.33,519.00,5.67
120,818.40,520.00,16.04
121,818.46,521.00,0.39
