Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,39.34
1,810.50,401.00,35.22
2,810.57,402.00,29.45
3,810.64,403.00,64.48
4,810.70,404.00,54.54
5,810.77,405.00,75.91
6,810.83,406.00,58.68
7,810.90,407.00,62.63
8,810.96,408.00,32.06
9,811.03,409.00,36.00
10,811.10,410.00,46.18
11,811.16,411.00,29.75
12,811.23,412.00,36.22
13,811.29,413.00,72.45
14,811.36,414.00,27.13
15,811.42,415.00,30.21
16,811.49,416.00,24.96
17,811.56,417.00,26.11
18,811.62,418.00,34.74
19,811.69,419.00,39.12
20,811.75,420.00,37.72
21,811.82,421.00,65.11
22,811.89,422.00,43.47
23,811.95,423.00,56.89
24,812.02,424.00,34.76
25,812.08,425.00,43.96
26,812.15,426.00,68.93
27,812.22,427.00,36.12
28,812.28,428.00,47.23
29,812.35,429.00,92.76
30,812.41,430.00,34.88
31,812.48,431.00,36.90
32,812.55,432.00,42.60
33,812.61,433.00,22.94
34,812.68,434.00,28.25
35,812.74,435.00,38.77
36,812.81,436.00,30.68
37,812.88,437.00,45.45
38,812.94,438.00,24.11
39,813.01,439.00,40.20
40,813.07,440.00,24.12
41,813.14,441.00,26.43
42,813.21,442.00,36.58
43,813.27,443.00,28.91
44,813.34,444.00,28.09
45,813.40,445.00,67.34
46,813.47,446.00,27.87
47,813.54,447.00,30.08
48,813.60,448.00,31.64
49,813.67,449.00,30.05
50,813.74,450.00,28.64
51,813.80,451.00,51.78
52,813.87,452.00,38.18
53,813.93,453.00,77.97
54,814.00,454.00,56.18
55,814.07,455.00,86.57
56,814.13,456.00,40.83
57,814.20,457.00,39.83
58,814.27,458.00,55.32
59,814.33,459.00,11.06
60,814.40,460.00,24.37
61,814.46,461.00,48.35
62,814.53,462.00,14.26
63,814.60,463.00,10.66
64,814.66,464.00,12.01
65,814.73,465.00,3.42
66,814.80,466.00,6.34
67,814.86,467.00,7.57
68,814.93,468.00,12.05
69,815.00,469.00,24.92
70,815.06,470.00,18.66
71,815.13,471.00,34.85
72,815.20,472.00,27.32
73,815.26,473.00,28.20
74,815.33,474.00,67.24
75,815.39,475.00,47.32
76,815.46,476.00,93.86
77,815.53,477.00,116.60
78,815.59,478.00,61.46
79,815.66,479.00,57.43
80,815.73,480.00,68.19
81,815.79,481.00,67.66
82,815.86,482.00,49.07
83,815.93,483.00,57.10
84,815.99,484.00,43.97
85,816.06,485.00,38.25
86,816.13,486.00,32.76
87,816.19,487.00,33.17
88,816.26,488.00,31.70
89,816.33,489.00,35.88
90,816.39,490.00,60.60
91,816.46,491.00,59.69
92,816.53,492.00,73.77
93,816.59,493.00,90.81
94,816.66,494.00,81.55
95,816.73,495.00,31.89
96,816.79,496.00,82.65
97,816.86,497.00,120.09
98,816.93,498.00,94.30
99,816.99,499.00,78.64
100,817.06,500.00,54.68
101,817.13,501.00,82.05
102,817.19,502.00,68.27
103,817.26,503.00,76.08
104,817.33,504.00,58.74
105,817.39,505.00,78.49
106,817.46,506.00,102.96
107,817.53,507.00,92.49
108,817.59,508.00,117.76
109,817.66,509.00,127.60
110,817.73,510.00,182.54
111,817.80,511.00,59.14
112,817.86,512.00,157.43
113,817.93,513.00,211.38
114,818.00,514.00,160.70
115,818.06,515.00,167.53
