Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,337.21
1,810.50,401.00,331.96
2,810.57,402.00,265.50
3,810.64,403.00,320.65
4,810.70,404.00,226.85
5,810.77,405.00,239.08
6,810.83,406.00,179.48
7,810.90,407.00,194.06
8,810.96,408.00,138.32
9,811.03,409.00,89.81
10,811.10,410.00,80.69
11,811.16,411.00,154.29
12,811.23,412.00,114.42
13,811.29,413.00,43.85
14,811.36,414.00,118.36
15,811.42,415.00,137.00
16,811.49,416.00,138.66
17,811.56,417.00,124.22
18,811.62,418.00,153.93
19,811.69,419.00,151.67
20,811.75,420.00,135.49
21,811.82,421.00,178.99
22,811.89,422.00,226.87
23,811.95,423.00,179.38
24,812.02,424.00,236.12
25,812.08,425.00,262.62
26,812.15,426.00,258.93
27,812.22,427.00,240.66
28,812.28,428.00,259.51
29,812.35,429.00,281.73
30,812.41,430.00,321.72
31,812.48,431.00,316.18
32,812.55,432.00,328.57
33,812.61,433.00,292.68
34,812.68,434.00,337.35
35,812.74,435.00,353.85
36,812.81,436.00,414.77
37,812.88,437.00,443.52
38,812.94,438.00,463.57
39,813.01,439.00,566.85
40,813.07,440.00,599.02
41,813.14,441.00,704.19
42,813.21,442.00,806.35
43,813.27,443.00,932.32
44,813.34,444.00,1109.10
45,813.40,445.00,1322.35
46,813.47,446.00,1608.40
47,813.54,447.00,2050.48
48,813.60,448.00,2412.48
49,813.67,449.00,3013.25
50,813.74,450.00,3574.26
51,813.80,451.00,4381.80
52,813.87,452.00,5208.64
53,813.93,453.00,6073.56
54,814.00,454.00,7051.22
55,814.07,455.00,8074.95
56,814.13,456.00,9206.95
57,814.20,457.00,10093.93
58,814.27,458.00,10920.98
59,814.33,459.00,10904.05
60,814.40,460.00,11305.37
61,814.46,461.00,10515.87
62,814.53,462.00,10173.91
63,814.60,463.00,8933.71
64,814.66,464.00,7917.69
65,814.73,465.00,6602.02
66,814.80,466.00,5461.90
67,814.86,467.00,4332.47
68,814.93,468.00,3270.40
69,815.00,469.00,2468.52
70,815.06,470.00,1788.46
71,815.13,471.00,1298.74
72,815.20,472.00,1002.66
73,815.26,473.00,744.84
74,815.33,474.00,563.23
75,815.39,475.00,439.19
76,815.46,476.00,348.04
77,815.53,477.00,305.65
78,815.59,478.00,261.72
79,815.66,479.00,248.89
80,815.73,480.00,224.37
81,815.79,481.00,220.85
82,815.86,482.00,202.56
83,815.93,483.00,271.72
84,815.99,484.00,246.95
85,816.06,485.00,268.17
86,816.13,486.00,292.47
87,816.19,487.00,358.23
88,816.26,488.00,325.08
89,816.33,489.00,362.03
90,816.39,490.00,348.72
91,816.46,491.00,415.84
92,816.53,492.00,249.37
93,816.59,493.00,239.61
94,816.66,494.00,249.52
95,816.73,495.00,232.38
96,816.79,496.00,205.78
97,816.86,497.00,174.49
98,816.93,498.00,197.25
99,816.99,499.00,158.12
100,817.06,500.00,120.85
101,817.13,501.00,78.56
102,817.19,502.00,89.85
103,817.26,503.00,121.13
104,817.33,504.00,152.13
105,817.39,505.00,112.17
106,817.46,506.00,168.92
107,817.53,507.00,217.02
108,817.59,508.00,206.42
109,817.66,509.00,156.64
110,817.73,510.00,209.49
111,817.80,511.00,209.17
112,817.86,512.00,237.83
113,817.93,513.00,230.92
114,818.00,514.00,202.06
115,818.06,515.00,202.93
116,818.13,516.00,204.29
117,818.20,517.00,218.33
118,818.26,518.00,268.88
119,818.33,519.00,262.66
120,818.40,520.00,301.77
121,818.46,521.00,280.72
122,818.53,522.00,281.27
123,818.60,523.00,283.94
124,818.67,524.00,342.34
125,818.73,525.00,359.17
126,818.80,526.00,372.08
127,818.87,527.00,409.16
128,818.93,528.00,437.06
129,819.00,529.00,469.50
130,819.07,530.00,459.93
131,819.14,531.00,512.34
132,819.20,532.00,594.76
133,819.27,533.00,681.28
134,819.34,534.00,774.16
135,819.40,535.00,961.77
136,819.47,536.00,1117.69
