wavenumber,intensity
405.4,26.5200
406.7,0.4200
407.9,1.4200
409.2,37.2100
410.5,27.3300
411.7,31.5900
413.0,42.9000
414.3,17.6600
415.5,37.3000
416.8,21.0600
418.0,41.3200
419.3,28.3100
420.6,29.3700
421.8,11.9100
423.1,14.9000
424.3,35.1100
425.6,40.0000
426.9,37.2400
428.1,20.4800
429.4,41.2700
430.6,53.1400
431.9,35.1500
433.1,47.0100
434.4,50.6100
435.7,25.0600
436.9,36.2800
438.2,53.8100
439.4,59.3100
440.7,42.6800
442.0,70.9100
443.2,48.6200
444.5,48.4400
445.7,48.2600
447.0,34.8500
448.2,54.8300
449.5,59.6800
450.8,63.2700
452.0,54.3000
453.3,62.9200
454.5,53.3300
455.8,67.5900
457.0,68.0400
458.3,54.7200
459.5,60.8200
460.8,62.5300
462.0,58.0000
463.3,78.4500
464.6,75.1700
465.8,61.9100
467.1,51.1700
468.3,67.8400
469.6,51.5100
470.8,47.6400
472.1,77.9700
473.3,60.4300
474.6,70.2300
475.8,63.8800
477.1,61.8900
478.3,72.3000
479.6,80.8300
480.8,76.3600
482.1,87.3600
483.3,77.3400
484.6,67.3300
485.8,90.0500
487.1,91.7700
488.3,95.3400
489.6,100.1400
490.8,86.4700
492.1,108.5000
493.3,86.8400
494.6,68.9100
495.8,83.5500
497.1,72.3900
498.3,89.4700
499.6,78.3300
500.8,64.1400
502.0,48.1300
503.3,49.8900
504.5,55.9300
505.8,60.1300
507.0,46.6200
508.3,36.7900
509.5,41.6100
510.8,18.3900
512.0,25.0500
513.2,33.5300
514.5,23.7500
515.7,33.4400
517.0,19.4200
518.2,21.2100
519.5,24.2100
520.7,9.0100
522.0,21.1200
523.2,7.1600
524.4,14.4100
525.7,0.0000
526.9,11.2900
528.2,17.2500
529.4,2.6700
530.6,13.0000
531.9,0.0000
533.1,13.5600
534.4,12.2500
535.6,5.5300
536.9,7.2400
538.1,24.6000
539.3,0.0000
540.6,5.0700
541.8,0.0800
543.1,0.0000
544.3,4.2200
545.5,6.7300
546.8,2.0500
548.0,25.5300
549.2,7.6700
550.5,1.8000
551.7,27.6400
553.0,14.6000
554.2,30.2400
555.4,5.8700
