Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,1524.58
1,810.50,401.00,1699.48
2,810.57,402.00,1701.68
3,810.64,403.00,1807.62
4,810.70,404.00,1856.74
5,810.77,405.00,1878.77
6,810.83,406.00,1890.17
7,810.90,407.00,1973.22
8,810.96,408.00,1815.25
9,811.03,409.00,1749.75
10,811.10,410.00,1737.40
11,811.16,411.00,1575.71
12,811.23,412.00,1507.55
13,811.29,413.00,1346.26
14,811.36,414.00,1319.23
15,811.42,415.00,1323.86
16,811.49,416.00,1134.13
17,811.56,417.00,1121.92
18,811.62,418.00,1030.32
19,811.69,419.00,1052.43
20,811.75,420.00,989.67
21,811.82,421.00,977.03
22,811.89,422.00,924.91
23,811.95,423.00,969.09
24,812.02,424.00,922.62
25,812.08,425.00,999.36
26,812.15,426.00,1092.00
27,812.22,427.00,1175.99
28,812.28,428.00,1132.16
29,812.35,429.00,1286.38
30,812.41,430.00,1206.42
31,812.48,431.00,1355.93
32,812.55,432.00,1379.20
33,812.61,433.00,1355.09
34,812.68,434.00,1469.32
35,812.74,435.00,1570.06
36,812.81,436.00,1395.88
37,812.88,437.00,1522.12
38,812.94,438.00,1400.58
39,813.01,439.00,1422.64
40,813.07,440.00,1379.21
41,813.14,441.00,1311.85
42,813.21,442.00,1319.54
43,813.27,443.00,1268.65
44,813.34,444.00,1092.28
45,813.40,445.00,1111.47
46,813.47,446.00,1102.49
47,813.54,447.00,1044.13
48,813.60,448.00,1016.59
49,813.67,449.00,960.12
50,813.74,450.00,1031.87
51,813.80,451.00,1052.22
52,813.87,452.00,939.10
53,813.93,453.00,1008.05
54,814.00,454.00,1080.48
55,814.07,455.00,1074.40
56,814.13,456.00,1116.28
57,814.20,457.00,1136.96
58,814.27,458.00,1234.03
59,814.33,459.00,1245.11
60,814.40,460.00,1199.67
61,814.46,461.00,1274.61
62,814.53,462.00,1387.25
63,814.60,463.00,1405.57
64,814.66,464.00,1370.16
65,814.73,465.00,1394.50
66,814.80,466.00,1280.42
67,814.86,467.00,1301.78
68,814.93,468.00,1205.14
69,815.00,469.00,1030.23
70,815.06,470.00,1236.27
71,815.13,471.00,1028.01
72,815.20,472.00,958.61
73,815.26,473.00,929.19
74,815.33,474.00,858.93
75,815.39,475.00,839.09
76,815.46,476.00,745.68
77,815.53,477.00,636.29
78,815.59,478.00,733.51
79,815.66,479.00,595.08
80,815.73,480.00,495.52
81,815.79,481.00,450.85
82,815.86,482.00,430.21
83,815.93,483.00,401.47
84,815.99,484.00,333.90
85,816.06,485.00,317.47
86,816.13,486.00,351.00
87,816.19,487.00,371.26
88,816.26,488.00,346.40
89,816.33,489.00,377.96
90,816.39,490.00,388.26
91,816.46,491.00,411.25
92,816.53,492.00,469.51
93,816.59,493.00,492.45
94,816.66,494.00,540.70
95,816.73,495.00,637.32
96,816.79,496.00,669.70
97,816.86,497.00,728.97
98,816.93,498.00,770.16
