wavenumber,intensity
23.9,1773.8050
27.2,1841.9590
30.5,1890.0060
33.8,1727.7310
37.1,1196.4950
40.4,2366.0780
43.7,1921.0650
46.9,1682.4460
50.2,1710.6170
53.5,1714.4700
56.7,1608.6430
60.0,1714.2440
63.3,1669.2310
66.5,1787.5930
69.8,1407.0960
73.0,1630.9580
76.3,1742.4370
79.5,1871.3470
82.8,2024.6950
86.0,2150.5690
89.3,2015.9920
92.5,2026.0790
95.7,1914.7310
99.0,1916.8700
102.2,1801.8770
105.4,1659.6750
108.6,1587.9210
111.8,1583.7000
115.1,1598.6270
118.3,1590.4780
121.5,1411.4530
124.7,1510.0140
127.9,1529.8450
131.1,1553.8120
134.3,1441.6010
137.5,1552.4960
140.7,1555.3870
143.8,1423.6370
147.0,1423.1570
150.2,1419.0020
153.4,1357.2990
156.6,1320.3620
159.7,1475.1370
162.9,1344.2180
166.1,1413.2020
169.2,1352.0090
172.4,1343.0240
175.5,1391.8020
178.7,1371.1910
181.8,1318.1170
185.0,1374.7080
188.1,1415.2240
191.3,1235.8690
194.4,1491.5880
197.5,1274.8150
200.7,1164.4950
203.8,1394.9680
206.9,1257.3640
210.0,1510.1090
213.2,1375.1230
216.3,1389.9530
219.4,1401.8170
222.5,1205.1850
225.6,1284.8580
228.7,1404.9100
231.8,1318.4900
234.9,1318.4270
238.0,1326.6470
241.1,1315.7650
244.2,1295.4200
247.3,1292.7810
250.3,1280.3590
253.4,1239.8910
256.5,1287.0790
259.6,1143.0910
262.7,1248.4700
265.7,1203.5880
268.8,1246.6730
271.8,1241.5180
274.9,1256.4010
278.0,1257.0290
281.0,1170.1450
284.1,1163.9280
287.1,1164.2370
290.2,1223.9380
293.2,1221.7360
296.2,1156.6480
299.3,1234.8720
302.3,1143.5980
305.3,1199.2000
308.4,1191.0110
311.4,1168.1690
314.4,1214.5500
317.4,1185.1920
320.4,1116.8020
323.5,1178.6250
326.5,1200.4310
329.5,1116.7600
332.5,1231.5220
335.5,1128.9000
338.5,1190.9270
341.5,1230.9580
344.5,1146.2910
