wavenumber,intensity
405.4,81.9300
406.7,124.6900
407.9,157.1000
409.2,234.4900
410.5,198.0400
411.7,259.2400
413.0,287.0000
414.3,358.3400
415.5,395.6100
416.8,489.1900
418.0,577.5300
419.3,634.4100
420.6,716.7900
421.8,822.0400
423.1,969.9000
424.3,1130.3200
425.6,1267.5800
426.9,1425.6800
428.1,1613.4700
429.4,1773.6600
430.6,1969.2300
431.9,2076.9100
433.1,2152.7100
434.4,2168.8200
435.7,2153.8500
436.9,2183.8800
438.2,2120.2200
439.4,1979.4900
440.7,1935.0200
442.0,1854.6300
443.2,1706.8100
444.5,1592.0000
445.7,1537.2300
447.0,1430.9000
448.2,1360.5900
449.5,1227.4800
450.8,1129.7500
452.0,1042.2200
453.3,949.7800
454.5,900.1300
455.8,849.9300
457.0,776.0000
458.3,740.9900
459.5,682.8700
460.8,631.1000
462.0,566.2800
463.3,534.0200
464.6,482.4600
465.8,429.1100
467.1,418.8300
468.3,400.4800
469.6,365.9700
470.8,347.0700
472.1,328.8200
473.3,271.4600
474.6,295.5100
475.8,260.5900
477.1,244.3300
478.3,251.6300
479.6,230.4500
480.8,225.3900
482.1,248.7900
483.3,202.3300
484.6,204.1100
485.8,213.3100
487.1,225.5800
488.3,219.3400
489.6,206.9600
490.8,212.4500
492.1,188.4100
493.3,197.0000
494.6,190.8300
495.8,155.8100
497.1,165.0300
498.3,161.9800
499.6,139.3200
500.8,122.2100
502.0,125.9400
503.3,105.2000
504.5,127.9000
505.8,76.0300
507.0,63.9200
508.3,71.9800
509.5,57.4600
510.8,76.4900
512.0,58.9500
513.2,51.7900
514.5,34.9100
515.7,21.7000
517.0,24.3100
518.2,5.6700
519.5,11.6200
520.7,16.9700
522.0,21.7000
523.2,0.0000
524.4,21.3800
525.7,0.0000
526.9,7.8300
528.2,16.8800
529.4,0.0000
530.6,6.8600
531.9,0.0000
533.1,17.6100
534.4,0.0000
535.6,4.7500
536.9,9.7600
538.1,0.0000
539.3,11.7100
540.6,24.9000
541.8,0.0000
543.1,13.2200
544.3,0.0000
545.5,0.0000
546.8,0.0000
548.0,4.3700
549.2,0.0000
550.5,25.3600
551.7,10.5100
553.0,0.0000
554.2,0.0000
555.4,1.0800
556.7,0.0000
557.9,8.5800
559.1,9.6000
560.4,0.0000
561.6,0.0000
562.9,0.7600
564.1,10.7000
565.3,6.3600
566.6,11.5400
567.8,4.8400
569.0,0.0000
570.3,0.0000
571.5,1.4600
572.7,0.0000
574.0,9.9500
575.2,0.0000
576.4,0.0000
577.7,13.5700
578.9,11.1500
580.1,0.0000
581.4,6.2300
582.6,5.5000
583.8,25.9900
585.1,9.9300
586.3,0.0000
587.5,11.4100
588.8,0.0000
590.0,14.5200
591.2,10.1400
592.4,18.1000
593.7,22.5400
594.9,2.9100
596.1,28.4600
597.4,17.6400
598.6,9.1800
599.8,30.5900
601.0,39.6900
602.3,28.8900
603.5,28.6200
604.7,39.4700
606.0,28.1000
607.2,29.0100
608.4,27.5900
609.6,38.9900
610.9,32.3200
612.1,30.9000
613.3,32.9700
614.5,46.1000
615.8,12.1000
617.0,26.3900
618.2,23.2400
619.4,18.3500
620.7,33.7800
621.9,34.1100
623.1,25.7400
624.3,13.3200
625.6,10.1900
626.8,16.9000
628.0,12.6100
629.2,11.8000
630.5,16.1900
631.7,12.4900
632.9,16.8800
634.1,0.0000
