Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,4009.78
1,810.50,401.00,3583.01
2,810.57,402.00,3253.70
3,810.64,403.00,2967.10
4,810.70,404.00,2764.73
5,810.77,405.00,2211.60
6,810.83,406.00,1849.02
7,810.90,407.00,1571.83
8,810.96,408.00,1159.24
9,811.03,409.00,905.27
10,811.10,410.00,764.39
11,811.16,411.00,536.90
12,811.23,412.00,463.01
13,811.29,413.00,413.84
14,811.36,414.00,412.21
15,811.42,415.00,353.77
16,811.49,416.00,357.64
17,811.56,417.00,365.43
18,811.62,418.00,393.20
19,811.69,419.00,443.94
20,811.75,420.00,484.91
21,811.82,421.00,719.42
22,811.89,422.00,704.80
23,811.95,423.00,985.85
24,812.02,424.00,881.25
25,812.08,425.00,949.47
26,812.15,426.00,949.80
27,812.22,427.00,828.27
28,812.28,428.00,844.11
29,812.35,429.00,735.04
30,812.41,430.00,604.18
31,812.48,431.00,512.85
32,812.55,432.00,445.60
33,812.61,433.00,425.50
34,812.68,434.00,365.60
35,812.74,435.00,368.46
36,812.81,436.00,357.03
37,812.88,437.00,426.40
38,812.94,438.00,404.32
39,813.01,439.00,502.04
40,813.07,440.00,552.01
41,813.14,441.00,728.58
42,813.21,442.00,865.70
43,813.27,443.00,1024.02
44,813.34,444.00,1294.88
45,813.40,445.00,1611.06
46,813.47,446.00,1883.20
47,813.54,447.00,2164.79
48,813.60,448.00,2429.93
49,813.67,449.00,2877.53
50,813.74,450.00,2850.13
51,813.80,451.00,3006.46
52,813.87,452.00,3138.27
53,813.93,453.00,3168.12
54,814.00,454.00,3224.66
55,814.07,455.00,3322.84
56,814.13,456.00,3436.41
57,814.20,457.00,3496.87
58,814.27,458.00,3701.92
59,814.33,459.00,3883.66
60,814.40,460.00,4048.31
61,814.46,461.00,4377.45
62,814.53,462.00,4844.29
63,814.60,463.00,5294.05
64,814.66,464.00,5683.98
65,814.73,465.00,6510.99
66,814.80,466.00,6965.78
67,814.86,467.00,7768.93
68,814.93,468.00,8429.07
69,815.00,469.00,9129.79
70,815.06,470.00,9842.83
71,815.13,471.00,10514.23
72,815.20,472.00,10961.70
73,815.26,473.00,11309.80
74,815.33,474.00,11347.35
75,815.39,475.00,11308.74
76,815.46,476.00,11464.60
77,815.53,477.00,11137.76
78,815.59,478.00,10355.92
79,815.66,479.00,9609.22
80,815.73,480.00,8801.36
81,815.79,481.00,8072.31
82,815.86,482.00,7254.20
83,815.93,483.00,6331.15
84,815.99,484.00,5829.04
85,816.06,485.00,4967.34
86,816.13,486.00,4386.73
87,816.19,487.00,3855.73
88,816.26,488.00,3309.75
89,816.33,489.00,2934.38
90,816.39,490.00,2460.03
91,816.46,491.00,2143.24
92,816.53,492.00,1795.55
93,816.59,493.00,1622.30
94,816.66,494.00,1363.61
95,816.73,495.00,1264.70
96,816.79,496.00,1062.64
97,816.86,497.00,1034.62
98,816.93,498.00,912.80
99,816.99,499.00,813.30
100,817.06,500.00,850.64
101,817.13,501.00,852.23
102,817.19,502.00,1007.47
103,817.26,503.00,971.08
104,817.33,504.00,997.10
105,817.39,505.00,1081.66
106,817.46,506.00,1008.34
107,817.53,507.00,1108.26
108,817.59,508.00,959.55
109,817.66,509.00,943.01
110,817.73,510.00,822.55
111,817.80,511.00,777.80
112,817.86,512.00,789.26
113,817.93,513.00,753.92
114,818.00,514.00,627.73
115,818.06,515.00,546.31
116,818.13,516.00,518.58
117,818.20,517.00,455.49
118,818.26,518.00,453.88
119,818.33,519.00,470.60
120,818.40,520.00,517.08
121,818.46,521.00,455.25
122,818.53,522.00,398.44
123,818.60,523.00,403.72
124,818.67,524.00,362.12
125,818.73,525.00,343.35
126,818.80,526.00,268.02
127,818.87,527.00,317.50
128,818.93,528.00,364.43
129,819.00,529.00,423.77
130,819.07,530.00,377.67
131,819.14,531.00,488.55
132,819.20,532.00,525.27
133,819.27,533.00,473.07
134,819.34,534.00,526.25
135,819.40,535.00,529.91
136,819.47,536.00,647.26
137,819.54,537.00,625.76
138,819.60,538.00,640.79
139,819.67,539.00,757.53
140,819.74,540.00,812.15
141,819.81,541.00,793.19
142,819.87,542.00,825.93
143,819.94,543.00,929.94
144,820.01,544.00,994.33
145,820.08,545.00,1089.28
146,820.14,546.00,1061.54
147,820.21,547.00,1125.70
148,820.28,548.00,1204.00
149,820.34,549.00,1221.32
150,820.41,550.00,1244.64
151,820.48,551.00,1334.92
152,820.55,552.00,1573.96
153,820.61,553.00,1566.05
154,820.68,554.00,1499.67
155,820.75,555.00,1719.52
156,820.82,556.00,1600.51
157,820.88,557.00,1556.43
158,820.95,558.00,1417.86
159,821.02,559.00,1398.71
160,821.09,560.00,1283.19
161,821.15,561.00,1236.00
162,821.22,562.00,1096.75
163,821.29,563.00,898.01
164,821.36,564.00,754.58
165,821.42,565.00,690.88
166,821.49,566.00,474.56
167,821.56,567.00,439.14
168,821.63,568.00,393.51
169,821.69,569.00,339.65
170,821.76,570.00,268.55
171,821.83,571.00,325.63
172,821.90,572.00,249.72
173,821.96,573.00,309.35
174,822.03,574.00,255.95
175,822.10,575.00,321.75
176,822.17,576.00,271.34
177,822.23,577.00,323.36
178,822.30,578.00,413.41
179,822.37,579.00,381.75
180,822.44,580.00,305.35
181,822.50,581.00,411.42
182,822.57,582.00,220.55
183,822.64,583.00,236.78
184,822.71,584.00,128.45
185,822.77,585.00,190.81
186,822.84,586.00,185.87
187,822.91,587.00,195.97
188,822.98,588.00,135.80
189,823.05,589.00,175.92
190,823.11,590.00,170.82
191,823.18,591.00,186.99
192,823.25,592.00,147.07
193,823.32,593.00,228.89
194,823.38,594.00,138.55
195,823.45,595.00,242.04
196,823.52,596.00,191.01
197,823.59,597.00,318.33
198,823.66,598.00,238.91
199,823.72,599.00,373.92
200,823.79,600.00,379.15
201,823.86,601.00,415.09
202,823.93,602.00,372.54
203,823.99,603.00,575.39
204,824.06,604.00,465.95
205,824.13,605.00,587.64
206,824.20,606.00,543.22
207,824.27,607.00,615.50
208,824.33,608.00,550.17
209,824.40,609.00,611.87
210,824.47,610.00,654.77
211,824.54,611.00,648.71
212,824.61,612.00,724.48
213,824.67,613.00,851.89
214,824.74,614.00,921.13
215,824.81,615.00,951.16
216,824.88,616.00,1045.89
217,824.95,617.00,1161.59
218,825.01,618.00,1122.18
219,825.08,619.00,1305.92
220,825.15,620.00,1421.06
221,825.22,621.00,1572.12
222,825.29,622.00,1627.05
223,825.35,623.00,1846.03
224,825.42,624.00,1925.82
225,825.49,625.00,2056.79
226,825.56,626.00,2184.96
227,825.63,627.00,2286.23
228,825.70,628.00,2322.34
229,825.76,629.00,2437.65
230,825.83,630.00,2460.79
231,825.90,631.00,2502.49
232,825.97,632.00,2644.41
233,826.04,633.00,2773.08
234,826.10,634.00,2795.39
235,826.17,635.00,3023.50
236,826.24,636.00,3119.32
237,826.31,637.00,3153.26
238,826.38,638.00,3274.44
239,826.45,639.00,3365.58
240,826.51,640.00,3504.30
241,826.58,641.00,3594.71
242,826.65,642.00,3562.76
243,826.72,643.00,3553.49
244,826.79,644.00,3673.24
245,826.86,645.00,3617.44
246,826.92,646.00,3416.11
247,826.99,647.00,3348.07
248,827.06,648.00,3282.96
249,827.13,649.00,3093.85
250,827.20,650.00,2748.10
251,827.27,651.00,2475.97
252,827.34,652.00,2137.43
253,827.40,653.00,1835.26
254,827.47,654.00,1599.28
255,827.54,655.00,1472.47
256,827.61,656.00,1305.05
257,827.68,657.00,1309.03
258,827.75,658.00,1207.07
259,827.81,659.00,1188.36
260,827.88,660.00,1168.09
261,827.95,661.00,1294.00
262,828.02,662.00,1176.76
263,828.09,663.00,1347.00
264,828.16,664.00,1368.47
265,828.23,665.00,1453.34
266,828.29,666.00,1441.60
267,828.36,667.00,1680.23
268,828.43,668.00,1510.68
269,828.50,669.00,1524.96
270,828.57,670.00,1521.43
271,828.64,671.00,1547.25
272,828.71,672.00,1414.32
273,828.78,673.00,1666.08
274,828.84,674.00,1582.99
275,828.91,675.00,1742.67
276,828.98,676.00,1650.00
277,829.05,677.00,1720.69
278,829.12,678.00,1544.23
279,829.19,679.00,1562.72
280,829.26,680.00,1534.89
281,829.32,681.00,1552.52
282,829.39,682.00,1405.19
283,829.46,683.00,1510.08
284,829.53,684.00,1407.66
285,829.60,685.00,1376.95
286,829.67,686.00,1490.60
287,829.74,687.00,1426.02
288,829.81,688.00,1466.65
289,829.88,689.00,1570.30
290,829.94,690.00,1625.51
291,830.01,691.00,1763.34
292,830.08,692.00,1826.08
293,830.15,693.00,2033.40
294,830.22,694.00,2127.41
295,830.29,695.00,2365.96
296,830.36,696.00,2352.34
297,830.43,697.00,2424.06
298,830.50,698.00,2291.80
299,830.56,699.00,2413.77
300,830.63,700.00,2216.27
301,830.70,701.00,2146.65
302,830.77,702.00,2095.42
303,830.84,703.00,2064.13
304,830.91,704.00,1887.76
305,830.98,705.00,1787.82
306,831.05,706.00,1749.63
307,831.12,707.00,1629.18
308,831.19,708.00,1586.78
309,831.26,709.00,1544.93
310,831.32,710.00,1512.27
311,831.39,711.00,1496.25
312,831.46,712.00,1453.32
313,831.53,713.00,1392.40
314,831.60,714.00,1518.62
315,831.67,715.00,1374.35
316,831.74,716.00,1336.45
317,831.81,717.00,1215.06
318,831.88,718.00,1296.14
319,831.95,719.00,1153.44
320,832.02,720.00,1169.91
321,832.09,721.00,1092.42
322,832.15,722.00,1103.55
323,832.22,723.00,985.87
324,832.29,724.00,916.23
325,832.36,725.00,881.42
326,832.43,726.00,853.67
327,832.50,727.00,801.59
328,832.57,728.00,830.39
329,832.64,729.00,741.83
330,832.71,730.00,630.73
331,832.78,731.00,677.77
