Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,34783.97
1,810.50,401.00,36202.94
2,810.57,402.00,37131.19
3,810.64,403.00,38087.37
4,810.70,404.00,38389.95
5,810.77,405.00,38590.17
6,810.83,406.00,38288.46
7,810.90,407.00,37543.44
8,810.96,408.00,36312.96
9,811.03,409.00,34666.84
10,811.10,410.00,32602.39
11,811.16,411.00,30589.28
12,811.23,412.00,28398.70
13,811.29,413.00,26068.45
14,811.36,414.00,23852.32
15,811.42,415.00,21684.77
16,811.49,416.00,19617.80
17,811.56,417.00,17989.70
18,811.62,418.00,16368.05
19,811.69,419.00,15318.00
20,811.75,420.00,14109.87
21,811.82,421.00,13224.07
22,811.89,422.00,12489.12
23,811.95,423.00,11734.65
24,812.02,424.00,11437.66
25,812.08,425.00,11170.81
26,812.15,426.00,11100.81
27,812.22,427.00,11003.80
28,812.28,428.00,11197.19
29,812.35,429.00,11393.85
30,812.41,430.00,11656.33
31,812.48,431.00,11784.84
32,812.55,432.00,12042.49
33,812.61,433.00,12422.18
34,812.68,434.00,12658.35
35,812.74,435.00,12915.33
36,812.81,436.00,13001.81
37,812.88,437.00,12913.36
38,812.94,438.00,12664.46
39,813.01,439.00,12411.86
40,813.07,440.00,11674.88
41,813.14,441.00,11097.14
42,813.21,442.00,10276.13
43,813.27,443.00,9441.23
44,813.34,444.00,8430.45
45,813.40,445.00,7542.60
46,813.47,446.00,6362.89
47,813.54,447.00,5586.84
48,813.60,448.00,4842.03
49,813.67,449.00,4259.49
50,813.74,450.00,3606.45
51,813.80,451.00,3261.04
52,813.87,452.00,2836.84
53,813.93,453.00,2663.20
54,814.00,454.00,2276.97
55,814.07,455.00,2211.35
56,814.13,456.00,1879.49
57,814.20,457.00,1715.61
58,814.27,458.00,1639.53
59,814.33,459.00,1517.46
60,814.40,460.00,1528.74
61,814.46,461.00,1488.75
62,814.53,462.00,1499.57
63,814.60,463.00,1468.01
64,814.66,464.00,1469.02
65,814.73,465.00,1424.93
66,814.80,466.00,1494.94
67,814.86,467.00,1426.75
